REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM14.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
8_MACS_peak_22513_lociStitched	chr5	139027264	139079549	8	43073	193632.269	1	1	CXXC5		CXXC5	CXXC5	3.575	1	1
23_MACS_peak_17345_lociStitched	chr22	23235896	23298130	23	34932	85584.1968	2	1	IGLL5		IGLL5	IGLL5	0.8757	2	1
14_MACS_peak_23183_lociStitched	chr6	7881732	7921572	14	32872	80672.016	3	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.8002	3	1
10_MACS_peak_8480_lociStitched	chr15	31629071	31661049	10	27216	81419.1858	4	1	KLF13		KLF13	KLF13	2.383	4	1
10_MACS_peak_28462_lociStitched	chr9	134517693	134555419	10	26702	73810.919	5	1	RAPGEF1		RAPGEF1	RAPGEF1	0.9849	5	1
18_MACS_peak_9336_lociStitched	chr15	81576547	81617655	18	25434	49502.2536	6	1	IL16,STARD5	TMC3	IL16	IL16	0.5002	6	1
12_MACS_peak_22697_lociStitched	chr5	150438060	150467720	12	20686	77626.152	7	1	TNIP1	GPX3	TNIP1	TNIP1	1.2297	7	1
7_MACS_peak_8343_lociStitched	chr14	106025233	106049472	7	23602	56796.8248	8	1		TMEM121	TMEM121	TMEM121	0.0995	8	1
11_MACS_peak_9188_lociStitched	chr15	75063335	75093006	11	24030	50859.0611	9	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	1.4308	9	1
12_MACS_peak_22344_lociStitched	chr5	131744696	131775701	12	19960	78659.685	10	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.7919	10	1
18_MACS_peak_19491_lociStitched	chr3	141079602	141112393	18	23494	49183.2209	11	1	ZBTB38		ZBTB38	ZBTB38	0.8774	11	1
22_MACS_peak_1479_lociStitched	chr1	118147454	118187191	22	23507	47930.7694	12	1	FAM46C		FAM46C	FAM46C	1.1518	12	1
11_MACS_peak_9505_lociStitched	chr15	90615160	90646835	11	19625	66954.615	13	1	ZNF710,IDH2		IDH2	IDH2	1.9741	13	1
4_MACS_peak_13362_lociStitched	chr19	39888390	39904416	4	14132	81663.6882	14	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	ZFP36	6.067	14	1
7_MACS_peak_4549_lociStitched	chr11	65254414	65278329	7	16772	70224.006	15	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	3.0	15	1
13_MACS_peak_25226_lociStitched	chr7	55613006	55641971	13	20150	48194.8635	16	1	VOPP1		VOPP1	VOPP1	1.1046	16	1
4_MACS_peak_12936_lociStitched	chr19	13943928	13959250	4	13645	81785.7716	17	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	3.5161	17	1
17_MACS_peak_10465_lociStitched	chr16	81838527	81877326	17	20559	40440.1977	18	1	PLCG2		PLCG2	PLCG2	0.4602	18	1
8_MACS_peak_19509_lociStitched	chr3	141118332	141146878	8	19514	46998.1344	19	1	ZBTB38		RASA2	RASA2	NONE	19	1
19_MACS_peak_22712_lociStitched	chr5	150502729	150537992	19	20459	36669.9937	20	1	ANXA6	TNIP1	ANXA6	TNIP1	1.2297	20	1
2_MACS_peak_8585_lociStitched	chr15	40384518	40402035	2	16997	61232.4252	21	1	BMF		BMF	BMF	2.2876	21	1
11_MACS_peak_5126_lociStitched	chr11	111227916	111251378	11	19431	40910.6894	22	1	POU2AF1		POU2AF1	POU2AF1	1.2012	22	1
3_MACS_peak_4541_lociStitched	chr11	65183793	65198050	3	13584	72267.3073	23	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	5.0384	23	1
20_MACS_peak_22410_lociStitched	chr5	133869855	133904813	20	18825	39589.935	24	1	PHF15		PHF15	PHF15	1.1452	24	1
8_MACS_peak_18725_lociStitched	chr3	53194038	53215450	8	18079	44237.192	25	1	PRKCD	RFT1	PRKCD	PRKCD	1.5196	25	1
10_MACS_peak_28474_lociStitched	chr9	134593715	134616135	10	17848	45413.952	26	1	RAPGEF1	RAPGEF1	RAPGEF1	RAPGEF1	0.9849	26	1
7_MACS_peak_4495_lociStitched	chr11	63992756	64019672	7	15450	59032.1712	27	1	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	FKBP2	2.5427	27	1
4_MACS_peak_13452_lociStitched	chr19	42431664	42451709	4	14399	63237.966	28	1		ARHGEF1,RABAC1,ATP1A3	RABAC1	RABAC1	2.0618	28	1
7_MACS_peak_22359_lociStitched	chr5	131812971	131837014	7	14729	51776.6005	29	1	IRF1	IL5	IRF1	IRF1	1.9807	29	1
22_MACS_peak_11887_lociStitched	chr17	75429459	75469339	22	17407	30679.684	30	1	SEPT9	SEPT9,MIR4316	SEPT9	SEPT9	0.2281	30	1
10_MACS_peak_17136_lociStitched	chr21	45552812	45581458	10	15831	44341.1434	31	1	C21orf33	PWP2	C21orf33	C21orf33	0.8659	31	1
5_MACS_peak_12901_lociStitched	chr19	12885742	12905927	5	12416	61501.6765	32	1	JUNB,HOOK2	ASNA1,BEST2,RNASEH2A,MAST1,C19orf43,PRDX2,RTBDN	JUNB	JUNB	3.2367	32	1
8_MACS_peak_8708_lociStitched	chr15	45002263	45029202	8	14728	49866.7829	33	1	B2M,TRIM69	SPG11,PATL2	B2M	B2M	1.7117	33	1
4_MACS_peak_12548_lociStitched	chr19	2081707	2098312	4	14340	52005.1995	34	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	1.5855	34	1
16_MACS_peak_12266_lociStitched	chr18	46448913	46479945	16	16895	31423.0032	35	1	SMAD7		SMAD7	SMAD7	0.8118	35	1
