REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM14.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
8_MACS_peak_22513_lociStitched	chr5	139027264	139079549	8	43073	193632.269	1	1	CXXC5		CXXC5	1	1
23_MACS_peak_17345_lociStitched	chr22	23235896	23298130	23	34932	85584.1968	2	1	IGLL5		IGLL5	2	1
4_MACS_peak_12936_lociStitched	chr19	13943928	13959250	4	13645	81785.7716	3	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	3	1
4_MACS_peak_13362_lociStitched	chr19	39888390	39904416	4	14132	81663.6882	4	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	4	1
10_MACS_peak_8480_lociStitched	chr15	31629071	31661049	10	27216	81419.1858	5	1	KLF13		KLF13	5	1
14_MACS_peak_23183_lociStitched	chr6	7881732	7921572	14	32872	80672.016	6	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	6	1
12_MACS_peak_22344_lociStitched	chr5	131744696	131775701	12	19960	78659.685	7	1	C5orf56	SLC22A5,MIR3936	C5orf56	7	1
12_MACS_peak_22697_lociStitched	chr5	150438060	150467720	12	20686	77626.152	8	1	TNIP1	GPX3	TNIP1	8	1
10_MACS_peak_28462_lociStitched	chr9	134517693	134555419	10	26702	73810.919	9	1	RAPGEF1		RAPGEF1	9	1
3_MACS_peak_4541_lociStitched	chr11	65183793	65198050	3	13584	72267.3073	10	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	10	1
7_MACS_peak_4549_lociStitched	chr11	65254414	65278329	7	16772	70224.006	11	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	11	1
1_MACS_peak_13666_lociStitched	chr19	49375222	49380351	1	5130	67655.1003	12	1	PPP1R15A	NUCB1,HSD17B14,PLEKHA4,TULP2	PPP1R15A	12	1
11_MACS_peak_9505_lociStitched	chr15	90615160	90646835	11	19625	66954.615	13	1	ZNF710,IDH2		IDH2	13	1
4_MACS_peak_13452_lociStitched	chr19	42431664	42451709	4	14399	63237.966	14	1		ARHGEF1,RABAC1,ATP1A3	RABAC1	14	1
5_MACS_peak_12901_lociStitched	chr19	12885742	12905927	5	12416	61501.6765	15	1	JUNB,HOOK2	ASNA1,BEST2,RNASEH2A,MAST1,C19orf43,PRDX2,RTBDN	JUNB	15	1
2_MACS_peak_8585_lociStitched	chr15	40384518	40402035	2	16997	61232.4252	16	1	BMF		BMF	16	1
