GENE_ID	locusLine	bin_1_MM1_jia.bam
1_MACS_peak_1_lociStitched	chr1(.):28564-29560	1.6491
1_MACS_peak_2_lociStitched	chr1(.):235442-236302	0.6716
1_MACS_peak_3_lociStitched	chr1(.):713271-715200	1.7118
1_MACS_peak_4_lociStitched	chr1(.):762048-763579	1.236
1_MACS_peak_5_lociStitched	chr1(.):879216-880548	0.6874
2_MACS_peak_6_lociStitched	chr1(.):893923-896349	0.4504
1_MACS_peak_8_lociStitched	chr1(.):901659-902435	0.8352
1_MACS_peak_9_lociStitched	chr1(.):948167-950204	0.8774
1_MACS_peak_10_lociStitched	chr1(.):954794-955378	0.5603
1_MACS_peak_11_lociStitched	chr1(.):1050828-1051611	0.8028
1_MACS_peak_12_lociStitched	chr1(.):1093057-1093779	0.4133
2_MACS_peak_13_lociStitched	chr1(.):1166445-1168088	0.6058
1_MACS_peak_15_lociStitched	chr1(.):1185351-1185733	0.3946
1_MACS_peak_16_lociStitched	chr1(.):1208207-1209843	0.7764
3_MACS_peak_17_lociStitched	chr1(.):1240807-1244685	0.7313
2_MACS_peak_20_lociStitched	chr1(.):1259402-1267121	0.5329
2_MACS_peak_22_lociStitched	chr1(.):1283693-1285398	0.8312
1_MACS_peak_24_lociStitched	chr1(.):1309598-1311501	1.2703
2_MACS_peak_25_lociStitched	chr1(.):1333779-1335915	0.8653
1_MACS_peak_27_lociStitched	chr1(.):1341871-1343473	0.7697
1_MACS_peak_28_lociStitched	chr1(.):1397301-1398642	0.7786
1_MACS_peak_29_lociStitched	chr1(.):1406239-1408524	0.825
2_MACS_peak_30_lociStitched	chr1(.):1440440-1441677	0.5878
1_MACS_peak_32_lociStitched	chr1(.):1446667-1448600	1.2239
1_MACS_peak_33_lociStitched	chr1(.):1508840-1511086	2.3001
2_MACS_peak_34_lociStitched	chr1(.):1549757-1551908	1.5811
2_MACS_peak_36_lociStitched	chr1(.):1564657-1565837	0.3829
1_MACS_peak_38_lociStitched	chr1(.):1589566-1591323	1.9696
2_MACS_peak_39_lociStitched	chr1(.):1606585-1610542	0.5462
1_MACS_peak_41_lociStitched	chr1(.):1622785-1625395	1.9905
1_MACS_peak_42_lociStitched	chr1(.):1654966-1656614	1.4545
1_MACS_peak_43_lociStitched	chr1(.):1669034-1670827	0.7258
1_MACS_peak_44_lociStitched	chr1(.):1676138-1678642	1.652
2_MACS_peak_45_lociStitched	chr1(.):1706838-1714080	1.1873
1_MACS_peak_47_lociStitched	chr1(.):1737823-1738181	0.3701
2_MACS_peak_48_lociStitched	chr1(.):1772449-1774560	0.4671
1_MACS_peak_50_lociStitched	chr1(.):1779153-1779725	0.4703
1_MACS_peak_51_lociStitched	chr1(.):1820821-1823245	1.5667
2_MACS_peak_52_lociStitched	chr1(.):1839600-1841265	0.8949
2_MACS_peak_54_lociStitched	chr1(.):1981214-1982284	0.3617
2_MACS_peak_56_lociStitched	chr1(.):2064199-2065108	0.3951
3_MACS_peak_58_lociStitched	chr1(.):2120665-2127253	0.4106
2_MACS_peak_61_lociStitched	chr1(.):2158538-2160098	0.8315
1_MACS_peak_63_lociStitched	chr1(.):2165672-2166458	0.5035
1_MACS_peak_64_lociStitched	chr1(.):2186988-2187760	0.5119
1_MACS_peak_65_lociStitched	chr1(.):2231331-2233520	1.1658
2_MACS_peak_66_lociStitched	chr1(.):2322278-2324239	1.1094
2_MACS_peak_68_lociStitched	chr1(.):2343275-2345122	0.7909
2_MACS_peak_70_lociStitched	chr1(.):2456987-2461335	0.6295
5_MACS_peak_72_lociStitched	chr1(.):2472307-2481693	0.6654
1_MACS_peak_77_lociStitched	chr1(.):2486715-2488700	1.0065
1_MACS_peak_78_lociStitched	chr1(.):2508085-2510434	1.2269
1_MACS_peak_79_lociStitched	chr1(.):2516373-2518431	1.6204
1_MACS_peak_80_lociStitched	chr1(.):2573753-2574811	0.9162
1_MACS_peak_81_lociStitched	chr1(.):3540594-3542220	0.9305
1_MACS_peak_82_lociStitched	chr1(.):3566153-3566618	0.4306
1_MACS_peak_83_lociStitched	chr1(.):3712718-3713137	0.38
1_MACS_peak_84_lociStitched	chr1(.):3773059-3774688	0.9312
1_MACS_peak_85_lociStitched	chr1(.):3816073-3818025	1.9706
2_MACS_peak_86_lociStitched	chr1(.):4662078-4665516	0.651
1_MACS_peak_88_lociStitched	chr1(.):4690685-4691069	0.3591
1_MACS_peak_89_lociStitched	chr1(.):4697999-4698530	0.4717
1_MACS_peak_90_lociStitched	chr1(.):4715072-4716506	0.5486
2_MACS_peak_91_lociStitched	chr1(.):4855737-4857462	0.6612
2_MACS_peak_93_lociStitched	chr1(.):6051553-6055428	0.961
1_MACS_peak_95_lociStitched	chr1(.):6258656-6260274	0.6567
2_MACS_peak_96_lociStitched	chr1(.):6295245-6296507	0.4903
1_MACS_peak_98_lociStitched	chr1(.):6419363-6419901	0.5157
1_MACS_peak_99_lociStitched	chr1(.):6453012-6454570	1.3985
1_MACS_peak_100_lociStitched	chr1(.):6550539-6551469	0.6038
2_MACS_peak_101_lociStitched	chr1(.):6613304-6615069	0.6533
1_MACS_peak_103_lociStitched	chr1(.):6639495-6640892	1.5885
1_MACS_peak_104_lociStitched	chr1(.):6660460-6664356	1.013
2_MACS_peak_105_lociStitched	chr1(.):6672745-6674957	0.73
1_MACS_peak_107_lociStitched	chr1(.):6684655-6686193	0.9154
1_MACS_peak_108_lociStitched	chr1(.):6733333-6734963	0.6352
1_MACS_peak_109_lociStitched	chr1(.):6761045-6762024	1.0736
2_MACS_peak_110_lociStitched	chr1(.):6843942-6846361	1.2496
1_MACS_peak_112_lociStitched	chr1(.):7831218-7832017	0.9799
2_MACS_peak_113_lociStitched	chr1(.):7843289-7844679	0.5701
1_MACS_peak_115_lociStitched	chr1(.):7887084-7887767	0.4446
1_MACS_peak_116_lociStitched	chr1(.):8013711-8014864	0.7293
1_MACS_peak_117_lociStitched	chr1(.):8020971-8022366	0.7929
2_MACS_peak_118_lociStitched	chr1(.):8454934-8457615	0.4575
3_MACS_peak_120_lociStitched	chr1(.):8481796-8489244	0.8169
1_MACS_peak_123_lociStitched	chr1(.):8522911-8523492	0.4206
1_MACS_peak_124_lociStitched	chr1(.):8532331-8532969	0.4333
1_MACS_peak_125_lociStitched	chr1(.):8584452-8586373	0.6767
1_MACS_peak_126_lociStitched	chr1(.):8593021-8593926	0.627
1_MACS_peak_127_lociStitched	chr1(.):8655635-8657220	0.656
1_MACS_peak_128_lociStitched	chr1(.):8662766-8663476	0.5513
1_MACS_peak_129_lociStitched	chr1(.):8689161-8690092	0.6162
1_MACS_peak_130_lociStitched	chr1(.):8703437-8703812	0.3592
1_MACS_peak_131_lociStitched	chr1(.):8740683-8741424	0.6787
1_MACS_peak_132_lociStitched	chr1(.):8762905-8763525	0.5307
1_MACS_peak_133_lociStitched	chr1(.):8772780-8773200	0.3675
1_MACS_peak_134_lociStitched	chr1(.):8876887-8878420	0.753
2_MACS_peak_135_lociStitched	chr1(.):8937217-8939857	1.0114
1_MACS_peak_137_lociStitched	chr1(.):9223611-9224163	0.4822
1_MACS_peak_138_lociStitched	chr1(.):9294399-9295710	1.1785
1_MACS_peak_139_lociStitched	chr1(.):9598853-9600535	0.8072
1_MACS_peak_140_lociStitched	chr1(.):9648731-9649367	0.52
2_MACS_peak_141_lociStitched	chr1(.):9969738-9971403	0.7101
1_MACS_peak_143_lociStitched	chr1(.):10002528-10004117	1.2571
1_MACS_peak_144_lociStitched	chr1(.):10010601-10011040	0.4364
1_MACS_peak_145_lociStitched	chr1(.):10092878-10093970	1.4181
1_MACS_peak_146_lociStitched	chr1(.):10269962-10271230	0.6624
1_MACS_peak_147_lociStitched	chr1(.):10458994-10459586	0.7616
1_MACS_peak_148_lociStitched	chr1(.):10490437-10491124	0.5848
1_MACS_peak_149_lociStitched	chr1(.):10516684-10517340	0.4587
2_MACS_peak_150_lociStitched	chr1(.):10532101-10535567	0.3631
1_MACS_peak_152_lociStitched	chr1(.):10555380-10556124	0.49
