GENE_ID	locusLine	bin_1_42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
1_MACS_peak_1_lociStitched	chr1(.):28297-30455	0.2255
1_MACS_peak_2_lociStitched	chr1(.):441696-442799	0.0934
1_MACS_peak_3_lociStitched	chr1(.):540228-541333	0.1294
1_MACS_peak_4_lociStitched	chr1(.):713168-715183	0.2437
1_MACS_peak_5_lociStitched	chr1(.):761872-763838	0.2194
1_MACS_peak_6_lociStitched	chr1(.):879214-880571	0.1398
3_MACS_peak_7_lociStitched	chr1(.):893842-902747	0.1014
1_MACS_peak_10_lociStitched	chr1(.):948080-949677	0.2267
1_MACS_peak_11_lociStitched	chr1(.):998504-1000291	0.1377
1_MACS_peak_12_lociStitched	chr1(.):1051002-1052448	0.1097
1_MACS_peak_13_lociStitched	chr1(.):1072044-1073293	0.0745
1_MACS_peak_14_lociStitched	chr1(.):1079222-1080269	0.0807
1_MACS_peak_15_lociStitched	chr1(.):1092584-1094139	0.0792
1_MACS_peak_16_lociStitched	chr1(.):1166245-1167814	0.0926
1_MACS_peak_17_lociStitched	chr1(.):1185103-1185812	0.0761
1_MACS_peak_18_lociStitched	chr1(.):1208128-1210319	0.1367
2_MACS_peak_19_lociStitched	chr1(.):1242383-1245083	0.1022
1_MACS_peak_21_lociStitched	chr1(.):1259435-1261454	0.1299
1_MACS_peak_22_lociStitched	chr1(.):1284838-1285527	0.0987
1_MACS_peak_23_lociStitched	chr1(.):1309794-1311601	0.2537
1_MACS_peak_24_lociStitched	chr1(.):1333847-1335987	0.1776
1_MACS_peak_25_lociStitched	chr1(.):1341965-1343413	0.1388
1_MACS_peak_26_lociStitched	chr1(.):1396776-1398948	0.184
1_MACS_peak_27_lociStitched	chr1(.):1406122-1408188	0.1853
2_MACS_peak_28_lociStitched	chr1(.):1439720-1448601	0.1521
1_MACS_peak_30_lociStitched	chr1(.):1509092-1511122	0.1534
1_MACS_peak_31_lociStitched	chr1(.):1549893-1552305	0.1497
1_MACS_peak_32_lociStitched	chr1(.):1589649-1591517	0.2205
2_MACS_peak_33_lociStitched	chr1(.):1606374-1610910	0.1731
1_MACS_peak_35_lociStitched	chr1(.):1622708-1625679	0.1742
1_MACS_peak_36_lociStitched	chr1(.):1654818-1656739	0.1743
2_MACS_peak_37_lociStitched	chr1(.):1668886-1678966	0.1741
2_MACS_peak_39_lociStitched	chr1(.):1708422-1715331	0.1966
1_MACS_peak_41_lociStitched	chr1(.):1772630-1774735	0.2094
2_MACS_peak_42_lociStitched	chr1(.):1821041-1829466	0.1143
1_MACS_peak_44_lociStitched	chr1(.):1837861-1840946	0.1591
2_MACS_peak_45_lociStitched	chr1(.):2120432-2127176	0.0834
1_MACS_peak_47_lociStitched	chr1(.):2158390-2159336	0.044
1_MACS_peak_48_lociStitched	chr1(.):2186641-2187866	0.1482
1_MACS_peak_49_lociStitched	chr1(.):2221320-2223155	0.1363
1_MACS_peak_50_lociStitched	chr1(.):2231109-2233426	0.1868
1_MACS_peak_51_lociStitched	chr1(.):2322206-2324186	0.1424
2_MACS_peak_52_lociStitched	chr1(.):2343004-2347990	0.1593
1_MACS_peak_54_lociStitched	chr1(.):2456879-2458478	0.1171
1_MACS_peak_55_lociStitched	chr1(.):2477041-2481359	0.1977
1_MACS_peak_56_lociStitched	chr1(.):2486660-2489339	0.2014
1_MACS_peak_57_lociStitched	chr1(.):2508801-2510474	0.1361
1_MACS_peak_58_lociStitched	chr1(.):2516296-2518486	0.1689
1_MACS_peak_59_lociStitched	chr1(.):2573716-2575072	0.1522
1_MACS_peak_60_lociStitched	chr1(.):3087042-3088169	0.1022
1_MACS_peak_61_lociStitched	chr1(.):3446773-3447846	0.0444
2_MACS_peak_62_lociStitched	chr1(.):3540452-3547724	0.1282
2_MACS_peak_64_lociStitched	chr1(.):3565843-3570069	0.107
1_MACS_peak_66_lociStitched	chr1(.):3589404-3590632	0.123
1_MACS_peak_67_lociStitched	chr1(.):3712281-3713835	0.2056
1_MACS_peak_68_lociStitched	chr1(.):3772979-3774980	0.1178
1_MACS_peak_69_lociStitched	chr1(.):3815883-3818380	0.1722
1_MACS_peak_70_lociStitched	chr1(.):3838132-3839984	0.2059
1_MACS_peak_71_lociStitched	chr1(.):4439486-4440356	0.1359
1_MACS_peak_72_lociStitched	chr1(.):4712493-4713392	0.0688
1_MACS_peak_73_lociStitched	chr1(.):4855927-4857190	0.202
