GENE_ID	locusLine	bin_1_11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20.bam
1_MACS_peak_1_lociStitched	chr1(.):9875-10670	2.8445
1_MACS_peak_2_lociStitched	chr1(.):28280-30185	3.0788
1_MACS_peak_3_lociStitched	chr1(.):713028-715340	3.6581
1_MACS_peak_4_lociStitched	chr1(.):752362-753346	0.4185
1_MACS_peak_5_lociStitched	chr1(.):761757-763783	3.1431
1_MACS_peak_6_lociStitched	chr1(.):793200-794396	0.5023
1_MACS_peak_7_lociStitched	chr1(.):879186-880867	1.2894
1_MACS_peak_8_lociStitched	chr1(.):893725-894689	1.0482
1_MACS_peak_9_lociStitched	chr1(.):901195-902707	1.1267
1_MACS_peak_10_lociStitched	chr1(.):948199-949449	0.8813
1_MACS_peak_11_lociStitched	chr1(.):1004182-1004837	0.5887
1_MACS_peak_12_lociStitched	chr1(.):1051074-1051821	0.7374
1_MACS_peak_13_lociStitched	chr1(.):1079155-1080305	0.6611
1_MACS_peak_14_lociStitched	chr1(.):1093077-1093912	0.494
1_MACS_peak_15_lociStitched	chr1(.):1166199-1167755	1.4409
1_MACS_peak_16_lociStitched	chr1(.):1185083-1185910	1.6498
1_MACS_peak_17_lociStitched	chr1(.):1207874-1209964	1.2802
2_MACS_peak_18_lociStitched	chr1(.):1242569-1245108	2.0449
1_MACS_peak_20_lociStitched	chr1(.):1259440-1261556	1.9605
1_MACS_peak_21_lociStitched	chr1(.):1284882-1285512	1.7264
1_MACS_peak_22_lociStitched	chr1(.):1309542-1311799	2.9434
2_MACS_peak_23_lociStitched	chr1(.):1333469-1343758	1.0739
1_MACS_peak_25_lociStitched	chr1(.):1396687-1398900	2.8849
1_MACS_peak_26_lociStitched	chr1(.):1405716-1408519	1.7469
2_MACS_peak_27_lociStitched	chr1(.):1439618-1448994	1.7918
1_MACS_peak_29_lociStitched	chr1(.):1509059-1511240	3.6607
2_MACS_peak_30_lociStitched	chr1(.):1544936-1552236	1.786
1_MACS_peak_32_lociStitched	chr1(.):1589361-1591729	5.0585
1_MACS_peak_33_lociStitched	chr1(.):1606302-1611184	3.588
1_MACS_peak_34_lociStitched	chr1(.):1622667-1625610	6.7656
1_MACS_peak_35_lociStitched	chr1(.):1654674-1656959	4.2597
2_MACS_peak_36_lociStitched	chr1(.):1668744-1678955	2.9066
1_MACS_peak_38_lociStitched	chr1(.):1708284-1715112	5.9926
1_MACS_peak_39_lociStitched	chr1(.):1754829-1756479	1.0844
1_MACS_peak_40_lociStitched	chr1(.):1772228-1775360	1.614
2_MACS_peak_41_lociStitched	chr1(.):1821101-1829593	0.6458
1_MACS_peak_43_lociStitched	chr1(.):1837605-1841350	1.2624
1_MACS_peak_44_lociStitched	chr1(.):1850117-1851099	0.4703
1_MACS_peak_45_lociStitched	chr1(.):2125902-2127233	1.4475
1_MACS_peak_46_lociStitched	chr1(.):2158566-2159416	0.7437
1_MACS_peak_47_lociStitched	chr1(.):2186411-2188074	1.0752
1_MACS_peak_48_lociStitched	chr1(.):2221315-2223158	1.9682
1_MACS_peak_49_lociStitched	chr1(.):2230982-2233610	4.595
1_MACS_peak_50_lociStitched	chr1(.):2322182-2324420	1.3262
1_MACS_peak_51_lociStitched	chr1(.):2343040-2346348	1.7296
1_MACS_peak_52_lociStitched	chr1(.):2456874-2458332	0.7395
2_MACS_peak_53_lociStitched	chr1(.):2476942-2489198	2.4865
2_MACS_peak_55_lociStitched	chr1(.):2508879-2518476	0.654
1_MACS_peak_57_lociStitched	chr1(.):2573722-2575067	1.5613
1_MACS_peak_58_lociStitched	chr1(.):3545792-3547909	1.2193
1_MACS_peak_59_lociStitched	chr1(.):3566051-3566771	0.4385
1_MACS_peak_60_lociStitched	chr1(.):3589193-3590347	0.9966
1_MACS_peak_61_lociStitched	chr1(.):3711906-3713694	0.8533
1_MACS_peak_62_lociStitched	chr1(.):3773141-3774928	1.4629
1_MACS_peak_63_lociStitched	chr1(.):3815939-3818440	6.9242
1_MACS_peak_64_lociStitched	chr1(.):3838258-3839712	0.588
1_MACS_peak_65_lociStitched	chr1(.):4067110-4068679	0.6355
1_MACS_peak_66_lociStitched	chr1(.):4997669-4998611	0.6254
1_MACS_peak_67_lociStitched	chr1(.):6051647-6055645	2.6667
1_MACS_peak_68_lociStitched	chr1(.):6083742-6087266	2.7994
2_MACS_peak_69_lociStitched	chr1(.):6258542-6266612	0.6958
1_MACS_peak_71_lociStitched	chr1(.):6294680-6296807	0.8417
1_MACS_peak_72_lociStitched	chr1(.):6419165-6420757	0.8096
1_MACS_peak_73_lociStitched	chr1(.):6452837-6454904	2.1375
1_MACS_peak_74_lociStitched	chr1(.):6549863-6551477	1.0108
1_MACS_peak_75_lociStitched	chr1(.):6613587-6615316	1.4942
1_MACS_peak_76_lociStitched	chr1(.):6639277-6641061	1.6808
1_MACS_peak_77_lociStitched	chr1(.):6659378-6665053	3.9899
1_MACS_peak_78_lociStitched	chr1(.):6672480-6674781	1.4049
1_MACS_peak_79_lociStitched	chr1(.):6684266-6686700	2.1215
1_MACS_peak_80_lociStitched	chr1(.):6733205-6735287	1.3618
1_MACS_peak_81_lociStitched	chr1(.):6760689-6762301	2.0961
1_MACS_peak_82_lociStitched	chr1(.):6843622-6845531	4.4838
1_MACS_peak_83_lociStitched	chr1(.):6882474-6883375	0.5355
1_MACS_peak_84_lociStitched	chr1(.):6892103-6893482	0.6865
1_MACS_peak_85_lociStitched	chr1(.):6960999-6963051	0.6092
2_MACS_peak_86_lociStitched	chr1(.):6977771-6983056	1.2043
1_MACS_peak_88_lociStitched	chr1(.):7830963-7832211	1.3913
2_MACS_peak_89_lociStitched	chr1(.):8013944-8022620	0.5791
2_MACS_peak_91_lociStitched	chr1(.):8455090-8458323	0.7507
3_MACS_peak_93_lociStitched	chr1(.):8650281-8665188	0.5499
1_MACS_peak_96_lociStitched	chr1(.):8703260-8704365	0.5482
1_MACS_peak_97_lociStitched	chr1(.):8740479-8741969	0.6512
2_MACS_peak_98_lociStitched	chr1(.):8760737-8773772	1.006
1_MACS_peak_100_lociStitched	chr1(.):8876138-8878957	2.2132
1_MACS_peak_101_lociStitched	chr1(.):8937071-8939985	3.5765
1_MACS_peak_102_lociStitched	chr1(.):9139759-9141619	0.8879
1_MACS_peak_103_lociStitched	chr1(.):9222226-9226058	4.7803
1_MACS_peak_104_lociStitched	chr1(.):9241219-9242849	0.7486
1_MACS_peak_105_lociStitched	chr1(.):9294648-9295641	0.753
1_MACS_peak_106_lociStitched	chr1(.):9335452-9336402	0.643
1_MACS_peak_107_lociStitched	chr1(.):9473053-9474067	0.564
2_MACS_peak_108_lociStitched	chr1(.):9485348-9489597	0.9168
1_MACS_peak_110_lociStitched	chr1(.):9598724-9600510	0.8623
1_MACS_peak_111_lociStitched	chr1(.):9615030-9615920	0.6198
1_MACS_peak_112_lociStitched	chr1(.):9648805-9650022	0.612
1_MACS_peak_113_lociStitched	chr1(.):9776834-9778665	2.3644
1_MACS_peak_114_lociStitched	chr1(.):9846077-9848919	3.8552
1_MACS_peak_115_lociStitched	chr1(.):9883379-9884088	0.6914
2_MACS_peak_116_lociStitched	chr1(.):9969156-9971794	1.9166
2_MACS_peak_118_lociStitched	chr1(.):10002203-10011822	0.8986
1_MACS_peak_120_lociStitched	chr1(.):10050132-10051996	1.1481
1_MACS_peak_121_lociStitched	chr1(.):10078431-10079751	0.6213
1_MACS_peak_122_lociStitched	chr1(.):10092198-10094210	3.7496
1_MACS_peak_123_lociStitched	chr1(.):10227764-10231542	2.9192
3_MACS_peak_124_lociStitched	chr1(.):10248887-10261651	0.7332
1_MACS_peak_127_lociStitched	chr1(.):10269505-10271794	1.6628
1_MACS_peak_128_lociStitched	chr1(.):10302769-10303715	0.4788
1_MACS_peak_129_lociStitched	chr1(.):10310410-10315094	3.3826
1_MACS_peak_130_lociStitched	chr1(.):10437289-10438228	0.4483
1_MACS_peak_131_lociStitched	chr1(.):10447623-10448443	0.4739
1_MACS_peak_132_lociStitched	chr1(.):10458236-10460099	1.7532
1_MACS_peak_133_lociStitched	chr1(.):10489952-10491814	1.4066
1_MACS_peak_134_lociStitched	chr1(.):10504186-10505918	1.407
1_MACS_peak_135_lociStitched	chr1(.):10516369-10518192	1.5337
2_MACS_peak_136_lociStitched	chr1(.):10531818-10535972	1.0593
1_MACS_peak_138_lociStitched	chr1(.):10554564-10556152	1.1054
1_MACS_peak_139_lociStitched	chr1(.):10999539-11000971	0.909
1_MACS_peak_140_lociStitched	chr1(.):11071468-11073773	5.0126
1_MACS_peak_141_lociStitched	chr1(.):11118861-11121514	1.2657
1_MACS_peak_142_lociStitched	chr1(.):11158894-11160542	2.2503
1_MACS_peak_143_lociStitched	chr1(.):11286382-11288440	0.9725
1_MACS_peak_144_lociStitched	chr1(.):11321705-11323495	1.04
1_MACS_peak_145_lociStitched	chr1(.):11333162-11334558	4.4803
1_MACS_peak_146_lociStitched	chr1(.):11538570-11539637	2.0027
2_MACS_peak_147_lociStitched	chr1(.):11623153-11632426	3.2196
1_MACS_peak_149_lociStitched	chr1(.):11714306-11714878	0.5405
1_MACS_peak_150_lociStitched	chr1(.):11723954-11725312	0.842
1_MACS_peak_151_lociStitched	chr1(.):11740459-11742050	1.4722
1_MACS_peak_152_lociStitched	chr1(.):11795769-11798314	2.5275
1_MACS_peak_153_lociStitched	chr1(.):11842923-11845988	2.3896
1_MACS_peak_154_lociStitched	chr1(.):11863334-11867758	2.4282
1_MACS_peak_155_lociStitched	chr1(.):11967467-11970657	6.7789
1_MACS_peak_156_lociStitched	chr1(.):11984362-11987390	0.9687
1_MACS_peak_157_lociStitched	chr1(.):11993984-11995351	0.7534
1_MACS_peak_158_lociStitched	chr1(.):12039479-12041354	3.678
