GENE_ID	locusLine	bin_1_MM25.jin.bam
NM_021222	chr1(.):150975972-151013189	0.2358
NM_015215	chr1(.):6840383-7834766	0.074
NM_032236	chr1(.):21999791-22114688	0.2159
NM_021639	chr1(.):46087975-46157302	0.1944
NM_001006605	chr1(.):93302720-93432079	0.1684
NM_201569	chr1(.):183436505-183528328	0.2543
NM_000081	chr1(.):235819344-236035220	0.0982
NM_001198993	chr1(.):1677670-1715297	0.5147
NM_023018	chr1(.):1677670-1714909	0.518
NM_033487	chr1(.):1566099-1660775	0.4286
NM_001198994	chr1(.):1677670-1716508	0.5018
NM_003820	chr1(.):2482804-2500267	0.3708
NM_015291	chr1(.):15848351-15903228	0.2758
NM_015001	chr1(.):16169358-16271950	0.2413
NM_016287	chr1(.):21064170-21118181	0.1805
NM_001113348	chr1(.):21538739-21677034	0.202
NM_001013693	chr1(.):22133757-22156714	0.0754
NM_032017	chr1(.):36800224-36856485	0.355
NM_017522	chr1(.):53706216-53798726	0.1516
NM_033300	chr1(.):53706211-53798821	0.1518
NM_022768	chr1(.):110876944-110894303	0.6102
NR_024510	chr1(.):144295511-144345773	0.2757
NR_024584	chr1(.):144295516-144346755	0.271
NR_034178	chr1(.):143910747-144099477	0.1316
NM_178230	chr1(.):149548002-149558662	0.0435
NM_207168	chr1(.):150594521-150607098	0.6681
NM_015203	chr1(.):150331989-150454041	0.1495
NM_020832	chr1(.):151249790-151269381	0.5366
NM_020524	chr1(.):154911558-154933567	0.3161
NM_005572	chr1(.):156079460-156112657	0.4125
NM_001135050	chr1(.):159891828-159920386	0.4933
NM_002697	chr1(.):167185065-167401582	0.1207
NR_037163	chr1(.):167185122-167401582	0.1208
NM_018442	chr1(.):167900796-168050083	0.1056
NR_026550	chr1(.):167882309-167910380	0.3213
NM_001143674	chr1(.):167882309-167911278	0.3113
NM_015415	chr1(.):167882309-167910233	0.323
NM_014412	chr1(.):174963891-174986163	0.6465
NM_001007214	chr1(.):174963570-174986163	0.6376
