GENE	H3k18ac_10_DMSO_compare_TSS_SIGNAL	H3k18ac_10_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
BRD2	48284.0953	12044.6487	-36239.4466	0.199650247981294	-2.00315573013133
FLJ43663	41495.3303	15605.654	-25889.6763	0.273299211761574	-1.41088017228173
LPXN	33672.9207	11247.8695	-22425.0512	0.250393402474029	-1.58193710095365
NCRNA00167	21117.6324	1522.0724	-19595.56	0.0672302228958392	-3.79433920637242
PRDM10	20836.6476	1522.0724	-19314.5752	0.0680751134233087	-3.77501429178649
UBE2D3	19825.2039	2493.8013	-17331.4026	0.111734428916214	-2.990917279522
GART	17826.3389	857.5979	-16968.741	0.0459002783610358	-4.37756525532628
RTP4	17588.8	971.5448	-16617.2552	0.0523451913457987	-4.1782327246494
RPRD2	19843.6	3277.9555	-16565.6445	0.141770543941129	-2.59780560699386
BRP44	16681.7063	383.0771	-16298.6292	0.0224484009565571	-5.44448826783202
PJA2	20323.2	4419.6036	-15903.5964	0.17862177914228	-2.20113869695625
SON	16549.5603	857.5979	-15691.9624	0.0492669676547203	-4.27034770373844
CALM3	15798.8	155.0521	-15643.7479	0.0097187876023998	-6.67091810653478
DCAF6	15523.5122	383.0771	-15140.4351	0.0240829188944986	-5.34067640913772
CLN3	16100.992	1442.636	-14658.356	0.0822313377825841	-3.48037034116157
USF1	35740.4	21251.1569	-14489.2431	0.372882547098832	-0.750014398023017
EIF4A2	19109.7084	4870.8093	-14238.8991	0.203115268858437	-1.97207235845445
PTPN7	15979.4384	1894.7537	-14084.6847	0.106004998122405	-3.07613447636889
C7orf55	16478.2	2413.8238	-14064.3762	0.127769466392478	-2.77116638422806
CCM2	28271.476	14382.5077	-13888.9683	0.337190256393332	-0.975031962898233
RFX3	17075.2	3220.3257	-13854.8743	0.158671706641233	-2.40662396341569
HNRNPK	13623.1683	238.8566	-13384.3117	0.0172310035310931	-5.83377371407715
