REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X31_0EX7_0229Kronos_MM1S.No.Treatment.1_IRF4_hs_i45.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
11_MACS_peak_13052_lociStitched	chr19	2031167	2099465	11	48356	74615.565	16412.0094	1	IZUMO4,MKNK2,MOBKL2A	BTBD2	MKNK2	MKNK2	0.5701999999999999	1	1
16_MACS_peak_13068_lociStitched	chr19	2229377	2291629	16	43233	55086.7948	12506.4268	2	DOT1L,SF3A2,AMH,MIR4321,OAZ1,PLEKHJ1,MIR1227,JSRP1,C19orf35,LINGO3	SPPL2B,LSM7	JSRP1	JSRP1	0.8940999999999999	2	1
7_MACS_peak_13103_lociStitched	chr19	2594667	2638123	7	30864	53277.056	11572.3328	3	GNG7		GNG7	GNG7	0.35350000000000004	3	1
1_MACS_peak_21644_lociStitched	chr5	9890	12223	1	2334	42246.8972	5830.8669	4			PLEKHG4B	PLEKHG4B	0.1371	4	1
13_MACS_peak_12181_lociStitched	chr17	76116680	76176677	13	33954	40161.9918	10781.4609	5	TMC8,C17orf99,SYNGR2,TMC6,TK1	AFMID,BIRC5,EPR1	C17orf99	C17orf99	0.39590000000000003	5	1
7_MACS_peak_5840_lociStitched	chr12	7045735	7081058	7	24146	36442.7391	7559.122	6	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	0.9156000000000001	6	1
9_MACS_peak_15641_lociStitched	chr2	99060624	99108021	9	35777	41225.9106	12541.2462	7	INPP4A		INPP4A	INPP4A	0.2386	7	1
12_MACS_peak_25617_lociStitched	chr7	102118197	102187826	12	40869	47939.5665	20032.2633	8	POLR2J,POLR2J3	ORAI2,LRWD1,SPDYE2,ALKBH4	POLR2J	ORAI2	0.41190000000000004	8	1
6_MACS_peak_12969_lociStitched	chr19	1061892	1105876	6	27169	35715.008	8906.76	9	ABCA7,HMHA1,GPX4,POLR2E	CNN2,C19orf6,SBNO2	POLR2E	CNN2	0.8671	9	1
4_MACS_peak_17996_lociStitched	chr21	45552309	45580899	4	21497	33953.484	7593.504	10	C21orf33	PWP2	C21orf33	C21orf33	0.6635	10	1
14_MACS_peak_9691_lociStitched	chr16	11761511	11819186	14	35545	37344.5625	11990.6325	11	SNN,TXNDC11		SNN	SNN	0.5846	11	1
4_MACS_peak_1786_lociStitched	chr1	156449509	156476087	4	19972	33052.4008	7941.5064	12	MEF2D		MEF2D	MEF2D	0.5709	12	1
5_MACS_peak_1698_lociStitched	chr1	154907982	154935805	5	23012	33173.3629	9086.9918	13	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	ZBTB7B	0.7918	13	1
4_MACS_peak_14035_lociStitched	chr19	39880842	39904006	4	18351	28651.5516	4790.3152	14	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	1.3981999999999999	14	1
8_MACS_peak_23200_lociStitched	chr6	7878177	7918613	8	25687	33937.9348	10743.8452	15	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	0.5479	15	1
4_MACS_peak_13093_lociStitched	chr19	2455420	2480651	4	14780	28321.7975	5205.1553	16	GADD45B,LMNB2	TIMM13	GADD45B	GADD45B	1.3626	16	1
10_MACS_peak_13519_lociStitched	chr19	12867924	12918419	10	22161	29145.714	7261.181	17	BEST2,JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,MAST1,TNPO2,C19orf43,RTBDN	HOOK2	HOOK2	0.3084	17	1
5_MACS_peak_6298_lociStitched	chr12	53583168	53607830	5	20729	27848.3304	6056.9872	18	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	0.8362	18	1
14_MACS_peak_12709_lociStitched	chr18	46439227	46480162	14	28305	29121.159	7761.276	19	SMAD7		SMAD7	SMAD7	0.5096	19	1
4_MACS_peak_13645_lociStitched	chr19	16244277	16273727	4	23638	27205.91	6096.15	20	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	0.6393	20	1
5_MACS_peak_13026_lociStitched	chr19	1648003	1673337	5	19202	26091.4866	5104.801	21	TCF3	UQCR11	TCF3	UQCR11	0.5233000000000001	21	1
4_MACS_peak_12987_lociStitched	chr19	1258594	1280462	4	17849	26149.7544	5523.8568	22	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	CIRBP	0.9974000000000001	22	1
6_MACS_peak_15614_lociStitched	chr2	97191188	97220821	6	19926	25896.2787	5905.8569	23	ARID5A	NEURL3	ARID5A	ARID5A	0.6071	23	1
3_MACS_peak_6783_lociStitched	chr12	109009520	109031556	3	16234	24973.3988	5233.55	24	SELPLG	TMEM119	SELPLG	SELPLG	0.8721999999999999	24	1
6_MACS_peak_25631_lociStitched	chr7	102244687	102283737	6	34302	31790.605	12234.365	25	RASA4,UPK3BL,POLR2J2	POLR2J3	RASA4	RASA4	0.4075	25	1
7_MACS_peak_8184_lociStitched	chr14	106023210	106052696	7	20603	25113.2262	5655.4148	26		TMEM121	TMEM121	TMEM121	0.2475	26	1
4_MACS_peak_1766_lociStitched	chr1	156115563	156137064	4	18170	26601.0372	7316.7903	27	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	0.5751999999999999	27	1
2_MACS_peak_4884_lociStitched	chr11	65183440	65198121	2	14572	23938.8386	4753.7078	28	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	1.2122	28	1
5_MACS_peak_26046_lociStitched	chr7	150063337	150084839	5	20818	25374.5102	6282.8844	29	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	0.8312	29	1
4_MACS_peak_10855_lociStitched	chr17	7736800	7762194	4	13862	23118.6976	4134.1432	30	DNAH2,KDM6B,TMEM88,CYB5D1,LSMD1	CHD3,SCARNA21	KDM6B	KDM6B	0.7174	30	1
3_MACS_peak_11393_lociStitched	chr17	38466974	38483526	3	13898	22583.5488	3636.4744	31	RARA	CDC6,RARA,GJD3	RARA	RARA	0.4131	31	1
5_MACS_peak_1582_lociStitched	chr1	150531959	150553342	5	16490	26130.026	7317.2626	32	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.4478	32	1
2_MACS_peak_18224_lociStitched	chr22	23269415	23284417	2	10638	21724.3962	3902.0202	33		IGLL5	IGLL5	IGLL5	0.6605	33	1
7_MACS_peak_28256_lociStitched	chr9	130532630	130568553	7	16939	23906.7565	6106.91	34	CDK9,MIR2861,FPGS,SH2D3C	TOR2A,SH2D3C,ENG	CDK9	CDK9	0.475	34	1
6_MACS_peak_10349_lociStitched	chr16	68269800	68299483	6	14889	23473.3164	5859.4242	35	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	PLA2G15	PLA2G15	0.5179	35	1
10_MACS_peak_10300_lociStitched	chr16	67183286	67219812	10	19119	23566.5752	6096.1894	36	FBXL8,HSF4,NOL3,B3GNT9,TRADD,KIAA0895L,EXOC3L	C16orf70,E2F4,ELMO3,TMEM208,MIR328,LRRC29	NOL3	NOL3	0.40730000000000005	36	1
6_MACS_peak_5771_lociStitched	chr12	4377669	4405902	6	15003	22346.4195	4954.8915	37	CCND2	C12orf5	CCND2	CCND2	0.44909999999999994	37	1
5_MACS_peak_25611_lociStitched	chr7	102064085	102092845	5	18104	23025.256	5648.464	38	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	0.41190000000000004	38	1
5_MACS_peak_11800_lociStitched	chr17	56402002	56422719	5	16711	22328.7826	5237.2576	39	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	0.8146	39	1
5_MACS_peak_10001_lociStitched	chr16	30193971	30223403	5	16345	23198.3024	6292.5616	40	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	CORO1A	0.552	40	1
6_MACS_peak_18478_lociStitched	chr22	37611195	37642049	6	17942	23054.1088	6275.7036	41	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	0.5005999999999999	41	1
5_MACS_peak_18949_lociStitched	chr3	13035643	13061704	5	15632	22086.6975	5464.9917	42	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.15580000000000002	42	1
9_MACS_peak_8374_lociStitched	chr15	31628776	31660586	9	17975	22737.788	6142.511	43	KLF13		KLF13	KLF13	0.38939999999999997	43	1
8_MACS_peak_4037_lociStitched	chr10	125822571	125854486	8	18182	22519.224	5948.956	44	CHST15		CHST15	CHST15	0.2522	44	1
7_MACS_peak_28268_lociStitched	chr9	130673051	130706638	7	17936	22311.8441	5884.4424	45	ST6GALNAC4,PIP5KL1,DPM2,FAM102A	AK1,ST6GALNAC6	PIP5KL1	PIP5KL1	0.5023	45	1
6_MACS_peak_16512_lociStitched	chr2	219741138	219763686	6	12779	20775.7272	4464.504	46	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	0.6945	46	1
3_MACS_peak_14820_lociStitched	chr2	20405776	20426269	3	16662	20738.916	4604.7771	47	SDC1		SDC1	SDC1	0.5253	47	1
6_MACS_peak_1745_lociStitched	chr1	155900962	155932471	6	16504	23827.1058	7760.6667	48	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	RXFP4	0.8005	48	1
5_MACS_peak_8958_lociStitched	chr15	75063082	75083625	5	16604	19887.6783	4353.0617	49	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	0.5651	49	1
3_MACS_peak_1680_lociStitched	chr1	154374627	154394360	3	14346	22126.6129	6598.7152	50	IL6R		IL6R	IL6R	0.2816000000000001	50	1
4_MACS_peak_17049_lociStitched	chr20	25260427	25281699	4	12673	19155.436	3792.7976	51	PYGB,ABHD12		PYGB	PYGB	0.32789999999999997	51	1
4_MACS_peak_18608_lociStitched	chr22	39914742	39931672	4	11969	18639.93	3386	52	ATF4,RPS19BP1	MGAT3,SMCR7L,CACNA1I	RPS19BP1	RPS19BP1	0.6225	52	1
8_MACS_peak_8191_lociStitched	chr14	106143533	106172987	8	16250	18750.4164	3558.0432	53			TMEM121	TMEM121	0.2475	53	1
6_MACS_peak_28372_lociStitched	chr9	134127017	134154062	6	14749	19745.5545	4765.329	54	FAM78A	PPAPDC3	FAM78A	FAM78A	0.4293	54	1
3_MACS_peak_13571_lociStitched	chr19	13943584	13959355	3	10293	17452.1886	2498.1264	55	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	0.7935	55	1
5_MACS_peak_19882_lociStitched	chr3	129027011	129054625	5	14626	20218.9708	5406.8212	56	C3orf47,H1FX	C3orf37	H1FX	H1FX	0.8259000000000001	56	1
4_MACS_peak_13161_lociStitched	chr19	3970350	3991209	4	19257	19826.4795	5060.3934	57	EEF2,SNORD37	ITGB1BP3,PIAS4,MIR637,DAPK3	SNORD37	SNORD37	0.758	57	1
4_MACS_peak_20401_lociStitched	chr3	193848179	193860355	4	10236	17400.7216	2689.6784	58	HES1		HES1	HES1	1.1300999999999999	58	1
5_MACS_peak_13037_lociStitched	chr19	1847227	1866120	5	11192	18227.9664	3856.0613	59	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	KLF16	0.6942	59	1
7_MACS_peak_4819_lociStitched	chr11	63992311	64020463	7	15124	18963.1872	4633.8192	60	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	FKBP2	0.5451	60	1
3_MACS_peak_22528_lociStitched	chr5	138717726	138730971	3	10401	17135.0565	2815.887	61	SLC23A1,MZB1,LOC389333	PAIP2,SPATA24,DNAJC18	MZB1	MZB1	1.1241	61	1
7_MACS_peak_12022_lociStitched	chr17	72732657	72756398	7	16015	18916.8288	4605.754	62	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	MIR3615	MIR3615	0.5678000000000001	62	1
3_MACS_peak_26051_lociStitched	chr7	150101138	150118800	3	9499	18760.5764	4502.0438	63	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	LOC728743	0.8312	63	1
4_MACS_peak_5038_lociStitched	chr11	67760359	67781715	4	13560	18449.4484	4281.878	64	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	UNC93B1	0.5581	64	1
2_MACS_peak_1559_lociStitched	chr1	149821561	149833969	2	7146	17693.808	3561.096	65	HIST2H2AA4,HIST2H3A,HIST2H2BC,HIST2H4B	HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2BC	0.8729	65	1
3_MACS_peak_2737_lociStitched	chr1	234735030	234749774	3	9392	18627.5696	4514.6128	66	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	0.9256	66	1
6_MACS_peak_12121_lociStitched	chr17	74476184	74503176	6	10594	18594.7888	4542.7536	67	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	RHBDF2	0.39549999999999996	67	1
4_MACS_peak_17535_lociStitched	chr20	55958755	55975782	4	12619	17027	3015.4817	68	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	0.5657000000000001	68	1
11_MACS_peak_14332_lociStitched	chr19	48406520	48461549	11	36286	34084.9626	20190.1401	69	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1,BSPH1	SNAR-C2	SNAR-C2	0.19280000000000003	69	1
2_MACS_peak_1557_lociStitched	chr1	149802803	149815486	2	8028	17456.8812	3636.2161	70	HIST2H4B,HIST2H3A,HIST2H2AA4	FCGR1A,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H3A	HIST2H3A	0.9231	70	1
5_MACS_peak_8468_lociStitched	chr15	40387678	40409228	5	13806	18612.735	4814.27	71	BMF	BUB1B	BMF	BMF	0.4275	71	1
6_MACS_peak_9557_lociStitched	chr16	3199147	3224853	6	10917	17462.0858	3711.9464	72		ZNF205,ZNF213,OR1F1,OR1F2P,MGC3771	ZNF213	ZNF205	0.18719999999999998	72	1
7_MACS_peak_23576_lociStitched	chr6	31781639	31810275	7	16895	18802.3976	5085.7536	73	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	HSPA1B	0.677	73	1
4_MACS_peak_13236_lociStitched	chr19	5679327	5697101	4	12227	18163.2506	4487.935	74	HSD11B1L,RPL36,C19orf70,LONP1	TMEM146	RPL36	RPL36	0.9033	74	1
3_MACS_peak_2315_lociStitched	chr1	204474929	204491866	3	13429	18979.6022	5308.0558	75	MDM4	PIK3C2B	MDM4	MDM4	0.2391	75	1
2_MACS_peak_2078_lociStitched	chr1	179846088	179853052	2	3643	15668.3036	2023.042	76	TOR1AIP1,TOR1AIP2		TOR1AIP1	TOR1AIP1	0.26539999999999997	76	1
2_MACS_peak_614_lociStitched	chr1	31216059	31231247	2	14832	17311.2824	3772.6992	77	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	0.4721	77	1
2_MACS_peak_15085_lociStitched	chr2	43444445	43457618	2	11915	16684.9218	3156.2508	78	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	0.9521	78	1
3_MACS_peak_23568_lociStitched	chr6	31694573	31709144	3	11452	16863.0183	3428.5563	79	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	0.8416000000000001	79	1
7_MACS_peak_11249_lociStitched	chr17	34409495	34432595	7	13164	19103.7	5717.25	80	CCL4,CCL3	CCL18	CCL3	CCL3	0.7744000000000001	80	1
5_MACS_peak_17972_lociStitched	chr21	44829971	44852035	5	18090	18235.896	4902.6208	81	SIK1	C21orf125,C21orf84	SIK1	SIK1	0.596	81	1
4_MACS_peak_2332_lociStitched	chr1	205242283	205258620	4	12294	18377.4913	5172.2942	82	TMCC2	NUAK2	NUAK2	NUAK2	0.21939999999999998	82	1
5_MACS_peak_12952_lociStitched	chr19	908424	927682	5	13634	16159.3878	3125.5734	83	KISS1R,ARID3A,C19orf22	CFD,MED16	KISS1R	KISS1R	0.6346999999999999	83	1
5_MACS_peak_11261_lociStitched	chr17	34522297	34540251	5	13265	19568.0646	6626.8214	84	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	0.5156000000000001	84	1
3_MACS_peak_4895_lociStitched	chr11	65264073	65278872	3	8835	16839.7821	3903.9762	85	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	0.7288999999999999	85	1
2_MACS_peak_2066_lociStitched	chr1	179048155	179059435	2	11174	16055.952	3142.608	86	TOR3A		TOR3A	TOR3A	0.5894	86	1
8_MACS_peak_10199_lociStitched	chr16	56964028	56986122	8	15557	18503.725	5640.5982	87	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	0.5109999999999999	87	1
5_MACS_peak_9974_lociStitched	chr16	29815904	29833212	5	10552	15833.3584	2983.8992	88	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	PRRT2	PRRT2	0.68	88	1
2_MACS_peak_25822_lociStitched	chr7	128572284	128583597	2	9304	15945.6735	3126.9132	89	IRF5	KCP	IRF5	IRF5	0.5966	89	1
5_MACS_peak_9854_lociStitched	chr16	22194957	22219191	5	11947	17836.224	5026.1316	90	EEF2K		EEF2K	EEF2K	0.0856	90	1
3_MACS_peak_13666_lociStitched	chr19	16694597	16711360	3	10181	16726.1214	3924.2183	91	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.16910000000000003	91	1
2_MACS_peak_8370_lociStitched	chr15	31547182	31560441	2	8381	15547.5034	2850.685	92			KLF13	KLF13	0.38939999999999997	92	1
4_MACS_peak_18220_lociStitched	chr22	23223204	23240124	4	12547	15779.592	3189.42	93	IGLL5		IGLL5	IGLL5	0.6605	93	1
6_MACS_peak_3854_lociStitched	chr10	105244854	105268853	6	13170	17293.6794	4802.1999	94	NEURL	CALHM2,CALHM1,CALHM3	NEURL	CALHM3	0.2443	94	1
2_MACS_peak_2286_lociStitched	chr1	203288829	203297737	2	7662	16033.5092	3596.1596	95		BTG2,LOC730227,FMOD	BTG2	BTG2	0.6887000000000001	95	1
8_MACS_peak_4923_lociStitched	chr11	65640364	65670172	8	13160	17473.4496	5046.4944	96	CTSW,CCDC85B,FIBP,FOSL1	SNX32,MUS81,DRAP1,TSGA10IP,CFL1,EFEMP2,C11orf68	FIBP	CFL1	0.5436	96	1
