REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X31_0EX7_0229Kronos_MM1S.No.Treatment.1_IRF4_hs_i45.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
11_MACS_peak_13052_lociStitched	chr19	2031167	2099465	11	48356	74615.565	16412.0094	1	IZUMO4,MKNK2,MOBKL2A	BTBD2	MKNK2	1	1
16_MACS_peak_13068_lociStitched	chr19	2229377	2291629	16	43233	55086.7948	12506.4268	2	DOT1L,SF3A2,AMH,MIR4321,OAZ1,PLEKHJ1,MIR1227,JSRP1,C19orf35,LINGO3	SPPL2B,LSM7	JSRP1	2	1
12_MACS_peak_25617_lociStitched	chr7	102118197	102187826	12	40869	47939.5665	20032.2633	3	POLR2J,POLR2J3	ORAI2,LRWD1,SPDYE2,ALKBH4	POLR2J	3	1
7_MACS_peak_13103_lociStitched	chr19	2594667	2638123	7	30864	53277.056	11572.3328	4	GNG7		GNG7	4	1
9_MACS_peak_15641_lociStitched	chr2	99060624	99108021	9	35777	41225.9106	12541.2462	5	INPP4A		INPP4A	5	1
13_MACS_peak_12181_lociStitched	chr17	76116680	76176677	13	33954	40161.9918	10781.4609	6	TMC8,C17orf99,SYNGR2,TMC6,TK1	AFMID,BIRC5,EPR1	C17orf99	6	1
14_MACS_peak_9691_lociStitched	chr16	11761511	11819186	14	35545	37344.5625	11990.6325	7	SNN,TXNDC11		SNN	7	1
11_MACS_peak_14332_lociStitched	chr19	48406520	48461549	11	36286	34084.9626	20190.1401	8	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1,BSPH1	SNAR-C2	8	1
6_MACS_peak_25631_lociStitched	chr7	102244687	102283737	6	34302	31790.605	12234.365	9	RASA4,UPK3BL,POLR2J2	POLR2J3	RASA4	9	1
6_MACS_peak_12969_lociStitched	chr19	1061892	1105876	6	27169	35715.008	8906.76	10	ABCA7,HMHA1,GPX4,POLR2E	CNN2,C19orf6,SBNO2	POLR2E	10	1
7_MACS_peak_5840_lociStitched	chr12	7045735	7081058	7	24146	36442.7391	7559.122	11	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	11	1
14_MACS_peak_12709_lociStitched	chr18	46439227	46480162	14	28305	29121.159	7761.276	12	SMAD7		SMAD7	12	1
8_MACS_peak_23200_lociStitched	chr6	7878177	7918613	8	25687	33937.9348	10743.8452	13	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	13	1
10_MACS_peak_14453_lociStitched	chr19	50595418	50633232	10	30658	18600.7066	10807.2412	14	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14	FLJ26850,SNAR-B1,SNAR-B2,SNAR-D,IZUMO2	SNAR-B1	14	1
4_MACS_peak_17996_lociStitched	chr21	45552309	45580899	4	21497	33953.484	7593.504	15	C21orf33	PWP2	C21orf33	15	1
5_MACS_peak_1698_lociStitched	chr1	154907982	154935805	5	23012	33173.3629	9086.9918	16	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	16	1
4_MACS_peak_13645_lociStitched	chr19	16244277	16273727	4	23638	27205.91	6096.15	18	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	18	1
4_MACS_peak_1786_lociStitched	chr1	156449509	156476087	4	19972	33052.4008	7941.5064	19	MEF2D		MEF2D	19	1
10_MACS_peak_13519_lociStitched	chr19	12867924	12918419	10	22161	29145.714	7261.181	20	BEST2,JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,MAST1,TNPO2,C19orf43,RTBDN	HOOK2	20	1
5_MACS_peak_6298_lociStitched	chr12	53583168	53607830	5	20729	27848.3304	6056.9872	21	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	21	1
4_MACS_peak_14035_lociStitched	chr19	39880842	39904006	4	18351	28651.5516	4790.3152	22	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	22	1
7_MACS_peak_8184_lociStitched	chr14	106023210	106052696	7	20603	25113.2262	5655.4148	23		TMEM121	TMEM121	23	1
5_MACS_peak_26046_lociStitched	chr7	150063337	150084839	5	20818	25374.5102	6282.8844	24	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	24	1
6_MACS_peak_15614_lociStitched	chr2	97191188	97220821	6	19926	25896.2787	5905.8569	25	ARID5A	NEURL3	ARID5A	25	1
5_MACS_peak_13026_lociStitched	chr19	1648003	1673337	5	19202	26091.4866	5104.801	26	TCF3	UQCR11	TCF3	26	1
4_MACS_peak_12987_lociStitched	chr19	1258594	1280462	4	17849	26149.7544	5523.8568	27	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	27	1
4_MACS_peak_13093_lociStitched	chr19	2455420	2480651	4	14780	28321.7975	5205.1553	28	GADD45B,LMNB2	TIMM13	GADD45B	28	1
4_MACS_peak_1766_lociStitched	chr1	156115563	156137064	4	18170	26601.0372	7316.7903	29	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	29	1
10_MACS_peak_10300_lociStitched	chr16	67183286	67219812	10	19119	23566.5752	6096.1894	30	FBXL8,HSF4,NOL3,B3GNT9,TRADD,KIAA0895L,EXOC3L	C16orf70,E2F4,ELMO3,TMEM208,MIR328,LRRC29	NOL3	30	1
5_MACS_peak_25611_lociStitched	chr7	102064085	102092845	5	18104	23025.256	5648.464	31	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	31	1
3_MACS_peak_6783_lociStitched	chr12	109009520	109031556	3	16234	24973.3988	5233.55	32	SELPLG	TMEM119	SELPLG	32	1
4_MACS_peak_13161_lociStitched	chr19	3970350	3991209	4	19257	19826.4795	5060.3934	33	EEF2,SNORD37	ITGB1BP3,PIAS4,MIR637,DAPK3	SNORD37	33	1
8_MACS_peak_4037_lociStitched	chr10	125822571	125854486	8	18182	22519.224	5948.956	34	CHST15		CHST15	34	1
6_MACS_peak_18478_lociStitched	chr22	37611195	37642049	6	17942	23054.1088	6275.7036	35	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	35	1
5_MACS_peak_1582_lociStitched	chr1	150531959	150553342	5	16490	26130.026	7317.2626	36	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	36	1
9_MACS_peak_8374_lociStitched	chr15	31628776	31660586	9	17975	22737.788	6142.511	37	KLF13		KLF13	37	1
7_MACS_peak_28268_lociStitched	chr9	130673051	130706638	7	17936	22311.8441	5884.4424	38	ST6GALNAC4,PIP5KL1,DPM2,FAM102A	AK1,ST6GALNAC6	PIP5KL1	38	1
