GENE_ID	locusLine	bin_1_10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19.bam
NM_001990	chr1(.):28295818-28420131	0.351
NM_001006605	chr1(.):93302720-93432079	0.3973
NM_001113228	chr1(.):107677628-108029475	0.1994
NM_014917	chr1(.):107677744-108029475	0.1995
NM_001010935	chr1(.):112157404-112261101	0.1346
NM_201569	chr1(.):183436505-183528328	0.3995
NM_002481	chr1(.):202312829-202562697	0.3319
NM_004091	chr1(.):23827921-23862713	1.1298
NM_020448	chr1(.):24737244-24804473	0.1396
NM_173065	chr1(.):24475646-24518751	2.1338
NM_002379	chr1(.):31179123-31201432	0.2205
NR_034182	chr1(.):31186618-31204593	0.2704
NM_174964	chr1(.):44168217-44401831	0.34
NM_001081976	chr1(.):112020969-112111597	0.1795
NM_001195260	chr1(.):144946760-145002111	0.9312
NM_153713	chr1(.):145472084-145504091	0.2358
NM_022359	chr1(.):144946760-145081186	0.5383
NM_001002812	chr1(.):144885590-145000022	0.8437
NM_014644	chr1(.):144846426-145000022	0.6608
NM_001195261	chr1(.):144946760-145000082	0.9469
NM_001198834	chr1(.):144846423-145000033	0.6608
NM_001002810	chr1(.):144946760-145000033	0.9475
NM_001198832	chr1(.):144846423-145044992	0.5819
NM_207168	chr1(.):150594521-150607098	0.9161
NM_020524	chr1(.):154911558-154933567	3.841
NM_181359	chr1(.):154372668-154445188	1.3161
NM_002249	chr1(.):154674914-154847754	0.8329
NM_170782	chr1(.):154674914-154837338	0.853
NM_005572	chr1(.):156079460-156112657	0.5867
NM_005973	chr1(.):156732273-156775609	0.319
NM_007348	chr1(.):161731083-161933852	0.2597
NM_014412	chr1(.):174963891-174986163	0.9556
NM_014857	chr1(.):174123633-174932327	0.1123
NM_001035230	chr1(.):174839683-174932327	0.2148
NM_001007214	chr1(.):174963570-174986163	0.9442
NM_015149	chr1(.):183600207-183902666	0.7444
NM_144977	chr1(.):197516384-197749623	0.2711
NM_001195215	chr1(.):197468878-197749623	0.2391
NM_032103	chr1(.):202426870-202562697	0.4378
NM_014827	chr1(.):203759750-203828256	0.207
NM_182663	chr1(.):206675878-206767616	0.7442
NM_001193338	chr1(.):207071630-207100235	2.5309
NM_005449	chr1(.):207071630-207100378	2.5189
NM_002221	chr1(.):226814390-226931876	0.8955
NM_004481	chr1(.):230197955-230422875	0.6468
NM_017707	chr1(.):23750055-23815750	0.0631
NM_002167	chr1(.):23879408-23891322	1.8636
NR_027042	chr1(.):23948823-23972056	0.506
NM_021258	chr1(.):24441260-24474611	0.1149
NR_027087	chr1(.):24521729-24543180	2.474
NM_001199013	chr1(.):24678488-24745262	0.6105
NM_001199012	chr1(.):24678488-24746587	0.6002
NM_006015	chr1(.):27017521-27113601	0.5839
NM_006762	chr1(.):31200314-31235683	3.1589
NM_005202	chr1(.):36555843-36570850	0.0966
NM_018067	chr1(.):36616802-36651441	0.6109
NM_014408	chr1(.):36597172-36620067	0.6013
NM_022756	chr1(.):37953175-37985364	0.1274
NM_025079	chr1(.):37935118-37954978	1.2374
NR_002983	chr1(.):40028045-40038182	1.2046
NR_003929	chr1(.):39982951-40030370	0.3905
NM_014571	chr1(.):40084102-40110348	0.1156
NM_001135653	chr1(.):40021484-40047521	0.8168
NM_001198979	chr1(.):40854016-40893998	0.2549
NM_001198978	chr1(.):40835304-40893998	0.7656
NM_001198980	chr1(.):40857471-40893998	0.1298
NM_022733	chr1(.):40834377-40893998	0.7545
NM_006004	chr1(.):46764379-46787447	0.5207
NM_006369	chr1(.):46739071-46774038	0.357
NM_199044	chr1(.):46801389-46835690	0.2297
NM_001001933	chr1(.):75589118-75632218	0.9604
NM_004974	chr1(.):111140775-111153345	0.0635
NM_002232	chr1(.):111209309-111222655	0.9976
NR_034126	chr1(.):112136628-112155940	1.5172
NM_017709	chr1(.):118143603-118176011	2.6709
NM_001002811	chr1(.):144885590-144937032	0.8647
NM_032305	chr1(.):145451235-145475387	2.3431
NM_202004	chr1(.):145408190-145422545	0.0915
NM_006472	chr1(.):145433461-145447628	3.9808
NM_001039888	chr1(.):145465507-145480647	0.4628
NM_005105	chr1(.):145502637-145516444	1.1209
NM_001161334	chr1(.):149749244-149788928	0.3958
NM_001034077	chr1(.):149799220-149809616	0.9978
NM_001005464	chr1(.):149807258-149817765	2.5183
NM_001040874	chr1(.):149808784-149819318	2.5293
NM_001123375	chr1(.):149779779-149790236	1.1049
NM_000566	chr1(.):149749249-149769074	0.1751
NM_016074	chr1(.):149866154-149877348	0.2747
NM_003528	chr1(.):149851009-149863232	3.1151
NM_003517	chr1(.):149853524-149863961	3.6369
NM_175065	chr1(.):149854018-149864466	3.6229
NR_036461	chr1(.):149816758-149827340	2.4902
NM_001040874	chr1(.):149817627-149828161	2.4896
NM_001005464	chr1(.):149819180-149829687	2.4814
NM_001034077	chr1(.):149827329-149837725	1.038
NM_016274	chr1(.):150117169-150136825	1.8537
NM_019032	chr1(.):150516897-150538412	3.5467
NM_207046	chr1(.):150589598-150606609	0.7664
NR_036211	chr1(.):150519404-150529490	0.1434
NM_001197320	chr1(.):150542026-150557214	1.3472
NM_005620	chr1(.):151999981-152014511	1.6826
NM_002966	chr1(.):151950385-151971714	0.2084
NM_001008536	chr1(.):152051619-152066540	0.0658
NM_006556	chr1(.):154892207-154914484	1.9181
NM_001130041	chr1(.):154929773-154951959	1.9389
NM_001130040	chr1(.):154929773-154948223	2.0265
NM_201398	chr1(.):154950769-154970587	0.2638
NM_015872	chr1(.):154970111-154995999	1.3544
NM_001184892	chr1(.):154950769-154966488	0.2825
NM_018655	chr1(.):154961061-154971791	0.2403
NM_001143687	chr1(.):155001281-155028406	0.3094
NR_024163	chr1(.):154942117-154956725	1.8843
NM_144622	chr1(.):154986002-155011257	0.3829
NM_138300	chr1(.):154924501-154939258	3.4681
NR_036212	chr1(.):154943168-154953259	2.3559
NM_006912	chr1(.):155862600-155886177	0.1782
NM_001162384	chr1(.):155911629-155953336	2.3018
NM_181885	chr1(.):155906479-155917625	2.1008
NM_004723	chr1(.):155911629-155952966	2.3113
NM_014949	chr1(.):155877835-155909188	0.3855
NR_002974	chr1(.):155884699-155894833	0.0865
NR_003005	chr1(.):155890748-155900877	0.0996
NM_003145	chr1(.):155973838-155995758	0.2601
NM_014655	chr1(.):156158729-156187587	0.5742
NM_007221	chr1(.):156177783-156214833	0.6982
NM_022367	chr1(.):156118321-156152542	2.4674
NM_001193302	chr1(.):156118368-156152542	2.4676
NM_001193301	chr1(.):156114734-156152542	2.4663
NM_005920	chr1(.):156428518-156475529	1.2671
NM_198427	chr1(.):156606739-156628264	0.1274
NM_021817	chr1(.):156584085-156600517	0.0952
NM_021948	chr1(.):156606739-156634320	0.9416
NM_004494	chr1(.):156706898-156726543	1.6823
