GENE_ID	locusLine	bin_1_MM5_jia.bam
NM_032236	chr1(.):21999791-22114688	0.1269
NM_021639	chr1(.):46087975-46157302	0.1461
NM_001006605	chr1(.):93302720-93432079	0.1634
NM_201569	chr1(.):183436505-183528328	0.1433
NM_001198993	chr1(.):1677670-1715297	0.2527
NM_023018	chr1(.):1677670-1714909	0.254
NM_033487	chr1(.):1566099-1660775	0.1557
NM_001198994	chr1(.):1677670-1716508	0.2469
NM_015291	chr1(.):15848351-15903228	0.152
NR_026567	chr1(.):17012712-17051652	0.1111
NM_001013693	chr1(.):22133757-22156714	0.0755
NM_032017	chr1(.):36800224-36856485	0.1689
NM_002600	chr1(.):66253855-66845262	0.1168
NM_001037341	chr1(.):66253192-66845262	0.1168
NM_001037340	chr1(.):66453389-66845262	0.1299
NM_033055	chr1(.):100498788-100553929	0.1674
NM_015836	chr1(.):119568838-119688295	0.1042
NR_024584	chr1(.):144295516-144346755	0.1435
NM_207168	chr1(.):150594521-150607098	0.2127
NM_020524	chr1(.):154911558-154933567	0.2627
NM_144977	chr1(.):197516384-197749623	0.1039
NM_001195215	chr1(.):197468878-197749623	0.1
NM_014935	chr1(.):204182980-204334044	0.0608
NM_032328	chr1(.):245128170-245256148	0.1052
NR_026588	chr1(.):245128630-245256148	0.1055
NR_026587	chr1(.):245128630-245293530	0.0955
NR_026586	chr1(.):245128283-245293530	0.0953
NM_080875	chr1(.):1545794-1570990	0.1919
NM_014188	chr1(.):1472052-1515262	0.1483
NM_001114748	chr1(.):1465157-1480740	0.0583
NM_001170689	chr1(.):1546244-1570990	0.1941
NM_182838	chr1(.):1658680-1682431	0.2574
NM_001110781	chr1(.):1587938-1629243	0.2199
NM_024011	chr1(.):1629169-1660791	0.124
NM_001198995	chr1(.):1677670-1695081	0.1568
NM_002074	chr1(.):1711728-1827495	0.1311
NM_138705	chr1(.):1841265-1853733	0.0957
NM_178545	chr1(.):1844028-1855740	0.0866
NM_015849	chr1(.):15797595-15822895	0.0638
NM_001229	chr1(.):15813768-15855940	0.1685
NM_032996	chr1(.):15813768-15856285	0.1677
NR_026752	chr1(.):16939750-16962401	0.2582
NR_027504	chr1(.):16967068-16981915	0.4272
NR_002729	chr1(.):17076400-17095975	0.1878
NM_014675	chr1(.):17243444-17304474	0.0743
NM_001032730	chr1(.):22049338-22114688	0.152
NR_026685	chr1(.):26432655-26457026	0.2911
NM_152835	chr1(.):26433267-26457026	0.2979
NM_032588	chr1(.):26372797-26399121	0.0637
NM_024869	chr1(.):26480510-26494119	0.0666
NM_032881	chr1(.):36854030-36868493	0.1771
NR_026768	chr1(.):46106451-46117357	0.0841
NM_016486	chr1(.):46148846-46165108	0.3343
NM_001037339	chr1(.):66792792-66845262	0.307
NM_006769	chr1(.):87789150-87819607	0.2452
NM_001127215	chr1(.):92935317-92954356	0.3503
NM_005263	chr1(.):92935317-92957433	0.3259
NM_001127216	chr1(.):92935317-92956628	0.3338
NM_004974	chr1(.):111140775-111153345	0.0779
NM_002232	chr1(.):111209309-111222655	0.5068
NM_017709	chr1(.):118143603-118176011	0.9317
