GENE_ID	locusLine	bin_1_05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07.bam
NM_001017415	chr1(.):62896974-62922475	0.7966
NM_003368	chr1(.):62897382-62922475	0.8091
NM_001010935	chr1(.):112157404-112261101	0.1041
NM_003820	chr1(.):2482804-2500267	0.4919
NM_201628	chr1(.):14920212-15449544	0.1152
NM_015209	chr1(.):14920212-15399651	0.1182
NM_015001	chr1(.):16169358-16271950	0.1486
NR_026567	chr1(.):17012712-17051652	0.1759
NM_001113348	chr1(.):21538739-21677034	0.2889
NM_004091	chr1(.):23827921-23862713	1.3129
NM_173065	chr1(.):24475646-24518751	1.138
NM_002379	chr1(.):31179123-31201432	0.2245
NR_034182	chr1(.):31186618-31204593	0.2551
NM_002600	chr1(.):66253855-66845262	0.2358
NM_001037341	chr1(.):66253192-66845262	0.2356
NM_001037340	chr1(.):66453389-66845262	0.3139
NM_001081976	chr1(.):112020969-112111597	0.1353
NM_004892	chr1(.):145091406-145121922	0.251
NM_153713	chr1(.):145472084-145504091	0.243
NM_207168	chr1(.):150594521-150607098	0.7698
NM_015203	chr1(.):150331989-150454041	0.2425
NM_020699	chr1(.):153772202-153900451	0.1881
NM_020524	chr1(.):154911558-154933567	2.647
NM_181359	chr1(.):154372668-154445188	0.9321
NM_002249	chr1(.):154674914-154847754	0.5215
NM_170782	chr1(.):154674914-154837338	0.5343
NM_005572	chr1(.):156079460-156112657	0.4249
NM_005973	chr1(.):156732273-156775609	0.3386
NM_012394	chr1(.):161065345-161092866	0.3146
NM_052862	chr1(.):167594473-167680486	0.4015
NM_014412	chr1(.):174963891-174986163	0.9549
NM_001007214	chr1(.):174963570-174986163	0.9429
NM_145034	chr1(.):179804101-179851941	0.4103
NM_022347	chr1(.):179823164-179851941	0.6254
NM_015149	chr1(.):183600207-183902666	0.3918
NM_025191	chr1(.):184654624-184729041	0.3819
NM_144977	chr1(.):197516384-197749623	0.2256
NM_001195215	chr1(.):197468878-197749623	0.2025
NM_014827	chr1(.):203759750-203828256	0.2051
NM_015375	chr1(.):205106630-205185727	0.174
NM_182663	chr1(.):206675878-206767616	0.6344
NM_001193338	chr1(.):207071630-207100235	1.0393
NM_005449	chr1(.):207071630-207100378	1.0347
NM_001143962	chr1(.):223709971-223858436	0.0615
NM_002221	chr1(.):226814390-226931876	0.7253
NM_020247	chr1(.):227122937-227180246	0.3721
NM_004481	chr1(.):230197955-230422875	0.3848
NM_032328	chr1(.):245128170-245256148	0.3155
NR_026588	chr1(.):245128630-245256148	0.3162
NR_026587	chr1(.):245128630-245293530	0.2599
NR_026586	chr1(.):245128283-245293530	0.2593
NM_001010926	chr1(.):2455183-2466684	0.2993
NR_026927	chr1(.):2476358-2489284	1.3693
NM_018216	chr1(.):2434974-2463035	0.1455
NM_001195741	chr1(.):2513188-2527908	0.2742
NR_036638	chr1(.):2512898-2527908	0.2696
NM_001089591	chr1(.):16128656-16139194	0.054
NR_024279	chr1(.):16155709-16179642	1.1948
NR_026752	chr1(.):16939750-16962401	0.4456
NR_027504	chr1(.):16967068-16981915	1.3081
NR_002729	chr1(.):17076400-17095975	0.1508
NM_014675	chr1(.):17243444-17304474	0.113
NM_001397	chr1(.):21538739-21621982	0.3558
NM_001113347	chr1(.):21538739-21611183	0.0795
NM_001113349	chr1(.):21538739-21621766	0.353
NM_017707	chr1(.):23750055-23815750	0.0742
NM_002167	chr1(.):23879408-23891322	0.5455
NM_021258	chr1(.):24441260-24474611	0.112
NR_027087	chr1(.):24521729-24543180	0.5704
NM_017837	chr1(.):27109485-27129887	0.9616
NM_006015	chr1(.):27017521-27113601	0.556
NM_032283	chr1(.):27148200-27187211	0.3872
NM_006762	chr1(.):31200314-31235683	1.7971
NM_005202	chr1(.):36555843-36570850	0.0763
NM_018067	chr1(.):36616802-36651441	0.4038
NM_014408	chr1(.):36597172-36620067	0.4053
NM_022756	chr1(.):37953175-37985364	0.1569
NM_025079	chr1(.):37935118-37954978	0.8343
NM_001198979	chr1(.):40854016-40893998	0.148
NM_001198978	chr1(.):40835304-40893998	0.3705
NM_001198980	chr1(.):40857471-40893998	0.1
NM_022733	chr1(.):40834377-40893998	0.3664
NM_015696	chr1(.):53063042-53079723	0.1303
NM_001042693	chr1(.):53094065-53127737	0.7231
NM_001037339	chr1(.):66792792-66845262	0.7277
NM_001001933	chr1(.):75589118-75632218	0.7797
NM_001127215	chr1(.):92935317-92954356	0.9134
NM_005263	chr1(.):92935317-92957433	0.7933
NM_001127216	chr1(.):92935317-92956628	0.8209
NM_004974	chr1(.):111140775-111153345	0.0615
NM_002232	chr1(.):111209309-111222655	0.8458
NR_034126	chr1(.):112136628-112155940	0.8927
NM_017709	chr1(.):118143603-118176011	2.3903
NM_001123068	chr1(.):143762143-143772881	0.0996
NR_027469	chr1(.):143713512-143749587	0.7055
NR_027468	chr1(.):143713512-143749457	0.7078
NM_032305	chr1(.):145451235-145475387	1.3033
NM_202004	chr1(.):145408190-145422545	0.1249
NM_006472	chr1(.):145433461-145447628	1.8443
NM_001039888	chr1(.):145465507-145480647	0.3722
NM_003846	chr1(.):145511164-145528732	0.608
NM_005105	chr1(.):145502637-145516444	1.1533
NM_001184795	chr1(.):145511559-145528732	0.6215
NM_003637	chr1(.):145519989-145548868	0.1084
NM_144698	chr1(.):145544208-145573526	0.1619
NR_002328	chr1(.):145504819-145521076	1.0743
NR_003377	chr1(.):145919387-145947619	0.077
NR_003377	chr1(.):147461093-147489331	0.0845
NR_027468	chr1(.):147901021-147936980	0.3945
NM_001161334	chr1(.):149749244-149788928	0.3344
NM_001034077	chr1(.):149799220-149809616	1.1398
NM_001005464	chr1(.):149807258-149817765	2.222
NM_001040874	chr1(.):149808784-149819318	2.214
NM_001123375	chr1(.):149779779-149790236	0.7775
NM_000566	chr1(.):149749249-149769074	0.2221
NM_005850	chr1(.):149890210-149904702	0.9177
NM_016074	chr1(.):149866154-149877348	0.4287
NM_003528	chr1(.):149851009-149863232	2.0261
NM_003517	chr1(.):149853524-149863961	2.3493
NM_175065	chr1(.):149854018-149864466	2.342
NM_014849	chr1(.):149869871-149894434	0.2368
NM_181873	chr1(.):149895542-149913266	0.9856
NM_001145862	chr1(.):149895542-149913791	0.9578
NR_036461	chr1(.):149816758-149827340	2.0482
NM_001040874	chr1(.):149817627-149828161	2.0602
NM_001005464	chr1(.):149819180-149829687	2.0583
