GENE	H3k27ac_20_DMSO_compare_TSS_SIGNAL	H3k27ac_20_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	1358.9129
A1BG-AS1	0.0	1358.9129
A2LD1	1061.875	126.87360000000001
A2M	0.0	50.727599999999995
A2ML1	0.0	0.0
A4GALT	0.0	2061.1042
A4GNT	0.0	1160.9157999999998
AAA1	0.0	23254.696299999996
AAAS	5728.605	30054.4155
AACS	916.9335	3291.3978
AADAT	0.0	2156.4405
AAGAB	2490.9309	4471.6942
AAK1	12479.6	4715.208699999999
AAMP	3179.2328	24345.289999999997
AANAT	0.0	61151.286
AARS	5516.4	15979.420399999999
AARS2	1416.2526	32384.227499999997
AARSD1	4693.8465	4266.714199999999
AASDH	6463.2	3944.2014
AASDHPPT	8060.4266	615.7619
AASS	2014.1685	3305.3393000000005
AATF	2691.1521000000002	41.1333
AATK	0.0	202.61020000000002
ABAT	0.0	204.7536
ABCA1	922.1383999999999	9425.998
ABCA10	0.0	417.44429999999994
ABCA11P	3152.0678000000003	6.1698
ABCA12	0.0	709.6557
ABCA13	0.0	6394.8742999999995
ABCA17P	0.0	376.02830000000006
ABCA2	0.0	6605.460999999999
ABCA3	0.0	376.02830000000006
ABCA5	2706.2602	888.4395
ABCA7	4575.2	52477.8777
ABCB1	0.0	10.626
ABCB10	4776.0	1587.7456
ABCB11	0.0	2055.5267
ABCB5	0.0	1825.956
ABCB6	1907.0615999999998	5505.2001
ABCB7	2024.9532000000002	0.0
ABCB8	3984.2	10178.965699999999
ABCB9	4597.9396	75221.30480000003
ABCC1	1488.2	2860.9682
ABCC10	4534.9583999999995	1979.8601999999998
ABCC11	0.0	2082.822
ABCC12	0.0	180.50400000000002
ABCC13	0.0	0.0
ABCC2	0.0	222.60479999999998
ABCC3	0.0	7166.519
ABCC4	0.0	398.31
ABCC5	2257.791	479.2366
ABCC6	0.0	3647.8688
ABCC6P1	0.0	4565.164699999999
ABCC6P2	0.0	2521.4507999999996
ABCC8	0.0	1375.7953
ABCD1	1853.6372999999999	2910.7006
ABCD2	28415.8	11038.1076
ABCD3	1380.7440000000001	0.0
ABCD4	611.3688000000001	1026.8745
ABCE1	4322.533399999999	6032.353500000001
ABCF1	2708.8284	29600.673399999996
ABCF2	2956.4	381.0121
ABCF3	4578.2	1004.9372
ABCG1	914.0932	29698.9216
ABCG2	0.0	19986.533700000004
ABCG4	0.0	10947.196600000001
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	0.0	79026.5603
ABHD10	3051.3665	3488.4598
ABHD11	5476.7204	3140.2563
ABHD12	5300.6	117573.7465
ABHD12B	0.0	4947.0869
ABHD13	3223.9284000000002	6.0956
ABHD14A	3057.15	710.9097
ABHD14B	3911.456	710.9097
ABHD15	7373.027899999999	3972.3657000000003
ABHD2	2679.4845	95874.70150000002
ABHD3	4861.647	5944.374400000001
ABHD4	5034.747899999999	38891.89719999999
ABHD5	5868.2	1505.1344
ABHD6	1660.4397000000001	1102.0952
ABHD8	0.0	5915.5978000000005
ABI1	6077.9268	10829.328399999999
ABI2	2109.054	2033.5174000000002
ABI3	0.0	6930.7504
