REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM9_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
17_MACS_peak_1747_lociStitched	chr1	118147209	118230730	17	75605	71635.9617	1	1	FAM46C		FAM46C	FAM46C	0.7372	1	1
9_MACS_peak_28288_lociStitched	chr6	285927	359856	9	70134	82911.3735	2	1	DUSP22	IRF4	DUSP22	DUSP22	1.148	2	1
14_MACS_peak_5264_lociStitched	chr11	19439270	19501203	14	54549	51323.8771	3	1	NAV2	FLJ13439	FLJ13439	FLJ13439	0.511	3	1
9_MACS_peak_13575_lociStitched	chr17	16842298	16895872	9	49602	58743.891	4	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.867	4	1
7_MACS_peak_27749_lociStitched	chr5	139027171	139081392	7	47937	66870.7593	5	1	CXXC5		CXXC5	CXXC5	1.302	5	1
13_MACS_peak_33297_lociStitched	chr8	81031307	81087765	13	47690	50484.7436	6	1	TPD52	TPD52	TPD52	TPD52	0.6111	6	1
20_MACS_peak_10586_lociStitched	chr14	91811982	91869812	20	46648	52341.933	7	1	CCDC88C		CCDC88C	CCDC88C	0.5334	7	1
6_MACS_peak_24076_lociStitched	chr3	141085242	141135065	6	45779	64495.8735	8	1	ZBTB38		ZBTB38	ZBTB38	0.6185	8	1
19_MACS_peak_33658_lociStitched	chr8	120910938	120969677	19	44695	40923.4613	9	1	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.3952	9	1
10_MACS_peak_18471_lociStitched	chr2	99066468	99110880	10	43036	36817.548	10	1	INPP4A		INPP4A	INPP4A	0.4009	10	1
3_MACS_peak_28440_lociStitched	chr6	7880212	7923057	3	42448	54254.6235	11	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.0727	11	1
20_MACS_peak_32625_lociStitched	chr8	19493887	19547063	20	42414	35707.684	12	1	CSGALNACT1	CSGALNACT1	CSGALNACT1	CSGALNACT1	0.3833	12	1
9_MACS_peak_3492_lociStitched	chr10	11557252	11606174	9	42175	41118.941	13	1	USP6NL		USP6NL	USP6NL	0.4672	13	1
18_MACS_peak_22757_lociStitched	chr3	31975277	32023660	18	41083	30418.3921	14	1	ZNF860,OSBPL10		ZNF860	ZNF860	0.3129	14	1
13_MACS_peak_4875_lociStitched	chr10	125813245	125855602	13	39929	32246.3841	15	1	CHST15		CHST15	CHST15	0.5209	15	1
18_MACS_peak_2840_lociStitched	chr1	205242175	205291552	18	39390	38257.2996	16	1	TMCC2,NUAK2	KLHDC8A	NUAK2	NUAK2	0.6821	16	1
11_MACS_peak_32724_lociStitched	chr8	27216351	27257922	11	38828	32654.0205	17	1	PTK2B	TRIM35	PTK2B	PTK2B	0.3747	17	1
11_MACS_peak_14750_lociStitched	chr17	75429461	75471627	11	37567	31847.9798	18	1	SEPT9	MIR4316	SEPT9	SEPT9	0.2012	18	1
11_MACS_peak_13147_lociStitched	chr16	81837272	81877478	11	37146	33129.744	19	1	PLCG2		PLCG2	PLCG2	0.3568	19	1
14_MACS_peak_29247_lociStitched	chr6	52382386	52424674	14	36090	27402.624	20	1	TRAM2		TRAM2	TRAM2	0.6399	20	1
8_MACS_peak_30448_lociStitched	chr6	157969538	158009233	8	35694	29664.0735	21	1	ZDHHC14	MIR3692	MIR3692	MIR3692	0.3266	21	1
5_MACS_peak_6070_lociStitched	chr11	72837696	72874226	5	34316	45191.263	22	1	FCHSD2		FCHSD2	FCHSD2	0.4553	22	1
7_MACS_peak_29509_lociStitched	chr6	90049301	90087250	7	34214	44540.7413	23	1	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	0.9557	23	1
8_MACS_peak_14775_lociStitched	chr17	76700613	76738784	8	34060	29975.6863	24	1	CYTH1		CYTH1	CYTH1	0.483	24	1
7_MACS_peak_21704_lociStitched	chr22	23261447	23298074	7	33218	49549.0056	25	1		IGLL5	IGLL5	IGLL5	1.1385	25	1
11_MACS_peak_14456_lociStitched	chr17	62150726	62188510	11	33050	25764.9096	26	1	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.5257	26	1
8_MACS_peak_18049_lociStitched	chr2	64861239	64897088	8	32709	29776.1794	27	1	SERTAD2	LOC339807	SERTAD2	SERTAD2	0.7715	27	1
8_MACS_peak_2780_lociStitched	chr1	203242241	203279890	8	32451	45201.3894	28	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	1.119	28	1
