REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM9_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
9_MACS_peak_28288_lociStitched	chr6	285927	359856	9	70134	82911.3735	1	1	DUSP22	IRF4	DUSP22	1	1
17_MACS_peak_1747_lociStitched	chr1	118147209	118230730	17	75605	71635.9617	2	1	FAM46C		FAM46C	2	1
7_MACS_peak_27749_lociStitched	chr5	139027171	139081392	7	47937	66870.7593	3	1	CXXC5		CXXC5	3	1
6_MACS_peak_10826_lociStitched	chr14	106024753	106058312	6	31749	75390.2935	4	1		TMEM121	TMEM121	4	1
6_MACS_peak_24076_lociStitched	chr3	141085242	141135065	6	45779	64495.8735	5	1	ZBTB38		ZBTB38	5	1
9_MACS_peak_13575_lociStitched	chr17	16842298	16895872	9	49602	58743.891	6	1	TNFRSF13B		TNFRSF13B	6	1
14_MACS_peak_5264_lociStitched	chr11	19439270	19501203	14	54549	51323.8771	7	1	NAV2	FLJ13439	FLJ13439	7	1
7_MACS_peak_10837_lociStitched	chr14	106144997	106179472	7	32189	66457.4575	8	1			TMEM121	8	1
20_MACS_peak_10586_lociStitched	chr14	91811982	91869812	20	46648	52341.933	9	1	CCDC88C		CCDC88C	9	1
13_MACS_peak_33297_lociStitched	chr8	81031307	81087765	13	47690	50484.7436	10	1	TPD52	TPD52	TPD52	10	1
3_MACS_peak_28440_lociStitched	chr6	7880212	7923057	3	42448	54254.6235	11	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	11	1
2_MACS_peak_5321_lociStitched	chr11	22676351	22705857	2	29483	59404.4298	12	1	GAS2	FANCF	GAS2	12	1
19_MACS_peak_33658_lociStitched	chr8	120910938	120969677	19	44695	40923.4613	13	1	DEPDC6	DSCC1	DEPDC6	13	1
9_MACS_peak_3492_lociStitched	chr10	11557252	11606174	9	42175	41118.941	14	1	USP6NL		USP6NL	14	1
7_MACS_peak_21704_lociStitched	chr22	23261447	23298074	7	33218	49549.0056	15	1		IGLL5	IGLL5	15	1
10_MACS_peak_18471_lociStitched	chr2	99066468	99110880	10	43036	36817.548	16	1	INPP4A		INPP4A	16	1
5_MACS_peak_6070_lociStitched	chr11	72837696	72874226	5	34316	45191.263	17	1	FCHSD2		FCHSD2	17	1
20_MACS_peak_32625_lociStitched	chr8	19493887	19547063	20	42414	35707.684	18	1	CSGALNACT1	CSGALNACT1	CSGALNACT1	18	1
7_MACS_peak_29509_lociStitched	chr6	90049301	90087250	7	34214	44540.7413	19	1	UBE2J1,RRAGD	GABRR2	UBE2J1	19	1
18_MACS_peak_2840_lociStitched	chr1	205242175	205291552	18	39390	38257.2996	20	1	TMCC2,NUAK2	KLHDC8A	NUAK2	20	1
8_MACS_peak_2780_lociStitched	chr1	203242241	203279890	8	32451	45201.3894	21	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	21	1
7_MACS_peak_6586_lociStitched	chr11	111216599	111254644	7	32352	43447.39	22	1	POU2AF1	C11orf93,C11orf92	POU2AF1	22	1
13_MACS_peak_4875_lociStitched	chr10	125813245	125855602	13	39929	32246.3841	23	1	CHST15		CHST15	23	1
18_MACS_peak_22757_lociStitched	chr3	31975277	32023660	18	41083	30418.3921	24	1	ZNF860,OSBPL10		ZNF860	24	1
