GENE_ID	locusLine	bin_1_40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84.bam
NM_001006605	chr1(.):93302720-93432079	0.0696
NM_001010935	chr1(.):112157404-112261101	0.0655
NR_002188	chr1(.):155178615-155202325	0.2015
NM_201569	chr1(.):183436505-183528328	0.1788
NM_001113348	chr1(.):21538739-21677034	0.1105
NM_004091	chr1(.):23827921-23862713	0.1371
NM_020448	chr1(.):24737244-24804473	0.1149
NM_173065	chr1(.):24475646-24518751	0.1455
NM_001048199	chr1(.):28827454-28870708	0.1525
NR_002909	chr1(.):28827454-28842404	0.1888
NM_002379	chr1(.):31179123-31201432	0.1235
NR_034182	chr1(.):31186618-31204593	0.1138
NM_174964	chr1(.):44168217-44401831	0.1116
NM_002600	chr1(.):66253855-66845262	0.1093
NM_001037341	chr1(.):66253192-66845262	0.1092
NM_001037340	chr1(.):66453389-66845262	0.1155
NM_024763	chr1(.):67273571-67395570	0.1012
NM_207014	chr1(.):67298281-67395570	0.1054
NM_001081976	chr1(.):112020969-112111597	0.0561
NM_198459	chr1(.):115122195-115217732	0.0519
NM_153713	chr1(.):145472084-145504091	0.1882
NM_207168	chr1(.):150594521-150607098	0.2227
NM_020699	chr1(.):153772202-153900451	0.1741
NM_020524	chr1(.):154911558-154933567	0.2614
NM_181359	chr1(.):154372668-154445188	0.1994
NM_005572	chr1(.):156079460-156112657	0.1857
NM_005973	chr1(.):156732273-156775609	0.1925
NM_012394	chr1(.):161065345-161092866	0.1911
NM_007348	chr1(.):161731083-161933852	0.1702
NM_014412	chr1(.):174963891-174986163	0.2156
NM_014857	chr1(.):174123633-174932327	0.1457
NM_001035230	chr1(.):174839683-174932327	0.1517
NM_001007214	chr1(.):174963570-174986163	0.2136
NM_025191	chr1(.):184654624-184729041	0.1828
NM_144977	chr1(.):197516384-197749623	0.1591
NM_001195215	chr1(.):197468878-197749623	0.1561
NM_014875	chr1(.):200515624-200594862	0.1634
NM_015375	chr1(.):205106630-205185727	0.1691
NM_182663	chr1(.):206675878-206767616	0.1901
NM_001143962	chr1(.):223709971-223858436	0.0812
NM_002221	chr1(.):226814390-226931876	0.1891
NM_004481	chr1(.):230197955-230422875	0.1658
NM_014675	chr1(.):17243444-17304474	0.1264
NM_001397	chr1(.):21538739-21621982	0.1147
NM_001113347	chr1(.):21538739-21611183	0.105
NM_001113349	chr1(.):21538739-21621766	0.1142
NM_017707	chr1(.):23750055-23815750	0.104
NM_002167	chr1(.):23879408-23891322	0.125
NR_027042	chr1(.):23948823-23972056	0.1243
NM_021258	chr1(.):24441260-24474611	0.1073
NR_027087	chr1(.):24521729-24543180	0.144
NM_001199013	chr1(.):24678488-24745262	0.1259
NM_001199012	chr1(.):24678488-24746587	0.1253
NM_015484	chr1(.):25543766-25564013	0.1353
NM_001127691	chr1(.):25593980-25661936	0.1046
NM_020317	chr1(.):25563739-25578985	0.1589
NR_026685	chr1(.):26432655-26457026	0.1224
NM_152835	chr1(.):26433267-26457026	0.1222
NM_032588	chr1(.):26372797-26399121	0.1018
NM_024869	chr1(.):26480510-26494119	0.1089
NM_015871	chr1(.):26491387-26502364	0.1322
NM_017837	chr1(.):27109485-27129887	0.16
NM_006015	chr1(.):27017521-27113601	0.1455
NM_018066	chr1(.):27200872-27221869	0.1293
NM_032283	chr1(.):27148200-27187211	0.1363
NM_006142	chr1(.):27184632-27195947	0.1602
NR_024127	chr1(.):28900049-28913366	0.1666
NM_152304	chr1(.):28913711-28926088	0.1092
NM_001193532	chr1(.):28914006-28926088	0.1098
NR_003035	chr1(.):28902431-28912565	0.1815
NR_002987	chr1(.):28901275-28911405	0.1858
NR_003109	chr1(.):28874528-28910057	0.1306
NM_001269	chr1(.):28839744-28870708	0.1381
NR_002976	chr1(.):28901892-28912024	0.1796
NR_003077	chr1(.):28900254-28910334	0.1852
NM_006762	chr1(.):31200314-31235683	0.1626
NM_005202	chr1(.):36555843-36570850	0.1014
NM_018067	chr1(.):36616802-36651441	0.1092
NM_014408	chr1(.):36597172-36620067	0.1328
NM_022756	chr1(.):37953175-37985364	0.1112
NM_025079	chr1(.):37935118-37954978	0.1686
NR_002983	chr1(.):40028045-40038182	0.1878
NR_003929	chr1(.):39982951-40030370	0.1197
NM_001135653	chr1(.):40021484-40047521	0.1592
NM_001198979	chr1(.):40854016-40893998	0.1261
NM_001198978	chr1(.):40835304-40893998	0.1346
NM_001198980	chr1(.):40857471-40893998	0.1192
NM_022733	chr1(.):40834377-40893998	0.1339
NM_001037339	chr1(.):66792792-66845262	0.1463
NM_001077702	chr1(.):67385577-67459302	0.1257
NM_001077704	chr1(.):67390925-67459302	0.1244
NM_001001933	chr1(.):75589118-75632218	0.1204
NM_006769	chr1(.):87789150-87819607	0.1332
NM_004974	chr1(.):111140775-111153345	0.0587
NM_002232	chr1(.):111209309-111222655	0.0839
NR_034126	chr1(.):112136628-112155940	0.0853
NM_007158	chr1(.):115254536-115305624	0.0674
NM_002524	chr1(.):115242077-115264515	0.0605
NM_001172626	chr1(.):115210719-115243239	0.0633
NM_001130523	chr1(.):115254537-115305671	0.0674
NM_001779	chr1(.):117052155-117118715	0.0753
NM_001144822	chr1(.):117056321-117118715	0.0759
NM_017709	chr1(.):118143603-118176011	0.1192
NM_032305	chr1(.):145451235-145475387	0.2537
NM_202004	chr1(.):145408190-145422545	0.1804
NM_006472	chr1(.):145433461-145447628	0.2415
NM_001039888	chr1(.):145465507-145480647	0.2394
NM_005105	chr1(.):145502637-145516444	0.2449
NM_001161334	chr1(.):149749244-149788928	0.1563
NM_001034077	chr1(.):149799220-149809616	0.1984
NM_001005464	chr1(.):149807258-149817765	0.2478
NM_001040874	chr1(.):149808784-149819318	0.2445
NM_001123375	chr1(.):149779779-149790236	0.1965
NM_000566	chr1(.):149749249-149769074	0.1454
NM_016074	chr1(.):149866154-149877348	0.2054
NM_003528	chr1(.):149851009-149863232	0.2539
NM_003517	chr1(.):149853524-149863961	0.2725
NM_175065	chr1(.):149854018-149864466	0.2644
NR_036461	chr1(.):149816758-149827340	0.2551
NM_001040874	chr1(.):149817627-149828161	0.2459
NM_001005464	chr1(.):149819180-149829687	0.2483
NM_001034077	chr1(.):149827329-149837725	0.1933
NM_019032	chr1(.):150516897-150538412	0.2038
NM_207046	chr1(.):150589598-150606609	0.2137
NR_036211	chr1(.):150519404-150529490	0.1508
NM_001197320	chr1(.):150542026-150557214	0.2412
NM_014437	chr1(.):153926587-153945188	0.2408
NM_130898	chr1(.):153935396-153951832	0.2498
NM_181715	chr1(.):153915151-153936043	0.2078
NM_006694	chr1(.):153941744-153955451	0.202
NM_002870	chr1(.):153949127-153963806	0.2028
NM_014856	chr1(.):153896976-153924154	0.1565
NM_001030	chr1(.):153958238-153969631	0.1968
NM_006556	chr1(.):154892207-154914484	0.2068
NM_001130041	chr1(.):154929773-154951959	0.244
NM_001130040	chr1(.):154929773-154948223	0.2561
NM_201398	chr1(.):154950769-154970587	0.1804
NM_015872	chr1(.):154970111-154995999	0.1982
NM_001184892	chr1(.):154950769-154966488	0.185
NM_018655	chr1(.):154961061-154971791	0.1708
NM_001143687	chr1(.):155001281-155028406	0.1836
NR_024163	chr1(.):154942117-154956725	0.2606
NM_144622	chr1(.):154986002-155011257	0.1622
NM_138300	chr1(.):154924501-154939258	0.2624
NR_036212	chr1(.):154943168-154953259	0.2758
NM_001018017	chr1(.):155153299-155167700	0.1416
NM_198883	chr1(.):155173489-155188624	0.1753
NM_007112	chr1(.):155160378-155182690	0.157
NR_030281	chr1(.):155159967-155170063	0.1414
NM_001005742	chr1(.):155199238-155219653	0.1885
NM_003993	chr1(.):155227658-155248281	0.2126
NM_181871	chr1(.):155254083-155275792	0.1471
NM_198264	chr1(.):155211995-155230274	0.1827
NM_052837	chr1(.):155220771-155237195	0.1957
NM_020897	chr1(.):155242373-155264638	0.1542
NM_001171812	chr1(.):155199238-155216066	0.1985
NM_000157	chr1(.):155199238-155216069	0.1985
NM_001135821	chr1(.):155273704-155295457	0.2233
NM_002004	chr1(.):155273538-155295457	0.2226
NM_005698	chr1(.):155220769-155237195	0.1957
NM_000298	chr1(.):155254083-155276225	0.1483
NM_006912	chr1(.):155862600-155886177	0.1669
NM_001162384	chr1(.):155911629-155953336	0.2198
NM_181885	chr1(.):155906479-155917625	0.2388
NM_004723	chr1(.):155911629-155952966	0.2203
NM_014949	chr1(.):155877835-155909188	0.1932
NR_002974	chr1(.):155884699-155894833	0.1636
NR_003005	chr1(.):155890748-155900877	0.1656
NM_003145	chr1(.):155973838-155995758	0.1946
NM_014655	chr1(.):156158729-156187587	0.2489
NM_007221	chr1(.):156177783-156214833	0.225
NM_022367	chr1(.):156118321-156152542	0.2397
NM_001193302	chr1(.):156118368-156152542	0.2399
NM_001193301	chr1(.):156114734-156152542	0.2428
NM_005920	chr1(.):156428518-156475529	0.2147
NM_198427	chr1(.):156606739-156628264	0.1737
NM_021817	chr1(.):156584085-156600517	0.1867
NM_021948	chr1(.):156606739-156634320	0.2
NM_004494	chr1(.):156706898-156726543	0.2464
NM_001126051	chr1(.):156706898-156727024	0.2421
NM_001126050	chr1(.):156706898-156727240	0.2428
NM_030980	chr1(.):156687412-156702705	0.196
NM_001878	chr1(.):156664407-156680375	0.1479
NM_001142560	chr1(.):156693262-156711752	0.2343
NM_145729	chr1(.):156702093-156715923	0.2217
NM_006617	chr1(.):156633555-156652189	0.1584
NM_001778	chr1(.):160643535-160686585	0.248
NM_003037	chr1(.):160574890-160622081	0.1775
NM_021181	chr1(.):160704076-160729601	0.2329
NM_001039711	chr1(.):161085768-161107478	0.198
