GENE_ID	locusLine	bin_1_RPMI8226.jin.bam
NM_015215	chr1(.):6840383-7834766	0.1465
NM_017891	chr1(.):1012197-1056736	0.2008
NR_002188	chr1(.):155178615-155202325	0.4816
NM_001198993	chr1(.):1677670-1715297	0.9367
NM_023018	chr1(.):1677670-1714909	0.9398
NM_001014980	chr1(.):1172832-1187102	0.1878
NM_001198994	chr1(.):1677670-1716508	0.9148
NM_032017	chr1(.):36800224-36856485	0.4397
NM_174964	chr1(.):44168217-44401831	0.2038
NM_153713	chr1(.):145472084-145504091	0.1833
NM_020524	chr1(.):154911558-154933567	0.868
NM_002249	chr1(.):154674914-154847754	0.343
NM_170782	chr1(.):154674914-154837338	0.3489
NM_005572	chr1(.):156079460-156112657	0.9994
NM_170708	chr1(.):156079460-156114878	0.9477
NM_052862	chr1(.):167594473-167680486	0.2661
NM_001130045	chr1(.):1104285-1138313	0.3042
NR_029639	chr1(.):1097483-1107578	0.3654
NM_016547	chr1(.):1147287-1172447	0.4119
NM_080605	chr1(.):1162628-1175420	0.7022
NM_153254	chr1(.):1110076-1126243	0.3187
NM_003327	chr1(.):1141705-1154512	0.8093
NM_004195	chr1(.):1133887-1147089	1.2584
NR_029834	chr1(.):1098242-1108332	0.3437
NR_029957	chr1(.):1099384-1109467	0.3366
NM_001130413	chr1(.):1212488-1232409	0.1776
NM_194458	chr1(.):1184291-1214234	0.2909
NM_017871	chr1(.):1241964-1265046	0.6798
NM_004421	chr1(.):1265657-1289492	0.3889
NM_030649	chr1(.):1222763-1248269	0.6152
NM_001029885	chr1(.):1255142-1269276	0.492
NM_152228	chr1(.):1261725-1274844	0.154
NM_153339	chr1(.):1238993-1252057	1.0236
NM_002978	chr1(.):1212575-1232409	0.1777
NM_032348	chr1(.):1283070-1298915	0.5268
NM_182838	chr1(.):1658680-1682431	0.4905
NM_001198995	chr1(.):1677670-1695081	0.2965
NM_002074	chr1(.):1711728-1827495	0.3441
NM_138705	chr1(.):1841265-1853733	0.6121
NM_178545	chr1(.):1844028-1855740	0.6009
NM_177540	chr1(.):6610337-6644817	0.3609
NM_005341	chr1(.):6635062-6654340	0.4144
NM_014851	chr1(.):6645783-6667929	0.7028
NM_153812	chr1(.):6668755-6689093	0.3372
NM_024654	chr1(.):6576406-6619658	0.1693
NM_001195752	chr1(.):6680209-6698642	0.181
NM_001195753	chr1(.):6679924-6698642	0.1798
NM_014675	chr1(.):17243444-17304474	0.1506
NM_006015	chr1(.):27017521-27113601	0.4745
NM_032881	chr1(.):36854030-36868493	0.2475
NM_004073	chr1(.):45261035-45276667	1.9476
NM_001013632	chr1(.):45266585-45277957	2.077
NM_001136537	chr1(.):45269153-45284801	1.5633
NR_001456	chr1(.):45238513-45248584	0.9533
NR_001457	chr1(.):45239061-45249130	0.9576
NM_153274	chr1(.):45244256-45258426	0.1812
NM_003738	chr1(.):45282937-45313616	0.2514
NM_001012	chr1(.):45236245-45249412	0.7459
NR_000024	chr1(.):45237163-45247261	0.933
NR_000015	chr1(.):45236536-45246610	0.9355
NM_017709	chr1(.):118143603-118176011	0.8203
NM_032305	chr1(.):145451235-145475387	0.6351
NM_202004	chr1(.):145408190-145422545	0.1414
NM_006472	chr1(.):145433461-145447628	0.8268
NM_001039888	chr1(.):145465507-145480647	0.4142
NM_001161334	chr1(.):149749244-149788928	0.2026
NM_001034077	chr1(.):149799220-149809616	0.7173
NM_001005464	chr1(.):149807258-149817765	1.437
NM_001040874	chr1(.):149808784-149819318	1.4465
NM_001123375	chr1(.):149779779-149790236	0.4107
NM_005850	chr1(.):149890210-149904702	0.2444
NM_016074	chr1(.):149866154-149877348	0.151
NM_003528	chr1(.):149851009-149863232	1.3625
NM_003517	chr1(.):149853524-149863961	1.5795
NM_175065	chr1(.):149854018-149864466	1.5706
NM_014849	chr1(.):149869871-149894434	0.1222
NM_181873	chr1(.):149895542-149913266	0.2692
NM_001145862	chr1(.):149895542-149913791	0.2626
NR_036461	chr1(.):149816758-149827340	1.5048
NM_001040874	chr1(.):149817627-149828161	1.5112
NM_001005464	chr1(.):149819180-149829687	1.5121
NM_001034077	chr1(.):149827329-149837725	0.7616
NM_006556	chr1(.):154892207-154914484	0.9175
NM_005227	chr1(.):155031212-155047029	0.2754
NM_001130041	chr1(.):154929773-154951959	0.8114
NM_001130040	chr1(.):154929773-154948223	0.8756
NM_201398	chr1(.):154950769-154970587	0.3275
NM_015872	chr1(.):154970111-154995999	1.8474
NM_207196	chr1(.):155018761-155040252	0.4699
NM_018655	chr1(.):154961061-154971791	0.3944
NM_001143687	chr1(.):155001281-155028406	0.4102
NR_024163	chr1(.):154942117-154956725	0.8719
NM_144622	chr1(.):154986002-155011257	0.8504
NM_138300	chr1(.):154924501-154939258	0.812
NR_036212	chr1(.):154943168-154953259	0.9642
NM_001018017	chr1(.):155153299-155167700	1.601
NM_198883	chr1(.):155173489-155188624	0.5712
NM_018973	chr1(.):155107366-155117883	0.6921
NM_153741	chr1(.):155107366-155117996	0.686
NM_173852	chr1(.):155136883-155150804	0.3439
NM_007112	chr1(.):155160378-155182690	0.8682
NM_001122837	chr1(.):155103287-155116334	0.6151
NM_025058	chr1(.):155141359-155162445	0.8696
NR_030281	chr1(.):155159967-155170063	1.094
NM_001093725	chr1(.):156036803-156056789	0.1659
NM_022367	chr1(.):156118321-156152542	0.276
NM_001193302	chr1(.):156118368-156152542	0.2762
NM_001193301	chr1(.):156114734-156152542	0.2817
NM_005920	chr1(.):156428518-156475529	0.6724
NM_198053	chr1(.):167394876-167492847	0.1812
NM_003851	chr1(.):167505250-167528056	0.6054
NM_016545	chr1(.):181052637-181064979	0.5046
NM_017596	chr1(.):200933519-200997828	0.3849
NR_034150	chr1(.):203262885-203279453	1.3771
NM_006763	chr1(.):203269663-203283729	1.2461
NM_002023	chr1(.):203304751-203325289	0.1419
NM_153606	chr1(.):212792788-212805120	0.1333
NM_001030287	chr1(.):212733696-212799116	0.3742
NM_001674	chr1(.):212776993-212799116	0.6769
NM_020997	chr1(.):226068981-226081836	0.8251
NM_014698	chr1(.):226028232-226075420	0.4849
NM_013328	chr1(.):226102579-226116965	0.6208
NM_182972	chr1(.):234735014-234750271	3.1382
NR_033927	chr1(.):234760056-234775526	0.119
NM_031844	chr1(.):245008601-245032827	0.7081
NM_198076	chr1(.):244993638-245013359	0.84
NR_026778	chr1(.):244998939-245015243	0.2582
NM_020458	chr2(.):47163312-47308275	0.3574
NR_033872	chr2(.):70184394-70319147	0.2753
NM_001145873	chr2(.):87006727-87040519	0.1624
NM_001099289	chr2(.):109740996-110267207	0.1795
NM_022893	chr2(.):60679328-60785633	0.1966
NM_018014	chr2(.):60673301-60785633	0.1896
NM_000945	chr2(.):68400988-68484651	0.2162
NM_002997	chr2(.):20395557-20429927	1.2639
NM_001006946	chr2(.):20395557-20430194	1.2543
NM_178553	chr2(.):27354714-27367332	0.8651
NM_001166239	chr2(.):27318461-27346773	0.1363
NM_001166240	chr2(.):27317220-27346995	0.1433
NM_013388	chr2(.):27348624-27362542	0.8207
NM_001166241	chr2(.):27317220-27338970	0.1125
NM_032604	chr2(.):27341656-27358680	0.7175
NM_175769	chr2(.):27366944-27380819	1.0019
NM_080592	chr2(.):27429898-27445046	0.5621
NM_001170795	chr2(.):27430218-27445046	0.5717
NM_004341	chr2(.):27435257-27471654	0.1939
NM_021095	chr2(.):27417454-27440175	0.304
NM_006887	chr2(.):43444540-43458745	1.6334
NR_027251	chr2(.):43449349-43460994	1.3743
NM_001171508	chr2(.):47124008-47173994	0.2933
NM_001111101	chr2(.):68506302-68552183	0.3303
