#30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_ROSE/30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_peaks_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X30_0F2G_0229Kronos_MM1S.KB.24hr.2_H3K27me3_hs.dm_i19.bam
#Using cutoff of 11762.613 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X30_0F2G_0229Kronos_MM1S.KB.24hr.2_H3K27me3_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	isSuper
15_MACS_peak_30263_lociStitched	chr4	9211666	9274629	15	62112	208294.1966	19499.6411	1	1
2_MACS_peak_18502_lociStitched	chr19	8851044	8900888	2	49608	201559.1672	22414.8468	2	1
11_MACS_peak_30278_lociStitched	chr4	9324622	9371003	11	45836	146939.6461	13469.0424	3	1
15_MACS_peak_37518_lociStitched	chr9	139525808	139614229	15	86552	139669.8116	7816.4164	4	1
14_MACS_peak_25320_lociStitched	chr21	44150158	44231308	14	79274	141274.035	10849.755	5	1
12_MACS_peak_7324_lociStitched	chr11	1981997	2064723	12	81286	132634.5958	6783.532	6	1
13_MACS_peak_24672_lociStitched	chr20	60985038	61072557	13	85098	132652.5483	7132.7985	7	1
16_MACS_peak_2001_lociStitched	chr1	10755008	10852162	16	95082	133392.442	7879.1894	8	1
26_MACS_peak_7220_lociStitched	chr11	1636290	1733629	26	92536	133296.0266	8964.9219	9	1
25_MACS_peak_36230_lociStitched	chr9	135020241	135116610	25	92987	127794.9309	8731.0314	10	1
4_MACS_peak_2444_lociStitched	chr1	17011464	17067220	4	55399	132721.5824	13939	11	1
5_MACS_peak_17261_lociStitched	chr19	1286391	1344130	5	57241	125004.935	6894.0366	12	1
10_MACS_peak_21337_lociStitched	chr19	48404603	48468899	10	63161	137477.7072	19603.8504	13	1
15_MACS_peak_25571_lociStitched	chr21	46404316	46478128	15	71705	121789.8	8953.3956	14	1
9_MACS_peak_17653_lociStitched	chr19	3798200	3868247	9	69565	121272.3711	8818.9173	15	1
6_MACS_peak_16822_lociStitched	chr17	79009681	79075349	6	65135	116954.708	6415.7636	16	1
3_MACS_peak_25568_lociStitched	chr21	46301023	46359160	3	57881	117116.9865	7342.7031	17	1
11_MACS_peak_34500_lociStitched	chr8	142012716	142085000	11	70531	117996.4016	9165.6112	18	1
11_MACS_peak_15208_lociStitched	chr17	47952082	48032268	11	78696	114216.9384	7160.6098	19	1
22_MACS_peak_17662_lociStitched	chr19	3869646	3953377	22	79205	113497.3705	9863.5118	20	1
10_MACS_peak_16368_lociStitched	chr17	77080991	77147198	10	64133	97198.4967	5468.6982	21	1
7_MACS_peak_25305_lociStitched	chr21	44074196	44131180	7	56440	93385.3792	7254.0632	22	1
3_MACS_peak_21698_lociStitched	chr19	50594100	50643075	3	48960	95452.275	14041.1325	23	1
6_MACS_peak_17301_lociStitched	chr19	1672145	1718147	6	44641	87813.2178	7213.1136	24	1
6_MACS_peak_25651_lociStitched	chr21	46858146	46909785	6	51414	86324.9163	7167.4932	25	1
10_MACS_peak_1300_lociStitched	chr1	6474569	6530864	10	54573	83130.8265	4751.298	26	1
14_MACS_peak_16457_lociStitched	chr17	77383473	77446611	14	61949	82723.4076	5486.6922	27	1
5_MACS_peak_25636_lociStitched	chr21	46709430	46755047	5	45241	83022.94	6231.2822	28	1
1_MACS_peak_37807_lociStitched	chrX	19470138	19470524	1	387	76107.3884	101.3636	29	1
9_MACS_peak_24822_lociStitched	chr20	61850862	61901058	9	49366	78320.8188	4477.4832	30	1
16_MACS_peak_11800_lociStitched	chr16	1249516	1304767	16	52833	75213.1863	4265.3772	31	1
9_MACS_peak_16877_lociStitched	chr17	79400135	79451474	9	49992	74179.7211	3835.0233	32	1
5_MACS_peak_17307_lociStitched	chr19	1718849	1753520	5	34431	74091.927	4160.52	33	1
8_MACS_peak_299_lociStitched	chr1	2246727	2294653	8	46413	70508.7312	3575.2796	34	1
14_MACS_peak_11773_lociStitched	chr16	1152934	1202118	14	46880	68665.7824	3388.7776	35	1
10_MACS_peak_25474_lociStitched	chr21	45908250	45953696	10	44734	70995.7412	5807.9988	36	1
4_MACS_peak_31250_lociStitched	chr6	31991376	32031780	4	39990	68646.396	4145.4504	37	1
3_MACS_peak_25641_lociStitched	chr21	46755910	46795256	3	39014	68800.4156	4878.904	38	1
1_MACS_peak_8656_lociStitched	chr11	70042279	70042699	1	421	61852.896	159.138	39	1
13_MACS_peak_17220_lociStitched	chr19	741915	786261	13	42483	66425.8734	4962.3174	40	1
11_MACS_peak_37507_lociStitched	chr9	139477369	139524500	11	45712	64527.0521	3365.1534	41	1
13_MACS_peak_24750_lociStitched	chr20	61590406	61637584	13	45676	64336.6386	3632.706	42	1
6_MACS_peak_25555_lociStitched	chr21	46140441	46183538	6	42039	65528.9885	5456.0802	43	1
10_MACS_peak_24694_lociStitched	chr20	61169208	61213384	10	43280	63070.0752	3732.872	44	1
8_MACS_peak_36108_lociStitched	chr9	133785370	133825498	8	38655	61528.2624	3579.4176	45	1
17_MACS_peak_2017_lociStitched	chr1	10853474	10903162	17	47205	62278.9392	4342.7312	46	1
17_MACS_peak_2368_lociStitched	chr1	16431814	16482395	17	47645	62037.5965	4597.8129	47	1
10_MACS_peak_25044_lociStitched	chr20	62823226	62865930	10	41318	60895.904	4031.2576	48	1
3_MACS_peak_32999_lociStitched	chr7	149498246	149531666	3	33212	60670.668	4083.924	49	1
7_MACS_peak_35685_lociStitched	chr9	129376687	129417478	7	39885	60068.8266	3561.0543	50	1
9_MACS_peak_26817_lociStitched	chr22	37796059	37835779	9	38366	59417.148	3439.752	51	1
11_MACS_peak_22416_lociStitched	chr2	26777058	26820252	11	41599	60208.1166	4276.206	52	1
14_MACS_peak_36119_lociStitched	chr9	133835180	133881554	14	45034	60017.2308	4414.8048	53	1
11_MACS_peak_25188_lociStitched	chr21	43130569	43175381	11	43389	60684.4104	5753.8608	54	1
2_MACS_peak_17218_lociStitched	chr19	709355	741388	2	31541	58613.9834	3930.4491	55	1
3_MACS_peak_25648_lociStitched	chr21	46825805	46856448	3	30434	56683.4214	2767.0629	56	1
5_MACS_peak_17742_lociStitched	chr19	4598658	4636199	5	36837	57550.353	5045.5104	57	1
4_MACS_peak_17694_lociStitched	chr19	4140381	4173842	4	33201	56247.941	4256.2392	58	1
12_MACS_peak_201_lociStitched	chr1	1939071	1981471	12	41295	55158.16	3188.48	59	1
5_MACS_peak_783_lociStitched	chr1	3448409	3487901	5	39003	54684.5724	2728.8972	60	1
