REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X30_0F2G_0229Kronos_MM1S.KB.24hr.2_H3K27me3_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
16_MACS_peak_2001_lociStitched	chr1	10755008	10852162	16	95082	133392.442	7879.1894	1	CASZ1		CASZ1	CASZ1	1.2389999999999999	1	1
25_MACS_peak_36230_lociStitched	chr9	135020241	135116610	25	92987	127794.9309	8731.0314	2	NTNG2		NTNG2	NTNG2	1.1749	2	1
26_MACS_peak_7220_lociStitched	chr11	1636290	1733629	26	92536	133296.0266	8964.9219	3	KRTAP5-5,FAM99A,KRTAP5-6,MOB2,KRTAP5-4,FAM99B	LOC338651,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,LOC402778	FAM99A	FAM99A	1.5545	3	1
15_MACS_peak_37518_lociStitched	chr9	139525808	139614229	15	86552	139669.8116	7816.4164	4	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	MIR126	LCN6	1.5694000000000001	4	1
13_MACS_peak_24672_lociStitched	chr20	60985038	61072557	13	85098	132652.5483	7132.7985	5	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	GATA5	1.3783	5	1
12_MACS_peak_7324_lociStitched	chr11	1981997	2064723	12	81286	132634.5958	6783.532	6	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	H19	1.9032	6	1
14_MACS_peak_25320_lociStitched	chr21	44150158	44231308	14	79274	141274.035	10849.755	7	PDE9A		WDR4	WDR4	NONE	7	1
22_MACS_peak_17662_lociStitched	chr19	3869646	3953377	22	79205	113497.3705	9863.5118	8	ATCAY,ITGB1BP3	ZFR2,MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	ZFR2	1.5703	8	1
11_MACS_peak_15208_lociStitched	chr17	47952082	48032268	11	78696	114216.9384	7160.6098	9		DLX4,TAC4,DLX3	DLX4	DLX4	1.4749999999999999	9	1
15_MACS_peak_25571_lociStitched	chr21	46404316	46478128	15	71705	121789.8	8953.3956	10	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	NCRNA00162	1.7804000000000002	10	1
11_MACS_peak_34500_lociStitched	chr8	142012716	142085000	11	70531	117996.4016	9165.6112	11		PTK2	PTK2	PTK2	0.1092	11	1
9_MACS_peak_17653_lociStitched	chr19	3798200	3868247	9	69565	121272.3711	8818.9173	12	MATK,ZFR2	MRPL54,ATCAY,APBA3,RAX2,MATK	MATK	ATCAY	1.15	12	1
6_MACS_peak_16822_lociStitched	chr17	79009681	79075349	6	65135	116954.708	6415.7636	13	BAIAP2	CHMP6,MIR3065,FLJ90757,MIR657,MIR338,MIR1250	BAIAP2	BAIAP2	1.5739	13	1
10_MACS_peak_16368_lociStitched	chr17	77080991	77147198	10	64133	97198.4967	5468.6982	14	ENGASE,RBFOX3		ENGASE	ENGASE	0.6938	14	1
10_MACS_peak_21337_lociStitched	chr19	48404603	48468899	10	63161	137477.7072	19603.8504	15	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1,BSPH1	SNAR-C2	SNAR-C2	2.1068000000000002	15	1
15_MACS_peak_30263_lociStitched	chr4	9211666	9274629	15	62112	208294.1966	19499.6411	16	USP17		USP17	USP17	2.8933	16	1
14_MACS_peak_16457_lociStitched	chr17	77383473	77446611	14	61949	82723.4076	5486.6922	17	RBFOX3		RBFOX3	RBFOX3	1.0804999999999998	17	1
3_MACS_peak_25568_lociStitched	chr21	46301023	46359160	3	57881	117116.9865	7342.7031	18	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	ITGB2	1.9001000000000001	18	1
5_MACS_peak_17261_lociStitched	chr19	1286391	1344130	5	57241	125004.935	6894.0366	19	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	EFNA2	2.1981	19	1
7_MACS_peak_25305_lociStitched	chr21	44074196	44131180	7	56440	93385.3792	7254.0632	20	PDE9A		PDE9A	PDE9A	1.5390000000000001	20	1
4_MACS_peak_2444_lociStitched	chr1	17011464	17067220	4	55399	132721.5824	13939	21	ESPNP	MST1P2,MST1P9	ESPNP	ESPNP	2.3621999999999996	21	1
10_MACS_peak_1300_lociStitched	chr1	6474569	6530864	10	54573	83130.8265	4751.298	22	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	MIR4252	1.4347999999999999	22	1
16_MACS_peak_11800_lociStitched	chr16	1249516	1304767	16	52833	75213.1863	4265.3772	23	CACNA1H,TPSAB1,TPSG1,TPSB2	TPSD1	TPSG1	TPSG1	1.5406	23	1
6_MACS_peak_25651_lociStitched	chr21	46858146	46909785	6	51414	86324.9163	7167.4932	24	COL18A1	NCRNA00175	COL18A1	NCRNA00175	1.9702	24	1
9_MACS_peak_16877_lociStitched	chr17	79400135	79451474	9	49992	74179.7211	3835.0233	25	BAHCC1,MIR3186	FSCN2,ACTG1	MIR3186	MIR3186	1.5008000000000001	25	1
2_MACS_peak_18502_lociStitched	chr19	8851044	8900888	2	49608	201559.1672	22414.8468	26		OR2Z1,ACTL9,ZNF558	OR2Z1	ACTL9	0.2889	26	1
9_MACS_peak_24822_lociStitched	chr20	61850862	61901058	9	49366	78320.8188	4477.4832	27	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	MIR3196	1.3144999999999998	27	1
3_MACS_peak_21698_lociStitched	chr19	50594100	50643075	3	48960	95452.275	14041.1325	28	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2	FLJ26850,SNAR-D,IZUMO2	SNAR-B1	SNAR-B1	1.8483999999999998	28	1
17_MACS_peak_2368_lociStitched	chr1	16431814	16482395	17	47645	62037.5965	4597.8129	29	EPHA2	FAM131C	EPHA2	EPHA2	1.0863	29	1
17_MACS_peak_2017_lociStitched	chr1	10853474	10903162	17	47205	62278.9392	4342.7312	30	CASZ1		CASZ1	CASZ1	1.2389999999999999	30	1
14_MACS_peak_11773_lociStitched	chr16	1152934	1202118	14	46880	68665.7824	3388.7776	31		SSTR5,CACNA1H,LOC146336,C1QTNF8	CACNA1H	CACNA1H	1.2322000000000002	31	1
8_MACS_peak_299_lociStitched	chr1	2246727	2294653	8	46413	70508.7312	3575.2796	32	MORN1,LOC100129534	RER1,PEX10	LOC100129534	LOC100129534	1.4516	32	1
11_MACS_peak_30278_lociStitched	chr4	9324622	9371003	11	45836	146939.6461	13469.0424	33	USP17,USP17L6P		USP17L6P	USP17L6P	1.7185	33	1
11_MACS_peak_37507_lociStitched	chr9	139477369	139524500	11	45712	64527.0521	3365.1534	34		EGFL7,MIR126,NOTCH1	EGFL7	MIR126	1.4982	34	1
13_MACS_peak_24750_lociStitched	chr20	61590406	61637584	13	45676	64336.6386	3632.706	35	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	LOC100144597	1.103	35	1
5_MACS_peak_25636_lociStitched	chr21	46709430	46755047	5	45241	83022.94	6231.2822	36	LOC642852	POFUT2	LOC642852	LOC642852	1.0545	36	1
14_MACS_peak_36119_lociStitched	chr9	133835180	133881554	14	45034	60017.2308	4414.8048	37		LAMC3,FIBCD1	LAMC3	FIBCD1	1.4987000000000001	37	1
10_MACS_peak_25474_lociStitched	chr21	45908250	45953696	10	44734	70995.7412	5807.9988	38	C21orf90,C21orf29	LRRC3,KRTAP10-4,KRTAP10-1,KRTAP10-2,KRTAP10-3,KRTAP10-5	C21orf90	C21orf90	1.2424	38	1
6_MACS_peak_17301_lociStitched	chr19	1672145	1718147	6	44641	87813.2178	7213.1136	39		ONECUT3,TCF3	TCF3	ONECUT3	1.6651	39	1
11_MACS_peak_25188_lociStitched	chr21	43130569	43175381	11	43389	60684.4104	5753.8608	40	NCRNA00112,C21orf129,RIPK4	NCRNA00111	NCRNA00112	NCRNA00112	1.2502000000000002	40	1
10_MACS_peak_24694_lociStitched	chr20	61169208	61213384	10	43280	63070.0752	3732.872	41		C20orf166,MIR1-1,MIR133A2,C20orf200	MIR133A2	MIR1-1	1.7127999999999999	41	1
12_MACS_peak_34530_lociStitched	chr8	142359563	142405167	12	43027	55335.8936	4063.3164	42	GPR20	LOC731779,PTP4A3	GPR20	GPR20	1.2667	42	1
13_MACS_peak_17220_lociStitched	chr19	741915	786261	13	42483	66425.8734	4962.3174	43	PALM,C19orf21	PTBP1,MIR3187,AZU1,PRSSL1,LPPR3	C19orf21	C19orf21	1.4659	43	1
6_MACS_peak_25555_lociStitched	chr21	46140441	46183538	6	42039	65528.9885	5456.0802	44		KRTAP10-12,KRTAP12-1,C21orf29,UBE2G2	C21orf29	KRTAP10-12	1.2970000000000002	44	1
11_MACS_peak_22416_lociStitched	chr2	26777058	26820252	11	41599	60208.1166	4276.206	45	C2orf70,OTOF,CIB4		C2orf70	C2orf70	1.3693	45	1
10_MACS_peak_25044_lociStitched	chr20	62823226	62865930	10	41318	60895.904	4031.2576	46	MYT1	PCMTD2	PCMTD2	NONE	NONE	46	1
12_MACS_peak_201_lociStitched	chr1	1939071	1981471	12	41295	55158.16	3188.48	47	GABRD	PRKCZ,KIAA1751	GABRD	GABRD	1.2343000000000002	47	1
4_MACS_peak_31250_lociStitched	chr6	31991376	32031780	4	39990	68646.396	4145.4504	48	C4B,C4A,CYP21A2,TNXB	STK19,TNXA	STK19	TNXA	1.761	48	1
7_MACS_peak_35685_lociStitched	chr9	129376687	129417478	7	39885	60068.8266	3561.0543	49	LMX1B		LMX1B	LMX1B	1.1902	49	1
17_MACS_peak_13507_lociStitched	chr17	802254	845011	17	39797	49427.092	3758.3403	50	NXN		NXN	NXN	1.0038	50	1
12_MACS_peak_3691_lociStitched	chr1	22558235	22599418	12	39487	50103.2378	3471.7269	51			WNT4	WNT4	NONE	51	1
3_MACS_peak_25641_lociStitched	chr21	46755910	46795256	3	39014	68800.4156	4878.904	52		LOC642852,COL18A1,POFUT2,NCRNA00175	COL18A1	NCRNA00175	1.9702	52	1
5_MACS_peak_783_lociStitched	chr1	3448409	3487901	5	39003	54684.5724	2728.8972	53	MEGF6,MIR551A		MIR551A	MIR551A	1.2044	53	1
8_MACS_peak_26752_lociStitched	chr22	37475133	37515048	8	38966	52671.834	3312.945	54	TMPRSS6	KCTD17,IL2RB	TMPRSS6	TMPRSS6	1.1908	54	1
11_MACS_peak_13640_lociStitched	chr17	1859323	1899621	11	38817	49361.0202	3836.3696	55	RTN4RL1	DPH1,OVCA2	RTN4RL1	RTN4RL1	1.1311	55	1
16_MACS_peak_25938_lociStitched	chr22	20197271	20238007	16	38750	52541.2928	3421.824	56	RTN4R,MIR1286	LOC150197	MIR1286	LOC150197	0.8675999999999999	56	1
8_MACS_peak_36108_lociStitched	chr9	133785370	133825498	8	38655	61528.2624	3579.4176	57	FIBCD1	QRFP	FIBCD1	FIBCD1	1.4987000000000001	57	1
9_MACS_peak_26817_lociStitched	chr22	37796059	37835779	9	38366	59417.148	3439.752	58	ELFN2	MFNG	ELFN2	ELFN2	1.2193	58	1
8_MACS_peak_27943_lociStitched	chr22	46333748	46372697	8	37178	52682.4174	2765.379	59	WNT7B	LOC730668	WNT7B	WNT7B	1.1844	59	1
8_MACS_peak_2185_lociStitched	chr1	11487380	11525894	8	37152	46051.1898	3628.0188	60		PTCHD2	PTCHD2	PTCHD2	0.43960000000000005	60	1
14_MACS_peak_17998_lociStitched	chr19	5992446	6030688	14	36931	49909.6342	4654.0514	61	RFX2	RANBP3	RANBP3	NONE	NONE	61	1
5_MACS_peak_17742_lociStitched	chr19	4598658	4636199	5	36837	57550.353	5045.5104	62		TNFAIP8L1,SEMA6B,C19orf10	TNFAIP8L1	SEMA6B	1.1229	62	1
18_MACS_peak_7703_lociStitched	chr11	61272668	61311891	18	36795	48871.858	3239.8198	63	LRRC10B,SYT7	C11orf66	LRRC10B	C11orf66	0.8120999999999999	63	1
14_MACS_peak_15149_lociStitched	chr17	47513621	47551351	14	36331	46736.151	3882.417	64		NGFR,PHB	NGFR	NGFR	1.1654	64	1
11_MACS_peak_7283_lociStitched	chr11	1821171	1858950	11	35829	49550.9364	3437.889	65	SYT8	TNNI2,LSP1,CTSD,MOB2,MIR4298	SYT8	SYT8	1.0543	65	1
7_MACS_peak_17588_lociStitched	chr19	3398116	3435053	7	35714	51069.0962	4303.1605	66	NFIC	C19orf77	NFIC	NFIC	1.1788	66	1
19_MACS_peak_29520_lociStitched	chr4	7137337	7176443	19	35687	41460.1812	3335.7418	67		SORCS2,FLJ36777	SORCS2	FLJ36777	0.7035	67	1
17_MACS_peak_27848_lociStitched	chr22	45908403	45945635	17	35578	42705.104	3194.5056	68	FBLN1		FBLN1	FBLN1	0.9198999999999999	68	1
11_MACS_peak_13485_lociStitched	chr17	744878	781122	11	35341	44246.6752	3483.0484	69	NXN		GLOD4	NONE	NONE	69	1
31_MACS_peak_23638_lociStitched	chr20	48882621	48924056	31	35191	42582.7495	3343.8045	70	LOC284751		LOC284751	LOC284751	0.8835000000000001	70	1
11_MACS_peak_17577_lociStitched	chr19	3360573	3397357	11	35096	47756.6672	3674.7216	71	NFIC		NFIC	NFIC	1.1788	71	1
14_MACS_peak_13565_lociStitched	chr17	1108784	1145267	14	34835	45085.6914	3586.2789	72		BHLHA9,TUSC5,ABR	ABR	TUSC5	1.0291000000000001	72	1
10_MACS_peak_37472_lociStitched	chr9	139058974	139095049	10	34654	48246.705	2438.67	73	LHX3	C9orf69,QSOX2	LHX3	LHX3	0.9108	73	1
6_MACS_peak_11816_lociStitched	chr16	1305305	1340664	6	34432	54587.2242	2963.0842	74	TPSD1	TPSAB1,UBE2I,BAIAP3,TPSG1,TPSB2	TPSD1	TPSG1	1.5406	74	1
5_MACS_peak_17307_lociStitched	chr19	1718849	1753520	5	34431	74091.927	4160.52	75		ONECUT3	ONECUT3	ONECUT3	1.6651	75	1
