#30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_ROSE/30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_peaks_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X30_0F2G_0229Kronos_MM1S.KB.24hr.2_H3K27me3_hs.dm_i19.bam
#Using cutoff of 11762.613 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X30_0F2G_0229Kronos_MM1S.KB.24hr.2_H3K27me3_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	isSuperStretch
16_MACS_peak_2001_lociStitched	chr1	10755008	10852162	16	95082	133392.442	7879.1894	1	1
15_MACS_peak_30263_lociStitched	chr4	9211666	9274629	15	62112	208294.1966	19499.6411	2	1
26_MACS_peak_7220_lociStitched	chr11	1636290	1733629	26	92536	133296.0266	8964.9219	3	1
25_MACS_peak_36230_lociStitched	chr9	135020241	135116610	25	92987	127794.9309	8731.0314	4	1
15_MACS_peak_37518_lociStitched	chr9	139525808	139614229	15	86552	139669.8116	7816.4164	5	1
13_MACS_peak_24672_lociStitched	chr20	60985038	61072557	13	85098	132652.5483	7132.7985	6	1
12_MACS_peak_7324_lociStitched	chr11	1981997	2064723	12	81286	132634.5958	6783.532	7	1
2_MACS_peak_18502_lociStitched	chr19	8851044	8900888	2	49608	201559.1672	22414.8468	8	1
14_MACS_peak_25320_lociStitched	chr21	44150158	44231308	14	79274	141274.035	10849.755	9	1
11_MACS_peak_15208_lociStitched	chr17	47952082	48032268	11	78696	114216.9384	7160.6098	10	1
22_MACS_peak_17662_lociStitched	chr19	3869646	3953377	22	79205	113497.3705	9863.5118	11	1
15_MACS_peak_25571_lociStitched	chr21	46404316	46478128	15	71705	121789.8	8953.3956	12	1
9_MACS_peak_17653_lociStitched	chr19	3798200	3868247	9	69565	121272.3711	8818.9173	13	1
11_MACS_peak_34500_lociStitched	chr8	142012716	142085000	11	70531	117996.4016	9165.6112	14	1
10_MACS_peak_21337_lociStitched	chr19	48404603	48468899	10	63161	137477.7072	19603.8504	15	1
6_MACS_peak_16822_lociStitched	chr17	79009681	79075349	6	65135	116954.708	6415.7636	16	1
5_MACS_peak_17261_lociStitched	chr19	1286391	1344130	5	57241	125004.935	6894.0366	17	1
