GENE_ID	locusLine	bin_1_OPM-2.jin.bam
NM_052998	chr1(.):33541713-33590995	0.2539
NM_030806	chr1(.):184351149-184603155	0.557
NM_015215	chr1(.):6840383-7834766	0.1139
NM_001006605	chr1(.):93302720-93432079	0.3207
NM_152263	chr1(.):154129289-154169609	0.5683
NM_001043351	chr1(.):154122779-154160725	0.5551
NM_002481	chr1(.):202312829-202562697	0.2732
NM_001198993	chr1(.):1677670-1715297	0.8646
NM_023018	chr1(.):1677670-1714909	0.8708
NM_001198994	chr1(.):1677670-1716508	0.8404
NM_018836	chr1(.):4710104-4848851	0.1902
NM_024980	chr1(.):9159475-9194229	0.1465
NM_015378	chr1(.):12285112-12577098	0.1355
NM_015001	chr1(.):16169358-16271950	0.2142
NM_001113348	chr1(.):21538739-21677034	0.2634
NM_004091	chr1(.):23827921-23862713	1.484
NM_173065	chr1(.):24475646-24518751	0.6026
NM_020379	chr1(.):25938958-26116258	0.2585
NM_031286	chr1(.):26601212-26613013	0.3389
NM_001135218	chr1(.):28924608-28974604	0.4427
NM_001048199	chr1(.):28827454-28870708	0.5452
NR_002909	chr1(.):28827454-28842404	0.9913
NM_177422	chr1(.):36391771-36527063	0.1663
NM_181809	chr1(.):39952317-40000541	0.6032
NM_001720	chr1(.):40218902-40259533	0.7838
NM_174964	chr1(.):44168217-44401831	0.1912
NM_002227	chr1(.):65293905-65437187	0.2532
NM_002600	chr1(.):66253855-66845262	0.097
NM_001037341	chr1(.):66253192-66845262	0.0969
NM_001037340	chr1(.):66453389-66845262	0.1151
NM_018841	chr1(.):68162148-68304155	0.233
NM_001134479	chr1(.):90281572-90406989	0.1295
NM_018103	chr1(.):90282479-90406989	0.1285
NM_001100910	chr1(.):120834004-120860681	0.8138
NR_034178	chr1(.):143910747-144099477	0.5051
NM_203458	chr1(.):145204110-145290912	0.5928
NM_001195260	chr1(.):144946760-145002111	0.3935
NM_004892	chr1(.):145091406-145121922	0.2043
NM_153713	chr1(.):145472084-145504091	0.2682
NM_022359	chr1(.):144946760-145081186	0.4085
NM_001002812	chr1(.):144885590-145000022	0.2641
NM_001195261	chr1(.):144946760-145000082	0.3751
NM_001198834	chr1(.):144846423-145000033	0.233
NM_001198832	chr1(.):144846423-145044992	0.3226
NM_020524	chr1(.):154911558-154933567	3.609
NM_181359	chr1(.):154372668-154445188	0.5662
NM_002249	chr1(.):154674914-154847754	0.8779
NM_170782	chr1(.):154674914-154837338	0.9062
NM_152280	chr1(.):155824259-155859990	0.8526
NM_005572	chr1(.):156079460-156112657	1.0862
NM_170708	chr1(.):156079460-156114878	1.0565
NM_005973	chr1(.):156732273-156775609	0.6772
NM_001135050	chr1(.):159891828-159920386	0.7646
NM_014697	chr1(.):162034580-162344813	0.2626
NM_006182	chr1(.):162597227-162755247	0.1002
NM_052862	chr1(.):167594473-167680486	0.445
NM_014412	chr1(.):174963891-174986163	1.9816
NM_014857	chr1(.):174123633-174932327	0.1985
NM_001007214	chr1(.):174963570-174986163	1.9543
NM_020318	chr1(.):176427306-176816970	0.1383
NM_021936	chr1(.):176427306-176665341	0.1676
NM_014810	chr1(.):179918907-180089015	0.2827
NM_004736	chr1(.):180596145-180864415	0.1483
NM_015149	chr1(.):183600207-183902666	0.4479
NM_025191	chr1(.):184654624-184729041	1.5916
NM_031935	chr1(.):185698682-186165085	0.1738
NM_024420	chr1(.):186793031-186963113	0.3616
NM_144977	chr1(.):197516384-197749623	0.2446
NM_001195215	chr1(.):197468878-197749623	0.2123
NM_015053	chr1(.):203015310-203052864	0.1146
NM_032103	chr1(.):202426870-202562697	0.3706
NM_182663	chr1(.):206675878-206767616	0.3725
NM_006243	chr1(.):212453878-212540205	0.2013
NM_016343	chr1(.):214771531-214842914	0.4049
NM_016121	chr1(.):215735734-215800149	0.482
NM_152495	chr1(.):224799178-224933249	0.4008
NM_022735	chr1(.):226327379-226379423	0.4626
NM_002221	chr1(.):226814390-226931876	0.4362
NM_004481	chr1(.):230197955-230422875	0.4807
NM_020066	chr1(.):240250184-240643489	0.1135
NM_001042405	chr1(.):243282729-243423708	0.1766
NR_033883	chr1(.):244075703-244215619	0.1279
NM_006642	chr1(.):243414306-243668393	0.2113
NM_003431	chr1(.):247314202-247340318	0.2445
NM_182838	chr1(.):1658680-1682431	0.614
NM_001198995	chr1(.):1677670-1695081	0.31
NM_003039	chr1(.):9092004-9134887	0.1013
NR_024180	chr1(.):9092004-9153510	0.2098
NM_001089591	chr1(.):16128656-16139194	0.0671
NR_024279	chr1(.):16155709-16179642	1.5861
NM_001136204	chr1(.):17728250-17770057	0.3999
NM_018715	chr1(.):17728250-17771220	0.3934
NM_001397	chr1(.):21538739-21621982	0.2832
