GENE_ID	locusLine	bin_1_MM7_jia.bam
NM_013943	chr1(.):25066759-25175815	0.2707
NM_021222	chr1(.):150975972-151013189	0.3759
NM_173083	chr1(.):226413860-226502198	0.2224
NM_002867	chr1(.):52368627-52461436	0.2114
NM_001006605	chr1(.):93302720-93432079	0.2617
NM_024408	chr1(.):120449175-120617276	0.2817
NM_152263	chr1(.):154129289-154169609	0.4145
NM_001043351	chr1(.):154122779-154160725	0.4314
NM_001198993	chr1(.):1677670-1715297	0.4791
NM_023018	chr1(.):1677670-1714909	0.4814
NM_001198994	chr1(.):1677670-1716508	0.4671
NM_003820	chr1(.):2482804-2500267	0.3211
NM_001113348	chr1(.):21538739-21677034	0.228
NM_004091	chr1(.):23827921-23862713	0.3605
NM_006990	chr1(.):27727125-27821669	0.319
NM_001048199	chr1(.):28827454-28870708	0.2655
NR_002909	chr1(.):28827454-28842404	0.5213
NM_001195100	chr1(.):32367021-32390259	0.1306
NM_080391	chr1(.):32367021-32408988	0.3145
NM_032017	chr1(.):36800224-36856485	0.4535
NM_181809	chr1(.):39952317-40000541	0.4509
NM_001720	chr1(.):40218902-40259533	0.5908
NM_174964	chr1(.):44168217-44401831	0.1175
NM_001981	chr1(.):51814934-51989995	0.1723
NM_002227	chr1(.):65293905-65437187	0.1675
NM_002600	chr1(.):66253855-66845262	0.1516
NM_001037341	chr1(.):66253192-66845262	0.1515
NM_001037340	chr1(.):66453389-66845262	0.1906
NM_024686	chr1(.):84330056-84469833	0.2328
NM_203458	chr1(.):145204110-145290912	0.5526
NM_153713	chr1(.):145472084-145504091	0.385
NM_001002812	chr1(.):144885590-145000022	0.3956
NM_001039703	chr1(.):145288370-145373684	0.2116
NM_014644	chr1(.):144846426-145000022	0.3342
NM_001198834	chr1(.):144846423-145000033	0.3342
NM_001198832	chr1(.):144846423-145044992	0.3153
NM_207168	chr1(.):150594521-150607098	0.904
NM_020699	chr1(.):153772202-153900451	0.2842
NM_207308	chr1(.):153960167-154132592	0.1113
NM_020524	chr1(.):154911558-154933567	0.8301
NM_181359	chr1(.):154372668-154445188	0.5432
NM_002249	chr1(.):154674914-154847754	0.2698
NM_170782	chr1(.):154674914-154837338	0.2794
NM_005572	chr1(.):156079460-156112657	0.6081
NM_170708	chr1(.):156079460-156114878	0.5776
NM_005973	chr1(.):156732273-156775609	0.3794
NM_005531	chr1(.):158974681-159029945	0.3786
NM_001135050	chr1(.):159891828-159920386	0.8525
NM_006182	chr1(.):162597227-162755247	0.1464
NM_052862	chr1(.):167594473-167680486	0.4175
NM_002697	chr1(.):167185065-167401582	0.2291
NM_001198783	chr1(.):167293280-167401582	0.2473
NR_037163	chr1(.):167185122-167401582	0.2291
NM_014412	chr1(.):174963891-174986163	0.7025
NM_014857	chr1(.):174123633-174932327	0.1512
NM_001007214	chr1(.):174963570-174986163	0.695
NM_152663	chr1(.):178689299-178894237	0.3115
NM_014810	chr1(.):179918907-180089015	0.2694
NM_002293	chr1(.):182987594-183119727	0.2415
NM_025191	chr1(.):184654624-184729041	0.3801
NM_001164245	chr1(.):186339889-186395503	0.5315
NR_031642	chr1(.):186024866-186451655	0.1531
NM_144977	chr1(.):197516384-197749623	0.2543
NM_001195215	chr1(.):197468878-197749623	0.2317
NM_001167738	chr1(.):201703962-201801102	0.3579
NM_020443	chr1(.):201612449-201801102	0.2331
NM_014935	chr1(.):204182980-204334044	0.0708
NM_001684	chr1(.):203590927-203718209	0.255
NM_201630	chr1(.):204581302-204659597	0.2558
NM_006338	chr1(.):204581302-204659481	0.2561
NM_182663	chr1(.):206675878-206767616	0.4397
NM_022735	chr1(.):226327379-226379423	0.4752
NM_004481	chr1(.):230197955-230422875	0.4118
NM_182838	chr1(.):1658680-1682431	0.4668
NM_001198995	chr1(.):1677670-1695081	0.1841
NM_001010926	chr1(.):2455183-2466684	0.4721
NR_026927	chr1(.):2476358-2489284	1.2213
NM_018216	chr1(.):2434974-2463035	0.2183
NM_001195741	chr1(.):2513188-2527908	0.5223
NR_036638	chr1(.):2512898-2527908	0.5137
NM_001397	chr1(.):21538739-21621982	0.2498
NM_001113347	chr1(.):21538739-21611183	0.1056
NM_001113349	chr1(.):21538739-21621766	0.2462
NM_017707	chr1(.):23750055-23815750	0.049
NM_002167	chr1(.):23879408-23891322	0.0823
NM_015627	chr1(.):25865075-25900377	0.4721
NR_026685	chr1(.):26432655-26457026	0.5719
NM_152835	chr1(.):26433267-26457026	0.5864
NM_032588	chr1(.):26372797-26399121	0.0534
NM_024869	chr1(.):26480510-26494119	0.0675
NM_015871	chr1(.):26491387-26502364	0.2462
NM_017837	chr1(.):27109485-27129887	0.4679
NM_006015	chr1(.):27017521-27113601	0.4327
NM_018066	chr1(.):27200872-27221869	0.1894
NM_032283	chr1(.):27148200-27187211	0.4843
NM_006142	chr1(.):27184632-27195947	0.327
NM_005281	chr1(.):27714151-27727317	0.1578
NM_207397	chr1(.):27700595-27714805	0.0551
NM_014280	chr1(.):28521789-28564542	0.18
NM_016311	chr1(.):28557610-28569611	0.4358
NM_031459	chr1(.):28581005-28614002	0.1725
NR_003109	chr1(.):28874528-28910057	0.2397
NM_001269	chr1(.):28839744-28870708	0.1316
NM_005202	chr1(.):36555843-36570850	0.0772
NM_018067	chr1(.):36616802-36651441	0.7237
NM_014408	chr1(.):36597172-36620067	0.437
NM_032881	chr1(.):36854030-36868493	0.6229
NM_022756	chr1(.):37953175-37985364	0.1805
NM_025079	chr1(.):37935118-37954978	0.7058
NR_003929	chr1(.):39982951-40030370	0.2072
NM_001195007	chr1(.):40199516-40234586	0.1874
NM_022120	chr1(.):40230196-40242020	0.7084
