#KMS12_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/KMS12_H3K27ac_ROSE/KMS12_H3K27ac_peaks_7KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by KMS12_jia.bam
#Using cutoff of 17074.902 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS12_jia.bam	enhancerRank	isSuper
5_MACS_peak_16205_lociStitched	chr6	290051	343722	5	49791	210680.1434	1	1
3_MACS_peak_6097_lociStitched	chr14	106024726	106057810	3	31578	142171.8732	2	1
6_MACS_peak_13370_lociStitched	chr22	46422799	46471672	6	35118	130109.7006	3	1
1_MACS_peak_3401_lociStitched	chr11	65183305	65198674	1	15370	112900.674	4	1
4_MACS_peak_1213_lociStitched	chr1	149797844	149836676	4	36308	106112.3232	5	1
1_MACS_peak_6139_lociStitched	chr15	21924773	21950571	1	25799	106037.5194	6	1
3_MACS_peak_12492_lociStitched	chr20	52194603	52215794	3	21011	96003.7064	7	1
5_MACS_peak_4942_lociStitched	chr12	122219362	122251590	5	20798	90357.6436	8	1
6_MACS_peak_16384_lociStitched	chr6	26155079	26219793	6	44942	89311.7914	9	1
2_MACS_peak_6134_lociStitched	chr15	20992058	21032591	2	40290	88203.8613	10	1
3_MACS_peak_2190_lociStitched	chr10	22595340	22634258	3	30394	85654.6262	11	1
4_MACS_peak_3799_lociStitched	chr11	111230409	111263879	4	26155	85445.563	12	1
2_MACS_peak_6141_lociStitched	chr15	21998749	22039367	2	39403	83965.5296	13	1
5_MACS_peak_5031_lociStitched	chr12	127525586	127572384	5	39347	83291.0804	14	1
1_MACS_peak_10913_lociStitched	chr2	43444235	43457309	1	13075	79993.269	15	1
11_MACS_peak_6101_lociStitched	chr14	106145200	106175817	11	20443	76196.5279	16	1
1_MACS_peak_4199_lociStitched	chr12	26265299	26280916	1	15618	75887.6881	17	1
2_MACS_peak_3406_lociStitched	chr11	65259918	65278986	2	18928	74599.7364	18	1
1_MACS_peak_9270_lociStitched	chr18	60977114	60989015	1	11902	73917.111	19	1
6_MACS_peak_2751_lociStitched	chr10	112599920	112642794	6	28694	72945.8236	20	1
1_MACS_peak_4133_lociStitched	chr12	12866190	12880741	1	14552	71863.0237	21	1
3_MACS_peak_8116_lociStitched	chr17	27037286	27074354	3	27406	68390.46	22	1
3_MACS_peak_16447_lociStitched	chr6	27772786	27808608	3	31937	68369.8692	23	1
4_MACS_peak_17533_lociStitched	chr7	29694094	29726637	4	29929	68096.2275	24	1
1_MACS_peak_1754_lociStitched	chr1	206281577	206308313	1	26737	66559.272	25	1
1_MACS_peak_8514_lociStitched	chr17	46123255	46138374	1	15120	65740.4358	26	1
1_MACS_peak_1388_lociStitched	chr1	156455742	156476172	1	20431	64953.099	27	1
2_MACS_peak_4505_lociStitched	chr12	57621360	57639399	2	14099	64945.8117	28	1
1_MACS_peak_16278_lociStitched	chr6	7896167	7920086	1	23920	64643.4894	29	1
1_MACS_peak_9264_lociStitched	chr18	60821297	60831806	1	10510	63888.4146	30	1
5_MACS_peak_7673_lociStitched	chr16	81829317	81877546	5	34769	63802.1441	31	1
5_MACS_peak_19783_lociStitched	chr9	134126846	134154226	5	24389	63031.498	32	1
1_MACS_peak_19294_lociStitched	chr9	66454563	66462307	1	7745	62020.9216	33	1
4_MACS_peak_12992_lociStitched	chr22	23188356	23227438	4	31060	60807.6838	34	1
1_MACS_peak_17670_lociStitched	chr7	50343022	50353407	1	10386	60771.9815	35	1
2_MACS_peak_16969_lociStitched	chr6	106531325	106563072	2	25548	60271.6795	36	1
7_MACS_peak_17543_lociStitched	chr7	30323074	30371004	7	38909	59687.229	37	1
3_MACS_peak_12714_lociStitched	chr21	34586801	34614564	3	21585	59210.1501	38	1
6_MACS_peak_6506_lociStitched	chr15	63764403	63801155	6	26159	59144.9936	39	1
2_MACS_peak_3944_lociStitched	chr11	128584839	128607153	2	22293	56237.9742	40	1
1_MACS_peak_1979_lociStitched	chr1	234734132	234750773	1	16642	55990.3086	41	1
4_MACS_peak_1928_lociStitched	chr1	228643112	228679616	4	21161	55869.372	42	1
1_MACS_peak_3544_lociStitched	chr11	69452437	69464654	1	12218	55791.3739	43	1
1_MACS_peak_18732_lociStitched	chr8	93063802	93076556	1	12755	55497.7556	44	1
4_MACS_peak_3385_lociStitched	chr11	64877796	64903782	4	16055	54422.4798	45	1
2_MACS_peak_3579_lociStitched	chr11	72848440	72867854	2	14069	54034.9862	46	1
2_MACS_peak_14947_lociStitched	chr4	90206641	90230099	2	21735	53944.0168	47	1
1_MACS_peak_2500_lociStitched	chr10	81946404	81966424	1	20021	53679.626	48	1
5_MACS_peak_16425_lociStitched	chr6	27094161	27130324	5	27018	52949.8646	49	1
6_MACS_peak_20156_lociStitched	chrX	48767921	48816926	6	29424	52298.136	50	1
1_MACS_peak_17487_lociStitched	chr7	23502639	23518380	1	15742	51413.2542	51	1
1_MACS_peak_6138_lociStitched	chr15	21891738	21911509	1	19772	51038.8365	52	1
4_MACS_peak_19050_lociStitched	chr8	145731680	145755269	4	13575	50923.9332	53	1
3_MACS_peak_1233_lociStitched	chr1	150532400	150553227	3	18526	50717.9104	54	1
1_MACS_peak_18550_lociStitched	chr8	42741912	42755604	1	13693	50115.4584	55	1
1_MACS_peak_6452_lociStitched	chr15	55692641	55701994	1	9354	50008.6204	56	1
1_MACS_peak_4509_lociStitched	chr12	57846137	57857279	1	11143	49940.6724	57	1
2_MACS_peak_11897_lociStitched	chr2	227654114	227667977	2	12838	48810.2367	58	1
3_MACS_peak_218_lociStitched	chr1	16159046	16179942	3	14087	48493.3472	59	1
2_MACS_peak_20075_lociStitched	chrX	39949358	39969973	2	18977	48389.5895	60	1
1_MACS_peak_9113_lociStitched	chr18	30338895	30353900	1	15006	47597.3605	61	1
4_MACS_peak_6372_lociStitched	chr15	45001680	45023381	4	16466	46987.0052	62	1
7_MACS_peak_3288_lociStitched	chr11	62306386	62343233	7	23610	46383.0036	63	1
5_MACS_peak_8600_lociStitched	chr17	56405611	56430796	5	19192	45882.033	64	1
4_MACS_peak_18268_lociStitched	chr7	150053591	150078746	4	18782	45324.279	65	1
3_MACS_peak_9304_lociStitched	chr18	74806230	74828362	3	15898	45089.5236	66	1
4_MACS_peak_3871_lociStitched	chr11	118954860	118979795	4	15020	44895.4675	67	1
1_MACS_peak_16210_lociStitched	chr6	387818	403694	1	15877	44808.4224	68	1
1_MACS_peak_17980_lociStitched	chr7	104649645	104659831	1	10187	44778.6746	69	1
3_MACS_peak_11265_lociStitched	chr2	87795110	87825347	3	22629	44711.4519	70	1
1_MACS_peak_6494_lociStitched	chr15	60871937	60885941	1	14005	44601.3396	71	1
2_MACS_peak_4748_lociStitched	chr12	105716462	105732035	2	15016	44510.7486	72	1
1_MACS_peak_18812_lociStitched	chr8	103539857	103550456	1	10600	44319.7185	73	1
3_MACS_peak_8559_lociStitched	chr17	48223824	48247317	3	13722	44133.9498	74	1
3_MACS_peak_13455_lociStitched	chr3	5223112	5241824	3	16378	43277.1136	75	1
4_MACS_peak_10599_lociStitched	chr19	56145437	56169653	4	15624	43189.236	76	1
2_MACS_peak_7137_lociStitched	chr16	12055384	12071461	2	12133	43157.0988	77	1
3_MACS_peak_7406_lociStitched	chr16	34718764	34745413	3	24618	43112.7522	78	1
3_MACS_peak_12394_lociStitched	chr20	43587093	43609365	3	19040	43091.8656	79	1
1_MACS_peak_6660_lociStitched	chr15	75068182	75084240	1	16059	42862.0136	80	1
3_MACS_peak_6874_lociStitched	chr15	93346997	93364605	3	11275	42491.6256	81	1
1_MACS_peak_12424_lociStitched	chr20	45978312	45988847	1	10536	42086.2715	82	1
1_MACS_peak_9298_lociStitched	chr18	72918194	72928572	1	10379	41991.4636	83	1
1_MACS_peak_14261_lociStitched	chr3	141096658	141110590	1	13933	41862.8736	84	1
5_MACS_peak_1326_lociStitched	chr1	154926953	154958197	5	17579	41810.7208	85	1
1_MACS_peak_9216_lociStitched	chr18	52983072	52992477	1	9406	41489.217	86	1
1_MACS_peak_17604_lociStitched	chr7	39987297	39995451	1	8155	41225.8086	87	1
2_MACS_peak_13245_lociStitched	chr22	39456832	39475540	2	18607	40897.5588	88	1
3_MACS_peak_3162_lociStitched	chr11	46121027	46144989	3	16411	40850.4176	89	1
4_MACS_peak_243_lociStitched	chr1	17221257	17249120	4	13528	40794.2183	90	1
2_MACS_peak_7729_lociStitched	chr16	87885372	87905331	2	19202	40718.3559	91	1
1_MACS_peak_2855_lociStitched	chr10	133876227	133894204	1	17978	40455.4408	92	1
1_MACS_peak_6597_lociStitched	chr15	69108765	69116099	1	7335	40391.2716	93	1
5_MACS_peak_18188_lociStitched	chr7	137664523	137688083	5	21995	40165.088	94	1
3_MACS_peak_10160_lociStitched	chr19	39880549	39904627	3	17653	40150.065	95	1
3_MACS_peak_3364_lociStitched	chr11	64610721	64634176	3	19005	39911.028	96	1
1_MACS_peak_252_lociStitched	chr1	17763080	17770313	1	7234	39889.2717	97	1
