REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS12_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
5_MACS_peak_16205_lociStitched	chr6	290051	343722	5	49791	210680.1434	1	1	DUSP22	IRF4	DUSP22	DUSP22	3.0805	1	1
6_MACS_peak_16384_lociStitched	chr6	26155079	26219793	6	44942	89311.7914	2	1	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H2AE,HIST1H4D,HIST1H3D,HIST1H2AD,HIST1H2BG	HIST1H2AC,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H1T,HIST1H2BC,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H4D	HIST1H2BC	1.375	2	1
6_MACS_peak_13370_lociStitched	chr22	46422799	46471672	6	35118	130109.7006	3	1	LOC150381,LOC100271722,C22orf26	LOC730668,LOC400931,MIR3619,MIRLET7A3,MIRLET7B,WNT7B	LOC150381	LOC150381	2.7116	3	1
3_MACS_peak_6097_lociStitched	chr14	106024726	106057810	3	31578	142171.8732	4	1		TMEM121	TMEM121	TMEM121	0.4295	4	1
2_MACS_peak_6134_lociStitched	chr15	20992058	21032591	2	40290	88203.8613	5	1		BCL8,POTEB	BCL8	BCL8	0.54	5	1
4_MACS_peak_1213_lociStitched	chr1	149797844	149836676	4	36308	106112.3232	6	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2AA4	HIST2H2AA4	3.6081	6	1
2_MACS_peak_6141_lociStitched	chr15	21998749	22039367	2	39403	83965.5296	7	1	CXADRP2		CXADRP2	CXADRP2	3.0942	7	1
5_MACS_peak_5031_lociStitched	chr12	127525586	127572384	5	39347	83291.0804	8	1			LOC440117	LOC440117	NONE	8	1
7_MACS_peak_17543_lociStitched	chr7	30323074	30371004	7	38909	59687.229	9	1	ZNRF2,MIR550A1,MIR550B1	DKFZP586I1420	MIR550B1	MIR550B1	2.2044	9	1
5_MACS_peak_7673_lociStitched	chr16	81829317	81877546	5	34769	63802.1441	10	1	PLCG2		PLCG2	PLCG2	0.4224	10	1
