REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS12_jia.bam
6_MACS_peak_16384_lociStitched	chr6	26155079	26219793	6	44942	89311.7914
5_MACS_peak_16205_lociStitched	chr6	290051	343722	5	49791	210680.1434
6_MACS_peak_20156_lociStitched	chrX	48767921	48816926	6	29424	52298.136
6_MACS_peak_13370_lociStitched	chr22	46422799	46471672	6	35118	130109.7006
5_MACS_peak_7673_lociStitched	chr16	81829317	81877546	5	34769	63802.1441
7_MACS_peak_17543_lociStitched	chr7	30323074	30371004	7	38909	59687.22900000001
5_MACS_peak_5031_lociStitched	chr12	127525586	127572384	5	39347	83291.0804
6_MACS_peak_10223_lociStitched	chr19	42027261	42070137	6	23390	33246.0504
6_MACS_peak_2751_lociStitched	chr10	112599920	112642794	6	28694	72945.8236
8_MACS_peak_10188_lociStitched	chr19	40909365	40951277	8	16123	24262.856799999998
8_MACS_peak_16394_lociStitched	chr6	26301687	26343379	8	20246	25949.100799999997
2_MACS_peak_6141_lociStitched	chr15	21998749	22039367	2	39403	83965.52960000001
2_MACS_peak_6134_lociStitched	chr15	20992058	21032591	2	40290	88203.8613
6_MACS_peak_2920_lociStitched	chr11	795032	834138	6	17552	31472.5088
4_MACS_peak_12992_lociStitched	chr22	23188356	23227438	4	31060	60807.6838
3_MACS_peak_2190_lociStitched	chr10	22595340	22634258	3	30394	85654.6262
4_MACS_peak_1213_lociStitched	chr1	149797844	149836676	4	36308	106112.3232
9_MACS_peak_19367_lociStitched	chr9	78713297	78751265	9	22358	16694.529599999998
4_MACS_peak_11380_lociStitched	chr2	112186088	112223603	4	25721	38370.342
3_MACS_peak_8116_lociStitched	chr17	27037286	27074354	3	27406	68390.45999999999
21_MACS_peak_12638_lociStitched	chr21	15027866	15064820	21	18622	13417.997399999998
7_MACS_peak_3288_lociStitched	chr11	62306386	62343233	7	23610	46383.0036
6_MACS_peak_6506_lociStitched	chr15	63764403	63801155	6	26159	59144.9936
6_MACS_peak_7553_lociStitched	chr16	68270840	68307454	6	11341	17182.9502
4_MACS_peak_1928_lociStitched	chr1	228643112	228679616	4	21161	55869.371999999996
