REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS12_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
5_MACS_peak_16205_lociStitched	chr6	290051	343722	5	49791	210680.1434	1	1	DUSP22	IRF4	DUSP22	DUSP22	3.0805	1	1
3_MACS_peak_6097_lociStitched	chr14	106024726	106057810	3	31578	142171.8732	2	1		TMEM121	TMEM121	TMEM121	0.4295	2	1
6_MACS_peak_13370_lociStitched	chr22	46422799	46471672	6	35118	130109.7006	3	1	LOC150381,LOC100271722,C22orf26	LOC730668,LOC400931,MIR3619,MIRLET7A3,MIRLET7B,WNT7B	LOC150381	LOC150381	2.7116	3	1
1_MACS_peak_3401_lociStitched	chr11	65183305	65198674	1	15370	112900.674	4	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	7.2545	4	1
4_MACS_peak_1213_lociStitched	chr1	149797844	149836676	4	36308	106112.3232	5	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2AA4	HIST2H2AA4	3.6081	5	1
1_MACS_peak_6139_lociStitched	chr15	21924773	21950571	1	25799	106037.5194	6	1	LOC646214		LOC646214	LOC646214	4.8838	6	1
3_MACS_peak_12492_lociStitched	chr20	52194603	52215794	3	21011	96003.7064	7	1	ZNF217		ZNF217	ZNF217	1.7862	7	1
5_MACS_peak_4942_lociStitched	chr12	122219362	122251590	5	20798	90357.6436	8	1	TMEM120B,SETD1B,RHOF,LOC338799	HPD	RHOF	RHOF	0.718	8	1
6_MACS_peak_16384_lociStitched	chr6	26155079	26219793	6	44942	89311.7914	9	1	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H2AE,HIST1H4D,HIST1H3D,HIST1H2AD,HIST1H2BG	HIST1H2AC,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H1T,HIST1H2BC,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H4D	HIST1H2BC	1.375	9	1
2_MACS_peak_6134_lociStitched	chr15	20992058	21032591	2	40290	88203.8613	10	1		BCL8,POTEB	BCL8	BCL8	0.54	10	1
3_MACS_peak_2190_lociStitched	chr10	22595340	22634258	3	30394	85654.6262	11	1	COMMD3,BMI1	SPAG6	BMI1	BMI1	1.7555	11	1
4_MACS_peak_3799_lociStitched	chr11	111230409	111263879	4	26155	85445.563	12	1	POU2AF1		POU2AF1	POU2AF1	2.2446	12	1
2_MACS_peak_6141_lociStitched	chr15	21998749	22039367	2	39403	83965.5296	13	1	CXADRP2		CXADRP2	CXADRP2	3.0942	13	1
5_MACS_peak_5031_lociStitched	chr12	127525586	127572384	5	39347	83291.0804	14	1			LOC440117	LOC440117	NONE	14	1
1_MACS_peak_10913_lociStitched	chr2	43444235	43457309	1	13075	79993.269	15	1	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	5.6465	15	1
11_MACS_peak_6101_lociStitched	chr14	106145200	106175817	11	20443	76196.5279	16	1			TMEM121	TMEM121	0.4295	16	1
1_MACS_peak_4199_lociStitched	chr12	26265299	26280916	1	15618	75887.6881	17	1	BHLHE41		BHLHE41	BHLHE41	4.557	17	1
2_MACS_peak_3406_lociStitched	chr11	65259918	65278986	2	18928	74599.7364	18	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	3.9816	18	1
1_MACS_peak_9270_lociStitched	chr18	60977114	60989015	1	11902	73917.111	19	1	BCL2	KDSR	BCL2	BCL2	0.9063	19	1
