GENE_ID	locusLine	bin_1_MM.1S.jin.bam
NM_001145277	chr1(.):16762166-16791584	0.2728
NM_013943	chr1(.):25066759-25175815	0.1958
NM_021222	chr1(.):150975972-151013189	0.1935
NM_001037675	chr1(.):144609958-144833810	0.0916
NM_133494	chr1(.):198121107-198296548	0.143
NM_001198993	chr1(.):1677670-1715297	0.4405
NM_023018	chr1(.):1677670-1714909	0.4389
NM_001198994	chr1(.):1677670-1716508	0.4318
NM_003820	chr1(.):2482804-2500267	0.2691
NM_183416	chr1(.):10265763-10373655	0.1503
NM_015074	chr1(.):10265763-10446661	0.1274
NR_027136	chr1(.):15433310-15483960	0.1381
NM_004091	chr1(.):23827921-23862713	0.631
NM_173065	chr1(.):24475646-24518751	0.4481
NM_006990	chr1(.):27727125-27821669	0.2993
NM_001135218	chr1(.):28924608-28974604	0.2527
NM_002379	chr1(.):31179123-31201432	0.1855
NR_034182	chr1(.):31186618-31204593	0.2072
NM_181809	chr1(.):39952317-40000541	0.5094
NM_001720	chr1(.):40218902-40259533	0.374
NM_001127714	chr1(.):41970683-42389496	0.2265
NM_174964	chr1(.):44168217-44401831	0.149
NM_002600	chr1(.):66253855-66845262	0.1128
NM_001037341	chr1(.):66253192-66845262	0.1128
NM_001037340	chr1(.):66453389-66845262	0.1396
NM_001100910	chr1(.):120834004-120860681	0.3836
NR_024584	chr1(.):144295516-144346755	0.2013
NR_034178	chr1(.):143910747-144099477	0.2822
NM_203458	chr1(.):145204110-145290912	0.4684
NM_001195260	chr1(.):144946760-145002111	0.5331
NM_153713	chr1(.):145472084-145504091	0.1775
NM_022359	chr1(.):144946760-145081186	0.4305
NM_001002812	chr1(.):144885590-145000022	0.4761
NM_014644	chr1(.):144846426-145000022	0.3976
NM_001195261	chr1(.):144946760-145000082	0.5218
NM_001198834	chr1(.):144846423-145000033	0.3976
NM_001002810	chr1(.):144946760-145000033	0.5221
NM_001198832	chr1(.):144846423-145044992	0.4173
NM_020524	chr1(.):154911558-154933567	1.4898
NM_181359	chr1(.):154372668-154445188	0.7478
NM_002249	chr1(.):154674914-154847754	0.4106
NM_170782	chr1(.):154674914-154837338	0.4194
NM_005572	chr1(.):156079460-156112657	0.2371
NM_005531	chr1(.):158974681-159029945	0.2623
NM_007348	chr1(.):161731083-161933852	0.2351
NM_052862	chr1(.):167594473-167680486	0.3244
NM_014412	chr1(.):174963891-174986163	0.5341
NM_001007214	chr1(.):174963570-174986163	0.5271
NM_014810	chr1(.):179918907-180089015	0.1821
NM_015149	chr1(.):183600207-183902666	0.2871
NM_025191	chr1(.):184654624-184729041	0.3809
NM_144977	chr1(.):197516384-197749623	0.1766
NM_001195215	chr1(.):197468878-197749623	0.1589
NM_014827	chr1(.):203759750-203828256	0.2464
NM_001199050	chr1(.):205345505-205396214	0.1182
NM_015375	chr1(.):205106630-205185727	0.1648
NM_182663	chr1(.):206675878-206767616	0.5561
NM_001193338	chr1(.):207071630-207100235	0.7553
NM_005449	chr1(.):207071630-207100378	0.7547
NM_002763	chr1(.):214156859-214214762	0.1746
NM_002221	chr1(.):226814390-226931876	0.569
NM_004481	chr1(.):230197955-230422875	0.391
NM_003431	chr1(.):247314202-247340318	0.1279
NM_182838	chr1(.):1658680-1682431	0.4884
NM_001198995	chr1(.):1677670-1695081	0.1929
NM_001010926	chr1(.):2455183-2466684	0.1489
NR_026927	chr1(.):2476358-2489284	0.8155
NM_018216	chr1(.):2434974-2463035	0.0823
NM_001195741	chr1(.):2513188-2527908	0.3051
NR_036638	chr1(.):2512898-2527908	0.301
NM_177540	chr1(.):6610337-6644817	0.1884
NM_005341	chr1(.):6635062-6654340	0.1656
NM_014851	chr1(.):6645783-6667929	0.524
NM_153812	chr1(.):6668755-6689093	0.2885
NM_024654	chr1(.):6576406-6619658	0.1268
NM_001195752	chr1(.):6680209-6698642	0.1539
NM_001195753	chr1(.):6679924-6698642	0.1535
NM_001136216	chr1(.):15474027-15551974	0.2691
NM_001136218	chr1(.):15475228-15551974	0.2711
NM_198546	chr1(.):16720137-16768919	0.1201
NR_023386	chr1(.):16788930-16824196	0.0632
NM_017707	chr1(.):23750055-23815750	0.0884
NM_002167	chr1(.):23879408-23891322	0.4766
NR_027042	chr1(.):23948823-23972056	0.2822
NM_021258	chr1(.):24441260-24474611	0.0925
NR_027087	chr1(.):24521729-24543180	0.5193
NM_015627	chr1(.):25865075-25900377	0.6103
NM_006015	chr1(.):27017521-27113601	0.452
NM_005281	chr1(.):27714151-27727317	0.1441
NM_014280	chr1(.):28521789-28564542	0.1291
NM_016311	chr1(.):28557610-28569611	0.2551
NM_031459	chr1(.):28581005-28614002	0.098
NR_024127	chr1(.):28900049-28913366	0.438
NM_152304	chr1(.):28913711-28926088	0.2766
NM_001193532	chr1(.):28914006-28926088	0.2721
NR_003035	chr1(.):28902431-28912565	0.5347
NR_002987	chr1(.):28901275-28911405	0.5378
NR_003109	chr1(.):28874528-28910057	0.2942
NR_002976	chr1(.):28901892-28912024	0.5435
NR_003077	chr1(.):28900254-28910334	0.5365
NR_004407	chr1(.):28970111-28980246	0.3558
NM_006762	chr1(.):31200314-31235683	0.9974
NM_178547	chr1(.):33082306-33121185	0.5451
NM_005610	chr1(.):33111748-33156812	0.2528
NM_001135256	chr1(.):33111958-33156812	0.2535
NR_002983	chr1(.):40028045-40038182	0.844
NR_003929	chr1(.):39982951-40030370	0.2403
NM_001135653	chr1(.):40021484-40047521	0.6306
NM_001195007	chr1(.):40199516-40234586	0.1597
NM_022120	chr1(.):40230196-40242020	0.5086
NM_001198979	chr1(.):40854016-40893998	0.1876
NM_001198978	chr1(.):40835304-40893998	0.4226
NM_001198980	chr1(.):40857471-40893998	0.1149
NM_022733	chr1(.):40834377-40893998	0.417
NM_006769	chr1(.):87789150-87819607	0.5276
