REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
5_MACS_peak_24402_lociStitched	chr6	108878216	108974516	5	88780	238698.81	16284.33	1	FOXO3		FOXO3	FOXO3	1.9869	1	1
12_MACS_peak_19545_lociStitched	chr3	141079120	141159727	12	69922	385994.6802	17088.684	2	ZBTB38	RASA2	ZBTB38	ZBTB38	2.7166	2	1
5_MACS_peak_10001_lociStitched	chr16	11765828	11843263	5	69428	224042.6855	16129.7105	3	SNN,TXNDC11	ZC3H7A	TXNDC11	TXNDC11	2.7882	3	1
6_MACS_peak_8499_lociStitched	chr14	91812935	91885966	6	61723	223109.705	8639.5673	4	CCDC88C		CCDC88C	CCDC88C	1.5394	4	1
4_MACS_peak_14985_lociStitched	chr2	99054656	99132583	4	60806	373800.2336	17782.9414	5	INPP4A		INPP4A	INPP4A	2.3236	5	1
6_MACS_peak_1412_lociStitched	chr1	118141804	118219329	6	58908	276182.8125	10427.1125	6	FAM46C		FAM46C	FAM46C	4.6234	6	1
5_MACS_peak_14306_lociStitched	chr2	37525831	37587954	5	52016	271483.7223	12697.9412	7	QPCT,PRKD3		PRKD3	PRKD3	1.487	7	1
3_MACS_peak_16664_lociStitched	chr20	30261853	30312155	3	50043	203924.308	11307.8896	8	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	2.88	8	1
4_MACS_peak_12306_lociStitched	chr18	9095119	9157724	4	49299	183451.4315	11744.698	9	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.4751	9	1
1_MACS_peak_23316_lociStitched	chr6	7877946	7919923	1	41978	319705.2274	11107.1142	10	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	6.8302	10	1
6_MACS_peak_23990_lociStitched	chr6	52392742	52442993	6	40828	133612.3839	10326.5805	11	TRAM2		TRAM2	TRAM2	1.7516	11	1
