REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
12_MACS_peak_19545_lociStitched	chr3	141079120	141159727	12	69922	385994.6802	17088.684	1	ZBTB38	RASA2	ZBTB38	1	1
4_MACS_peak_14985_lociStitched	chr2	99054656	99132583	4	60806	373800.2336	17782.9414	2	INPP4A		INPP4A	2	1
1_MACS_peak_23316_lociStitched	chr6	7877946	7919923	1	41978	319705.2274	11107.1142	3	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	3	1
6_MACS_peak_1412_lociStitched	chr1	118141804	118219329	6	58908	276182.8125	10427.1125	4	FAM46C		FAM46C	4	1
5_MACS_peak_14306_lociStitched	chr2	37525831	37587954	5	52016	271483.7223	12697.9412	5	QPCT,PRKD3		PRKD3	5	1
4_MACS_peak_2337_lociStitched	chr1	203254914	203298088	4	30782	254627.2998	13863.1714	6	BTG2,LOC730227	FMOD	BTG2	6	1
5_MACS_peak_1718_lociStitched	chr1	154907953	154957879	5	37210	250284.0306	15012.7482	7	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	7	1
5_MACS_peak_24402_lociStitched	chr6	108878216	108974516	5	88780	238698.81	16284.33	8	FOXO3		FOXO3	8	1
6_MACS_peak_8499_lociStitched	chr14	91812935	91885966	6	61723	223109.705	8639.5673	9	CCDC88C		CCDC88C	9	1
6_MACS_peak_23203_lociStitched	chr6	290005	337869	6	34657	226186.1184	17159.244	10	DUSP22		DUSP22	10	1
5_MACS_peak_10001_lociStitched	chr16	11765828	11843263	5	69428	224042.6855	16129.7105	11	SNN,TXNDC11	ZC3H7A	TXNDC11	11	1
1_MACS_peak_2991_lociStitched	chr10	11202245	11224476	1	22232	207030.6337	5882.3226	12	CELF2		CELF2	12	1
3_MACS_peak_16664_lociStitched	chr20	30261853	30312155	3	50043	203924.308	11307.8896	13	BCL2L1	COX4I2,TPX2	BCL2L1	13	1
3_MACS_peak_4898_lociStitched	chr11	65183309	65214535	3	25096	186322.4194	7725.3124	14	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	14	1
4_MACS_peak_12306_lociStitched	chr18	9095119	9157724	4	49299	183451.4315	11744.698	15	NDUFV2,ANKRD12		ANKRD12	15	1
4_MACS_peak_17689_lociStitched	chr22	23221441	23249227	4	27179	157349.3394	5034.8232	16	IGLL5		IGLL5	16	1
2_MACS_peak_6342_lociStitched	chr12	53573162	53604053	2	26124	156311.5491	7296.4542	17	ZNF740,CSAD,ITGB7	MFSD5,RARG	ITGB7	17	1
2_MACS_peak_17693_lociStitched	chr22	23268627	23286314	2	17643	151895.956	4611.0009	18		IGLL5	IGLL5	18	1
4_MACS_peak_21640_lociStitched	chr5	1311690	1346142	4	28009	152570.682	7837.83	19	CLPTM1L	TERT	CLPTM1L	19	1
5_MACS_peak_6933_lociStitched	chr12	109009280	109036291	5	25641	149959.6698	6069.3717	20	SELPLG	TMEM119	SELPLG	20	1
2_MACS_peak_12903_lociStitched	chr19	2081349	2098455	2	15679	149860.5342	6031.5756	21	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	21	1
7_MACS_peak_16641_lociStitched	chr20	25261475	25303001	7	28800	149298.4278	7453.917	22	PYGB,ABHD12		PYGB	22	1
6_MACS_peak_11314_lociStitched	chr17	32690378	32726892	6	25630	147593.2394	8277.7238	23		CCL8,CCL13,CCL1	CCL1	23	1
2_MACS_peak_20895_lociStitched	chr4	90204562	90230288	2	24968	142149.013	5739.4706	24	GPRIN3		GPRIN3	24	1
5_MACS_peak_11362_lociStitched	chr17	34597814	34641453	5	36788	147578.3702	11324.3205	25	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	25	1
4_MACS_peak_11358_lociStitched	chr17	34509682	34540274	4	27237	143029.8368	9263.2576	26	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	26	1
1_MACS_peak_5904_lociStitched	chr12	12866102	12881965	1	15864	135508.0912	3930.8514	27	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	27	1
4_MACS_peak_11079_lociStitched	chr17	16863949	16895410	4	21876	136490.4024	6373.9986	28	TNFRSF13B		TNFRSF13B	28	1
5_MACS_peak_17521_lociStitched	chr21	45552528	45580728	5	19622	137384.76	7509.66	29	C21orf33	PWP2	C21orf33	29	1
2_MACS_peak_8658_lociStitched	chr14	106024605	106052781	2	26497	133266.8448	5435.1504	30		TMEM121	TMEM121	30	1
3_MACS_peak_26608_lociStitched	chr8	2027144	2050934	3	19382	131085.279	4855.539	31	MYOM2		MYOM2	31	1
6_MACS_peak_22610_lociStitched	chr5	131789749	131837841	6	33224	135600.2032	10012.7544	32	C5orf56,IRF1	IL5	IRF1	32	1
2_MACS_peak_26515_lociStitched	chr7	150062710	150084687	2	21720	129930.2217	6428.2725	33	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	33	1
3_MACS_peak_22607_lociStitched	chr5	131744764	131774503	3	23437	130316.298	6914.3175	34	C5orf56	SLC22A5,MIR3936	C5orf56	34	1
6_MACS_peak_23990_lociStitched	chr6	52392742	52442993	6	40828	133612.3839	10326.5805	35	TRAM2		TRAM2	35	1
4_MACS_peak_26014_lociStitched	chr7	102063503	102093217	4	21197	128495.2216	5850.6866	36	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	36	1
1_MACS_peak_15894_lociStitched	chr2	201979893	201995100	1	15208	124577.2647	4028.3343	37	CFLAR	NDUFB3,FAM126B	CFLAR	37	1
4_MACS_peak_1588_lociStitched	chr1	149802759	149834123	4	17973	127664.0256	8747.4196	38	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	38	1
3_MACS_peak_11793_lociStitched	chr17	56405111	56430980	3	20563	124590.2778	6097.3233	39	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	39	1
4_MACS_peak_18253_lociStitched	chr3	5221989	5257148	4	32658	125728.584	7337.6833	40	ARL8B,EDEM1		EDEM1	40	1
3_MACS_peak_12928_lociStitched	chr19	2606906	2629085	3	13137	124373.1783	6303.2718	41	GNG7		GNG7	41	1
4_MACS_peak_13272_lociStitched	chr19	16693785	16717316	4	15952	122707.1057	4830.9143	42	MED26	CHERP,SLC35E1	SLC35E1	42	1
3_MACS_peak_1772_lociStitched	chr1	156115361	156137266	3	21422	124295.5415	7401.6995	43	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	43	1
1_MACS_peak_24364_lociStitched	chr6	106530330	106555910	1	25581	121256.874	6238.962	44	PRDM1		PRDM1	44	1
7_MACS_peak_5805_lociStitched	chr12	7045189	7085767	7	30671	123300.3108	8383.4148	45	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	45	1
2_MACS_peak_11874_lociStitched	chr17	62149957	62187401	2	37302	120876.7208	8559.6984	46	ERN1	SNORD104,SNORA76	ERN1	46	1
