GENE_ID	locusLine	bin_1_MM25.jin.bam
NM_032236	chr1(.):21999791-22114688	0.2159
NM_201569	chr1(.):183436505-183528328	0.2543
NM_001198993	chr1(.):1677670-1715297	0.5147
NM_023018	chr1(.):1677670-1714909	0.518
NM_033487	chr1(.):1566099-1660775	0.4286
NM_001198994	chr1(.):1677670-1716508	0.5018
NM_015291	chr1(.):15848351-15903228	0.2758
NM_015001	chr1(.):16169358-16271950	0.2413
NM_001013693	chr1(.):22133757-22156714	0.0754
NM_032017	chr1(.):36800224-36856485	0.355
NR_024584	chr1(.):144295516-144346755	0.271
NM_207168	chr1(.):150594521-150607098	0.6681
NM_005572	chr1(.):156079460-156112657	0.4125
NM_001135050	chr1(.):159891828-159920386	0.4933
NM_014412	chr1(.):174963891-174986163	0.6465
NM_001007214	chr1(.):174963570-174986163	0.6376
NM_002293	chr1(.):182987594-183119727	0.2402
NM_017673	chr1(.):185121290-185265913	0.1548
NM_001105518	chr1(.):185121191-185265913	0.1547
NM_014935	chr1(.):204182980-204334044	0.063
NM_032328	chr1(.):245128170-245256148	0.2455
NR_026588	chr1(.):245128630-245256148	0.2463
NR_026587	chr1(.):245128630-245293530	0.2057
NR_026586	chr1(.):245128283-245293530	0.2053
NM_182838	chr1(.):1658680-1682431	0.733
NM_001110781	chr1(.):1587938-1629243	0.7771
NM_024011	chr1(.):1629169-1660791	0.2204
NM_001198995	chr1(.):1677670-1695081	0.3782
NM_177540	chr1(.):6610337-6644817	0.223
NM_005341	chr1(.):6635062-6654340	0.2615
NM_014851	chr1(.):6645783-6667929	1.0804
NM_153812	chr1(.):6668755-6689093	0.663
NM_024654	chr1(.):6576406-6619658	0.1083
NM_001195752	chr1(.):6680209-6698642	0.4475
NM_001195753	chr1(.):6679924-6698642	0.4407
NM_015866	chr1(.):14026349-14119574	0.3063
NM_001007257	chr1(.):14070875-14119574	0.1799
NM_001135610	chr1(.):14021734-14156574	0.2377
NM_015849	chr1(.):15797595-15822895	0.0647
NM_001229	chr1(.):15813768-15855940	0.3395
NM_032996	chr1(.):15813768-15856285	0.337
NM_001089591	chr1(.):16128656-16139194	0.0582
NR_024279	chr1(.):16155709-16179642	1.1378
NM_001032730	chr1(.):22049338-22114688	0.318
NM_006015	chr1(.):27017521-27113601	0.3101
NM_032881	chr1(.):36854030-36868493	0.3858
NM_002228	chr1(.):59241462-59254785	1.5059
NR_034015	chr1(.):59245822-59370384	0.2433
NR_037443	chr1(.):65518437-65528525	0.0907
NR_029516	chr1(.):65519116-65529191	0.0919
NM_001123068	chr1(.):143762143-143772881	0.0501
NR_027469	chr1(.):143713512-143749587	0.4717
NR_027468	chr1(.):143713512-143749457	0.473
NR_024584	chr1(.):144475745-144526969	0.2939
NR_027468	chr1(.):147901021-147936980	0.3622
NM_019032	chr1(.):150516897-150538412	0.6748
NM_207046	chr1(.):150589598-150606609	0.5688
NR_036211	chr1(.):150519404-150529490	0.1774
NM_001197320	chr1(.):150542026-150557214	1.7243
NM_001093725	chr1(.):156036803-156056789	0.0702
NM_020387	chr1(.):156025965-156045295	0.0704
NM_001145264	chr1(.):156019516-156033301	0.3227
NM_022367	chr1(.):156118321-156152542	0.1568
NM_001193302	chr1(.):156118368-156152542	0.1561
NM_001193301	chr1(.):156114734-156152542	0.155
NM_003564	chr1(.):159882902-159900284	0.8677
NM_012337	chr1(.):159837153-159874906	0.0782
NM_001146172	chr1(.):159916281-159929044	0.0609
NM_030916	chr1(.):161035780-161064385	0.1445
NM_007122	chr1(.):161004040-161020757	1.1249
NM_001113205	chr1(.):161002421-161013774	0.1885
NM_181720	chr1(.):161011731-161044760	0.6516
NM_016946	chr1(.):160960000-160996133	0.1723
NM_022100	chr1(.):174977093-174997591	0.1639
NM_022371	chr1(.):179046111-179070129	0.8495
NM_030934	chr1(.):185082217-185131116	0.3336
NR_034150	chr1(.):203262885-203279453	1.0153
NM_006763	chr1(.):203269663-203283729	1.0456
NM_002023	chr1(.):203304751-203325289	0.1116
NR_027022	chr1(.):204332557-204343847	0.0748
NM_032833	chr1(.):204367491-204385944	0.8885
NR_026817	chr1(.):207986723-208000941	2.4996
NR_029832	chr1(.):207970196-207980284	0.172
NR_029518	chr1(.):207970787-207980868	0.1929
NM_025160	chr1(.):224567844-224627001	0.284
NM_182972	chr1(.):234735014-234750271	2.0968
NR_033927	chr1(.):234760056-234775526	0.0764
NM_031844	chr1(.):245008601-245032827	0.6751
NM_198076	chr1(.):244993638-245013359	0.8865
NR_026778	chr1(.):244998939-245015243	0.1739
NR_033872	chr2(.):70184394-70319147	0.2666
NM_001139517	chr2(.):179291140-179320484	0.4364
NM_003690	chr2(.):179291140-179320958	0.4296
NM_001139518	chr2(.):179291140-179320355	0.4378
NR_031666	chr2(.):179241804-179546009	0.1263
NM_012249	chr2(.):46764866-46816827	0.5011
NM_001190274	chr2(.):48029058-48137932	0.1778
NM_025133	chr2(.):48029058-48120858	0.0697
NM_001122964	chr2(.):55770513-55849796	0.2768
NM_004836	chr2(.):88851258-88932094	0.5137
NM_006164	chr2(.):178090032-178134859	0.5028
NM_001145413	chr2(.):178090032-178133617	0.515
NM_003879	chr2(.):201975889-202034003	0.7496
NM_001127184	chr2(.):201975815-202011323	1.081
NM_001162407	chr2(.):201712731-201734284	1.2431
NM_004071	chr2(.):201712731-201734467	1.2327
NM_173822	chr2(.):201833440-201941392	0.0958
NM_003709	chr2(.):207940528-208035614	0.2711
NM_004379	chr2(.):208389615-208475284	0.2295
NM_016061	chr2(.):30364749-30388399	0.9275
NM_006887	chr2(.):43444540-43458745	1.5197
NR_027251	chr2(.):43449349-43460994	1.2568
NM_080653	chr2(.):46733985-46752096	0.0583
NM_006196	chr2(.):70309584-70321334	2.0918
NR_024444	chr2(.):70346167-70357448	0.8717
NM_020122	chr2(.):85193230-85291595	0.1911
NM_006186	chr2(.):157175943-157194287	0.4342
NM_004288	chr2(.):158266130-158305604	0.4944
