GENE_ID	locusLine	bin_1_13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22.bam
NM_001006605	chr1(.):93302720-93432079	0.1941
NM_001010935	chr1(.):112157404-112261101	0.0824
NR_002188	chr1(.):155178615-155202325	0.6596
NM_021642	chr1(.):161470204-161494360	0.1956
NM_201569	chr1(.):183436505-183528328	0.4586
NM_001113348	chr1(.):21538739-21677034	0.3284
NM_004091	chr1(.):23827921-23862713	1.3766
NM_020448	chr1(.):24737244-24804473	0.1429
NM_173065	chr1(.):24475646-24518751	1.241
NM_001048199	chr1(.):28827454-28870708	0.6555
NR_002909	chr1(.):28827454-28842404	1.3035
NM_002379	chr1(.):31179123-31201432	0.2241
NR_034182	chr1(.):31186618-31204593	0.254
NM_002600	chr1(.):66253855-66845262	0.1748
NM_001037341	chr1(.):66253192-66845262	0.1747
NM_001037340	chr1(.):66453389-66845262	0.2303
NM_024763	chr1(.):67273571-67395570	0.112
NM_207014	chr1(.):67298281-67395570	0.1243
NM_001081976	chr1(.):112020969-112111597	0.0865
NM_198459	chr1(.):115122195-115217732	0.1081
NM_153713	chr1(.):145472084-145504091	0.2169
NM_207168	chr1(.):150594521-150607098	1.2593
NM_020699	chr1(.):153772202-153900451	0.2012
NM_020524	chr1(.):154911558-154933567	2.6769
NM_181359	chr1(.):154372668-154445188	0.9976
NM_005572	chr1(.):156079460-156112657	0.3678
NM_005973	chr1(.):156732273-156775609	0.4342
NM_012394	chr1(.):161065345-161092866	0.4767
NM_025191	chr1(.):184654624-184729041	0.472
NM_144977	chr1(.):197516384-197749623	0.22
NM_001195215	chr1(.):197468878-197749623	0.1993
NM_182663	chr1(.):206675878-206767616	0.6092
NM_001143962	chr1(.):223709971-223858436	0.0507
NM_002221	chr1(.):226814390-226931876	0.9426
NM_004481	chr1(.):230197955-230422875	0.4986
NM_014675	chr1(.):17243444-17304474	0.1228
NM_001397	chr1(.):21538739-21621982	0.4336
NM_001113347	chr1(.):21538739-21611183	0.0936
NM_001113349	chr1(.):21538739-21621766	0.4295
NM_017707	chr1(.):23750055-23815750	0.0661
NM_002167	chr1(.):23879408-23891322	0.4017
NM_021258	chr1(.):24441260-24474611	0.1027
NR_027087	chr1(.):24521729-24543180	0.4787
NM_001199013	chr1(.):24678488-24745262	0.2892
NM_001199012	chr1(.):24678488-24746587	0.2844
NM_015484	chr1(.):25543766-25564013	0.3045
NM_001127691	chr1(.):25593980-25661936	0.1063
NM_020317	chr1(.):25563739-25578985	0.8749
NM_015627	chr1(.):25865075-25900377	1.0802
NR_026685	chr1(.):26432655-26457026	0.5469
NM_152835	chr1(.):26433267-26457026	0.5582
NM_032588	chr1(.):26372797-26399121	0.0834
NM_024869	chr1(.):26480510-26494119	0.1061
NM_015871	chr1(.):26491387-26502364	0.248
NM_017837	chr1(.):27109485-27129887	0.75
NM_006015	chr1(.):27017521-27113601	0.6249
NM_018066	chr1(.):27200872-27221869	0.3506
NM_032283	chr1(.):27148200-27187211	0.5264
NM_006142	chr1(.):27184632-27195947	1.4728
NR_024127	chr1(.):28900049-28913366	1.1644
NM_152304	chr1(.):28913711-28926088	0.584
NM_001193532	chr1(.):28914006-28926088	0.5708
NR_003035	chr1(.):28902431-28912565	1.4426
NR_002987	chr1(.):28901275-28911405	1.4511
NR_003109	chr1(.):28874528-28910057	0.7759
NM_001269	chr1(.):28839744-28870708	0.3103
NR_002976	chr1(.):28901892-28912024	1.4365
NR_003077	chr1(.):28900254-28910334	1.4708
NM_006762	chr1(.):31200314-31235683	2.3275
NM_005202	chr1(.):36555843-36570850	0.0969
NM_018067	chr1(.):36616802-36651441	0.5391
NM_014408	chr1(.):36597172-36620067	0.5459
NM_022756	chr1(.):37953175-37985364	0.1929
NM_025079	chr1(.):37935118-37954978	0.8761
NM_001038633	chr1(.):38071950-38105491	0.0849
NM_017850	chr1(.):38142241-38161192	0.6114
NM_018101	chr1(.):38153158-38180391	0.3729
NR_002983	chr1(.):40028045-40038182	1.2672
NR_003929	chr1(.):39982951-40030370	0.4448
NM_001135653	chr1(.):40021484-40047521	0.9303
NM_001198979	chr1(.):40854016-40893998	0.1585
NM_001198978	chr1(.):40835304-40893998	0.4808
NM_001198980	chr1(.):40857471-40893998	0.0988
NM_022733	chr1(.):40834377-40893998	0.4736
NM_006004	chr1(.):46764379-46787447	1.0317
NM_006369	chr1(.):46739071-46774038	0.7246
NM_199044	chr1(.):46801389-46835690	0.249
NM_001037339	chr1(.):66792792-66845262	0.5629
NM_001077702	chr1(.):67385577-67459302	0.2504
NM_001077704	chr1(.):67390925-67459302	0.2189
NM_001001933	chr1(.):75589118-75632218	0.5887
NM_006769	chr1(.):87789150-87819607	0.6579
NM_004974	chr1(.):111140775-111153345	0.0555
NM_002232	chr1(.):111209309-111222655	0.4196
NR_034126	chr1(.):112136628-112155940	0.5089
NM_007158	chr1(.):115254536-115305624	0.2177
NM_002524	chr1(.):115242077-115264515	0.468
NM_001172626	chr1(.):115210719-115243239	0.4199
NM_001130523	chr1(.):115254537-115305671	0.2175
NM_001779	chr1(.):117052155-117118715	0.2226
NM_001144822	chr1(.):117056321-117118715	0.2327
NM_017709	chr1(.):118143603-118176011	3.8421
NM_032305	chr1(.):145451235-145475387	1.0068
NM_202004	chr1(.):145408190-145422545	0.0954
NM_006472	chr1(.):145433461-145447628	0.9887
NM_001039888	chr1(.):145465507-145480647	0.2654
NM_003846	chr1(.):145511164-145528732	0.8762
NM_005105	chr1(.):145502637-145516444	1.577
NM_001184795	chr1(.):145511559-145528732	0.8934
NM_003637	chr1(.):145519989-145548868	0.1184
NM_144698	chr1(.):145544208-145573526	0.1232
NR_002328	chr1(.):145504819-145521076	1.4912
NM_001161334	chr1(.):149749244-149788928	0.3358
NM_001034077	chr1(.):149799220-149809616	1.185
NM_001005464	chr1(.):149807258-149817765	2.2834
NM_001040874	chr1(.):149808784-149819318	2.29
NM_001123375	chr1(.):149779779-149790236	0.8291
NM_000566	chr1(.):149749249-149769074	0.1953
NM_016074	chr1(.):149866154-149877348	0.3498
NM_003528	chr1(.):149851009-149863232	2.2752
NM_003517	chr1(.):149853524-149863961	2.6397
NM_175065	chr1(.):149854018-149864466	2.6387
NR_036461	chr1(.):149816758-149827340	2.1614
NM_001040874	chr1(.):149817627-149828161	2.1602
NM_001005464	chr1(.):149819180-149829687	2.1592
NM_001034077	chr1(.):149827329-149837725	1.2033
NM_019032	chr1(.):150516897-150538412	2.0876
NM_207046	chr1(.):150589598-150606609	0.9876
NR_036211	chr1(.):150519404-150529490	0.1462
NM_001197320	chr1(.):150542026-150557214	1.1339
NM_014437	chr1(.):153926587-153945188	1.2372
NM_130898	chr1(.):153935396-153951832	1.3965
NM_181715	chr1(.):153915151-153936043	1.1914
NM_006694	chr1(.):153941744-153955451	0.524
NM_002870	chr1(.):153949127-153963806	0.8177
NM_014856	chr1(.):153896976-153924154	0.675
NM_001030	chr1(.):153958238-153969631	0.6272
NM_020452	chr1(.):154295275-154328780	1.1929
NM_001005855	chr1(.):154293035-154315322	1.647
NM_080429	chr1(.):154288591-154302801	2.3667
NM_006556	chr1(.):154892207-154914484	3.0177
NM_001130041	chr1(.):154929773-154951959	2.2157
NM_001130040	chr1(.):154929773-154948223	2.4996
NM_201398	chr1(.):154950769-154970587	0.4723
NM_015872	chr1(.):154970111-154995999	1.1136
NM_207196	chr1(.):155018761-155040252	0.4572
NM_001184892	chr1(.):154950769-154966488	0.5365
NM_018655	chr1(.):154961061-154971791	0.2921
NM_001143687	chr1(.):155001281-155028406	0.3251
NR_024163	chr1(.):154942117-154956725	2.1912
NM_144622	chr1(.):154986002-155011257	0.3483
NM_138300	chr1(.):154924501-154939258	2.7209
NR_036212	chr1(.):154943168-154953259	2.511
NM_001018017	chr1(.):155153299-155167700	0.1973
NM_198883	chr1(.):155173489-155188624	0.6221
NM_007112	chr1(.):155160378-155182690	0.4786
NR_030281	chr1(.):155159967-155170063	0.1768
NM_001005742	chr1(.):155199238-155219653	0.4382
NM_003993	chr1(.):155227658-155248281	0.7276
NM_181871	chr1(.):155254083-155275792	0.1402
NM_198264	chr1(.):155211995-155230274	0.5374
NM_052837	chr1(.):155220771-155237195	0.5493
NM_020897	chr1(.):155242373-155264638	0.4034
NM_001171812	chr1(.):155199238-155216066	0.5134
NM_000157	chr1(.):155199238-155216069	0.5133
NM_001135821	chr1(.):155273704-155295457	0.9346
NM_002004	chr1(.):155273538-155295457	0.9275
NM_005698	chr1(.):155220769-155237195	0.5492
NM_000298	chr1(.):155254083-155276225	0.1415
NM_006912	chr1(.):155862600-155886177	0.2216
NM_001162384	chr1(.):155911629-155953336	1.4633
NM_181885	chr1(.):155906479-155917625	1.1126
NM_004723	chr1(.):155911629-155952966	1.4733
NM_014949	chr1(.):155877835-155909188	0.5963
NR_002974	chr1(.):155884699-155894833	0.1443
NR_003005	chr1(.):155890748-155900877	0.1643
NM_003145	chr1(.):155973838-155995758	0.5871
NM_014655	chr1(.):156158729-156187587	0.8352
NM_007221	chr1(.):156177783-156214833	0.9405
NM_022367	chr1(.):156118321-156152542	3.4046
NM_001193302	chr1(.):156118368-156152542	3.4069
NM_001193301	chr1(.):156114734-156152542	3.1587
NM_005920	chr1(.):156428518-156475529	1.4416
NM_004494	chr1(.):156706898-156726543	1.6659
NM_001126051	chr1(.):156706898-156727024	1.6285
NM_001126050	chr1(.):156706898-156727240	1.6112
NM_030980	chr1(.):156687412-156702705	0.6802
NM_001878	chr1(.):156664407-156680375	0.1199
NM_001142560	chr1(.):156693262-156711752	1.1869
NM_145729	chr1(.):156702093-156715923	1.0606
NR_001560	chr1(.):157093153-157103463	0.1392
NM_005240	chr1(.):157097975-157113177	0.8518
NM_001145312	chr1(.):157089458-157113383	0.586
NM_001778	chr1(.):160643535-160686585	0.809
NM_021181	chr1(.):160704076-160729601	0.6292
NM_001039711	chr1(.):161085768-161107478	0.8418
NM_016406	chr1(.):161118533-161133646	1.6157
NM_004550	chr1(.):161164104-161189184	0.6467
NM_000309	chr1(.):161131180-161146010	0.805
NM_001643	chr1(.):161187082-161198418	0.841
NM_001185094	chr1(.):161082907-161095984	0.5547
NM_003779	chr1(.):161136100-161152314	1.3532
NM_012475	chr1(.):161124253-161140516	0.9704
NM_001039712	chr1(.):161085768-161107256	0.8499
NM_005600	chr1(.):161082861-161095984	0.5534
NM_001185093	chr1(.):161082906-161095984	0.5546
NM_032174	chr1(.):161190832-161205407	0.5547
NM_001166159	chr1(.):161166936-161189184	0.7029
NM_005099	chr1(.):161154537-161173845	1.0433
NM_004106	chr1(.):161180086-161194038	0.5179
NM_022371	chr1(.):179046111-179070129	1.9871
NM_001195216	chr1(.):197698138-197749623	0.6168
NR_034150	chr1(.):203262885-203279453	3.4509
NM_006763	chr1(.):203269663-203283729	2.1241
NM_002023	chr1(.):203304751-203325289	0.146
NM_002646	chr1(.):204386757-204464474	0.1965
NM_002393	chr1(.):204480510-204532248	0.9522
NM_001007544	chr1(.):206233871-206293647	1.2111
NM_148964	chr1(.):206312458-206337104	0.0874
NM_006893	chr1(.):206759973-206790904	0.2874
NM_182665	chr1(.):206725491-206767616	1.1227
NR_026817	chr1(.):207986723-208000941	1.2476
NR_029832	chr1(.):207970196-207980284	0.4633
NR_029518	chr1(.):207970787-207980868	0.6835
NM_021194	chr1(.):211743380-211757099	1.3164
NM_001748	chr1(.):223895118-223968720	0.3528
NM_001146068	chr1(.):223884294-223968720	0.3248
NM_001136018	chr1(.):225992796-226038262	0.2656
NM_000120	chr1(.):226008001-226038262	0.312
NM_020997	chr1(.):226068981-226081836	0.9321
NM_014698	chr1(.):226028232-226075420	0.9102
NM_013328	chr1(.):226102579-226116965	0.8107
NM_181441	chr1(.):228289379-228302013	1.2161
NR_037415	chr1(.):228279963-228290042	0.2947
NM_001024227	chr1(.):228265850-228291913	1.437
NM_001024226	chr1(.):228265360-228291913	1.4137
NM_024319	chr1(.):228283427-228296022	0.8107
NM_001159390	chr1(.):228322928-228341655	0.6853
NM_182972	chr1(.):234735014-234750271	5.5282
NR_033927	chr1(.):234760056-234775526	0.1004
NM_030645	chr1(.):249099650-249125154	1.0222
NM_024836	chr1(.):249127529-249148714	0.9872
NM_001136036	chr1(.):249139202-249158125	0.6549
NM_001193328	chr1(.):249139202-249158315	0.6495
NR_036070	chr1(.):249115575-249125642	2.0248
NM_014600	chr2(.):31451879-31496260	0.0996
NM_001083590	chr2(.):27250773-27269565	0.3399
NM_020458	chr2(.):47163312-47308275	0.5905
NR_033872	chr2(.):70184394-70319147	0.6732
NR_015395	chr2(.):112119590-112257692	0.5748
NR_024373	chr2(.):112181885-112257692	0.9683
NM_001099289	chr2(.):109740996-110267207	0.1697
NM_015488	chr2(.):219130114-219216516	0.3304
