GENE_ID	locusLine	bin_1_KMS28BM_jia.bam
NM_013943	chr1(.):25066759-25175815	0.3039
NM_052998	chr1(.):33541713-33590995	0.111
NM_015215	chr1(.):6840383-7834766	0.1918
NM_012090	chr1(.):39542117-39957789	0.1955
NM_007051	chr1(.):50901934-51430936	0.0801
NM_001006605	chr1(.):93302720-93432079	0.2541
NM_001113228	chr1(.):107677628-108029475	0.0982
NM_014917	chr1(.):107677744-108029475	0.0982
NM_006608	chr1(.):114234823-114306777	0.1191
NM_152263	chr1(.):154129289-154169609	0.7682
NR_002188	chr1(.):155178615-155202325	0.5856
NM_001043351	chr1(.):154122779-154160725	0.849
NM_021642	chr1(.):161470204-161494360	0.4688
NM_001198993	chr1(.):1677670-1715297	1.6923
NM_023018	chr1(.):1677670-1714909	1.7073
NM_017900	chr1(.):1304109-1315818	1.616
NM_001014980	chr1(.):1172832-1187102	0.124
NM_001198994	chr1(.):1677670-1716508	1.6443
NM_003820	chr1(.):2482804-2500267	1.3694
NM_003036	chr1(.):2155133-2246652	0.7963
NM_012102	chr1(.):8407463-8882699	0.2239
NM_152942	chr1(.):12180957-12209264	0.3271
NM_001243	chr1(.):12118433-12209264	0.1968
NM_001136265	chr1(.):19225773-19287826	0.6174
NM_001113348	chr1(.):21538739-21677034	0.7078
NM_004091	chr1(.):23827921-23862713	1.2216
NM_173065	chr1(.):24475646-24518751	0.7357
NM_001048199	chr1(.):28827454-28870708	0.7904
NR_002909	chr1(.):28827454-28842404	1.7038
NM_001720	chr1(.):40218902-40259533	1.5318
NM_174964	chr1(.):44168217-44401831	0.3044
NM_002227	chr1(.):65293905-65437187	0.2286
NM_198459	chr1(.):115122195-115217732	0.0789
NM_001100910	chr1(.):120834004-120860681	0.8493
NR_034178	chr1(.):143910747-144099477	0.3929
NM_203458	chr1(.):145204110-145290912	0.3918
NM_004892	chr1(.):145091406-145121922	0.3562
NM_153713	chr1(.):145472084-145504091	0.3093
NM_207168	chr1(.):150594521-150607098	1.1223
NM_207042	chr1(.):150589598-150607098	0.9366
NM_207044	chr1(.):150590753-150607098	0.9908
NM_020699	chr1(.):153772202-153900451	0.4448
NM_020524	chr1(.):154911558-154933567	0.5908
NM_181359	chr1(.):154372668-154445188	0.9493
NM_002249	chr1(.):154674914-154847754	0.3515
NM_004952	chr1(.):155046347-155065014	0.7718
NM_170782	chr1(.):154674914-154837338	0.3543
NM_005572	chr1(.):156079460-156112657	0.8998
NM_170708	chr1(.):156079460-156114878	0.8511
NM_178229	chr1(.):156490196-156547396	0.0898
NM_005973	chr1(.):156732273-156775609	0.3885
NM_012394	chr1(.):161065345-161092866	0.5797
NM_006182	chr1(.):162597227-162755247	0.0806
NM_014412	chr1(.):174963891-174986163	0.5921
NM_014857	chr1(.):174123633-174932327	0.0664
NM_001035230	chr1(.):174839683-174932327	0.091
NM_001007214	chr1(.):174963570-174986163	0.5847
NM_014810	chr1(.):179918907-180089015	0.2228
NM_015149	chr1(.):183600207-183902666	0.2752
NM_025191	chr1(.):184654624-184729041	1.0321
NM_144977	chr1(.):197516384-197749623	0.4235
NM_001195215	chr1(.):197468878-197749623	0.3712
NM_182663	chr1(.):206675878-206767616	0.4536
NM_015434	chr1(.):212109697-212213884	0.1957
NM_001143962	chr1(.):223709971-223858436	0.0259
NM_022735	chr1(.):226327379-226379423	0.7103
NM_002221	chr1(.):226814390-226931876	0.4326
NM_001130045	chr1(.):1104285-1138313	0.1999
NR_029639	chr1(.):1097483-1107578	0.0697
NM_016547	chr1(.):1147287-1172447	0.7843
NM_080605	chr1(.):1162628-1175420	1.2806
NM_153254	chr1(.):1110076-1126243	0.0733
NM_003327	chr1(.):1141705-1154512	1.3902
NM_004195	chr1(.):1133887-1147089	1.7296
NR_029834	chr1(.):1098242-1108332	0.0806
NR_029957	chr1(.):1099384-1109467	0.0842
NM_004421	chr1(.):1265657-1289492	0.8558
NM_001127230	chr1(.):1304110-1315562	1.6505
NM_001127229	chr1(.):1304109-1315580	1.6482
NM_032348	chr1(.):1283070-1298915	1.1248
NM_022834	chr1(.):1365902-1383262	0.0885
NM_030937	chr1(.):1316090-1339718	0.8552
NM_001039577	chr1(.):1322667-1339718	1.1401
NR_015434	chr1(.):1329909-1342426	1.7677
NM_001145210	chr1(.):1348799-1361650	0.1176
NM_001146685	chr1(.):1356507-1368167	0.1297
NM_017971	chr1(.):1332275-1347693	2.0831
NM_001039211	chr1(.):1380068-1410538	0.3381
NM_182838	chr1(.):1658680-1682431	1.5898
NM_001198995	chr1(.):1677670-1695081	0.6217
NR_024489	chr1(.):2276852-2289100	0.0718
NM_001010926	chr1(.):2455183-2466684	1.7224
NR_026927	chr1(.):2476358-2489284	2.8666
NM_018216	chr1(.):2434974-2463035	1.0488
NM_001195741	chr1(.):2513188-2527908	0.7004
NR_036638	chr1(.):2512898-2527908	0.6878
NM_177540	chr1(.):6610337-6644817	0.5081
NM_005341	chr1(.):6635062-6654340	0.5117
NM_014851	chr1(.):6645783-6667929	1.7884
NM_153812	chr1(.):6668755-6689093	2.1798
NM_024654	chr1(.):6576406-6619658	0.2574
NM_001195752	chr1(.):6680209-6698642	0.43
NM_001195753	chr1(.):6679924-6698642	0.4255
NM_001195563	chr1(.):6840383-6937107	0.9784
NM_001042682	chr1(.):8407463-8488747	0.3515
NM_001428	chr1(.):8916062-8943780	1.7168
NM_021933	chr1(.):12074511-12097106	0.4065
NM_001066	chr1(.):12222059-12274277	0.4344
NM_014675	chr1(.):17243444-17304474	0.1744
NM_001136204	chr1(.):17728250-17770057	1.9409
NM_018715	chr1(.):17728250-17771220	1.9014
NM_170726	chr1(.):19192923-19234293	0.2218
NM_001397	chr1(.):21538739-21621982	0.8602
NM_001113347	chr1(.):21538739-21611183	0.1187
NM_001113349	chr1(.):21538739-21621766	0.8391
NM_017707	chr1(.):23750055-23815750	0.0746
NM_002167	chr1(.):23879408-23891322	1.7579
NM_001841	chr1(.):24195459-24244817	0.0649
NM_001191007	chr1(.):24287936-24311953	0.8141
NM_017761	chr1(.):24281300-24294949	1.6478
NM_021258	chr1(.):24441260-24474611	0.0989
NR_027087	chr1(.):24521729-24543180	0.5873
NM_015484	chr1(.):25543766-25564013	0.4447
NM_001127691	chr1(.):25593980-25661936	0.0298
NM_020317	chr1(.):25563739-25578985	1.0927
NM_015627	chr1(.):25865075-25900377	0.9528
NR_026685	chr1(.):26432655-26457026	1.8573
NM_152835	chr1(.):26433267-26457026	1.9033
NM_032588	chr1(.):26372797-26399121	0.0373
NR_023345	chr1(.):26498981-26521375	0.0615
NM_024869	chr1(.):26480510-26494119	0.0862
NM_015871	chr1(.):26491387-26502364	0.2891
NM_006314	chr1(.):26498980-26521375	0.0615
NM_017837	chr1(.):27109485-27129887	0.5911
NM_006015	chr1(.):27017521-27113601	0.6098
NM_018066	chr1(.):27200872-27221869	0.1719
NM_032283	chr1(.):27148200-27187211	0.2947
