GENE_ID	locusLine	bin_1_19_0EX5_0229Kronos_MM1S-KB-24hr-1_H3K27Ac_hs-dm_i39.bam
NM_001990	chr1(.):28295818-28420131	0.4352
NM_001006605	chr1(.):93302720-93432079	0.5009
NM_001113228	chr1(.):107677628-108029475	0.2029
NM_014917	chr1(.):107677744-108029475	0.203
NM_001010935	chr1(.):112157404-112261101	0.1383
NR_002188	chr1(.):155178615-155202325	0.6497
NM_201569	chr1(.):183436505-183528328	0.5629
NM_012102	chr1(.):8407463-8882699	0.1233
NM_004091	chr1(.):23827921-23862713	1.582
NM_020448	chr1(.):24737244-24804473	0.1381
NM_173065	chr1(.):24475646-24518751	3.1002
NM_001048199	chr1(.):28827454-28870708	0.5989
NR_002909	chr1(.):28827454-28842404	1.3581
NM_002379	chr1(.):31179123-31201432	0.1496
NR_034182	chr1(.):31186618-31204593	0.1776
NM_174964	chr1(.):44168217-44401831	0.3001
NM_002600	chr1(.):66253855-66845262	0.161
NM_001037341	chr1(.):66253192-66845262	0.1609
NM_001037340	chr1(.):66453389-66845262	0.2193
NM_024763	chr1(.):67273571-67395570	0.1339
NM_207014	chr1(.):67298281-67395570	0.1584
NM_001081976	chr1(.):112020969-112111597	0.1924
NM_001010922	chr1(.):114414435-114435169	0.058
NM_198459	chr1(.):115122195-115217732	0.1095
NM_153713	chr1(.):145472084-145504091	0.1978
NM_001002812	chr1(.):144885590-145000022	0.8807
NM_014644	chr1(.):144846426-145000022	0.6779
NM_001198834	chr1(.):144846423-145000033	0.6779
NM_001198832	chr1(.):144846423-145044992	0.5702
NM_207168	chr1(.):150594521-150607098	1.3537
NM_207042	chr1(.):150589598-150607098	1.0483
NM_207044	chr1(.):150590753-150607098	1.1143
NM_020699	chr1(.):153772202-153900451	0.2059
NM_020524	chr1(.):154911558-154933567	5.5658
NM_181359	chr1(.):154372668-154445188	1.684
NM_002249	chr1(.):154674914-154847754	0.8457
NM_170782	chr1(.):154674914-154837338	0.8867
NM_005572	chr1(.):156079460-156112657	0.4106
NM_005973	chr1(.):156732273-156775609	0.4378
NM_012394	chr1(.):161065345-161092866	0.4787
NM_007348	chr1(.):161731083-161933852	0.3013
NM_052862	chr1(.):167594473-167680486	0.3827
NM_014412	chr1(.):174963891-174986163	1.6493
NM_014857	chr1(.):174123633-174932327	0.0927
NM_001035230	chr1(.):174839683-174932327	0.1608
NM_001007214	chr1(.):174963570-174986163	1.6273
NM_015149	chr1(.):183600207-183902666	0.9232
NM_025191	chr1(.):184654624-184729041	0.4606
NM_144977	chr1(.):197516384-197749623	0.3634
NM_001195215	chr1(.):197468878-197749623	0.3167
NM_015375	chr1(.):205106630-205185727	0.2068
NM_182663	chr1(.):206675878-206767616	0.9665
NM_001143962	chr1(.):223709971-223858436	0.0277
NM_002221	chr1(.):226814390-226931876	1.0789
NM_004481	chr1(.):230197955-230422875	0.7431
NM_014675	chr1(.):17243444-17304474	0.0889
NM_017707	chr1(.):23750055-23815750	0.0429
NM_002167	chr1(.):23879408-23891322	1.2096
NR_027042	chr1(.):23948823-23972056	0.2411
NM_021258	chr1(.):24441260-24474611	0.0854
NR_027087	chr1(.):24521729-24543180	2.5075
NM_001199013	chr1(.):24678488-24745262	0.7268
NM_001199012	chr1(.):24678488-24746587	0.7134
NM_015484	chr1(.):25543766-25564013	0.3243
NM_001127691	chr1(.):25593980-25661936	0.1659
NM_020317	chr1(.):25563739-25578985	1.3575
NM_017837	chr1(.):27109485-27129887	1.7378
NM_006015	chr1(.):27017521-27113601	0.8078
NM_018066	chr1(.):27200872-27221869	0.2995
NM_032283	chr1(.):27148200-27187211	0.5007
NM_006142	chr1(.):27184632-27195947	0.9461
NM_014280	chr1(.):28521789-28564542	0.2501
NM_016311	chr1(.):28557610-28569611	0.7066
NM_001164721	chr1(.):28468676-28525447	0.1071
NM_001164722	chr1(.):28468676-28525437	0.1071
NM_031459	chr1(.):28581005-28614002	0.1074
NR_024127	chr1(.):28900049-28913366	1.2463
NM_152304	chr1(.):28913711-28926088	0.6018
NM_001193532	chr1(.):28914006-28926088	0.5876
NR_003035	chr1(.):28902431-28912565	1.5264
NR_002987	chr1(.):28901275-28911405	1.5434
NR_003109	chr1(.):28874528-28910057	0.7527
NM_001269	chr1(.):28839744-28870708	0.2012
NR_002976	chr1(.):28901892-28912024	1.5273
NR_003077	chr1(.):28900254-28910334	1.5509
NM_006762	chr1(.):31200314-31235683	4.7223
NM_005202	chr1(.):36555843-36570850	0.0827
