GENE_ID	locusLine	bin_1_03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05.bam
1_MACS_peak_1_lociStitched	chr1(.):9857-10788	3.1821
1_MACS_peak_2_lociStitched	chr1(.):28271-30375	2.7464
1_MACS_peak_3_lociStitched	chr1(.):441798-442735	0.4151
1_MACS_peak_4_lociStitched	chr1(.):540181-541259	0.5295
1_MACS_peak_5_lociStitched	chr1(.):713149-715247	1.8739
1_MACS_peak_6_lociStitched	chr1(.):761695-763824	1.6167
1_MACS_peak_7_lociStitched	chr1(.):793374-794201	0.5104
1_MACS_peak_8_lociStitched	chr1(.):879006-880564	0.8789
3_MACS_peak_9_lociStitched	chr1(.):893896-902818	0.5301
1_MACS_peak_12_lociStitched	chr1(.):911310-911996	0.5691
1_MACS_peak_13_lociStitched	chr1(.):947879-949624	0.9045
1_MACS_peak_14_lociStitched	chr1(.):997629-1000435	0.8811
1_MACS_peak_15_lociStitched	chr1(.):1050997-1052295	0.6657
2_MACS_peak_16_lociStitched	chr1(.):1071798-1080640	0.3144
1_MACS_peak_18_lociStitched	chr1(.):1092785-1094248	0.9884
1_MACS_peak_19_lociStitched	chr1(.):1166099-1167862	1.8882
1_MACS_peak_20_lociStitched	chr1(.):1207836-1210221	1.2085
1_MACS_peak_21_lociStitched	chr1(.):1242402-1245160	1.884
1_MACS_peak_22_lociStitched	chr1(.):1259317-1261544	2.0102
2_MACS_peak_23_lociStitched	chr1(.):1283621-1285415	1.1115
1_MACS_peak_25_lociStitched	chr1(.):1309569-1311697	1.7243
2_MACS_peak_26_lociStitched	chr1(.):1333713-1343505	0.6492
1_MACS_peak_28_lociStitched	chr1(.):1396762-1398978	2.0183
1_MACS_peak_29_lociStitched	chr1(.):1406039-1408662	1.2742
1_MACS_peak_30_lociStitched	chr1(.):1446209-1448920	2.5406
1_MACS_peak_31_lociStitched	chr1(.):1509218-1511161	2.1599
1_MACS_peak_32_lociStitched	chr1(.):1537299-1539085	0.6612
1_MACS_peak_33_lociStitched	chr1(.):1549824-1552448	2.1989
1_MACS_peak_34_lociStitched	chr1(.):1565621-1566681	0.6952
1_MACS_peak_35_lociStitched	chr1(.):1589739-1591668	2.0069
2_MACS_peak_36_lociStitched	chr1(.):1606254-1610890	1.3587
1_MACS_peak_38_lociStitched	chr1(.):1622703-1625731	4.9916
1_MACS_peak_39_lociStitched	chr1(.):1654956-1656771	1.5379
2_MACS_peak_40_lociStitched	chr1(.):1668872-1678983	1.9157
2_MACS_peak_42_lociStitched	chr1(.):1708908-1715000	2.5712
1_MACS_peak_44_lociStitched	chr1(.):1773159-1775163	0.6365
2_MACS_peak_45_lociStitched	chr1(.):1821064-1829707	0.6158
1_MACS_peak_47_lociStitched	chr1(.):1838033-1841518	0.9527
2_MACS_peak_48_lociStitched	chr1(.):2120545-2127117	0.2834
1_MACS_peak_50_lociStitched	chr1(.):2158337-2159346	1.2217
1_MACS_peak_51_lociStitched	chr1(.):2185933-2188716	2.9574
2_MACS_peak_52_lociStitched	chr1(.):2220858-2234030	2.0506
1_MACS_peak_54_lociStitched	chr1(.):2321976-2324333	1.2185
2_MACS_peak_55_lociStitched	chr1(.):2342805-2347861	1.596
1_MACS_peak_57_lociStitched	chr1(.):2456724-2458503	1.1147
2_MACS_peak_58_lociStitched	chr1(.):2476987-2489265	1.0858
2_MACS_peak_60_lociStitched	chr1(.):2508910-2518850	0.4717
1_MACS_peak_62_lociStitched	chr1(.):2573502-2575176	1.8038
1_MACS_peak_63_lociStitched	chr1(.):3087119-3087994	0.4491
2_MACS_peak_64_lociStitched	chr1(.):3540571-3547730	0.4129
2_MACS_peak_66_lociStitched	chr1(.):3565741-3570246	1.0534
1_MACS_peak_68_lociStitched	chr1(.):3688342-3689113	0.5497
1_MACS_peak_69_lociStitched	chr1(.):3711964-3713859	0.9053
1_MACS_peak_70_lociStitched	chr1(.):3773047-3774914	0.834
