GENE_ID	locusLine	bin_1_40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84.bam
NM_012090	chr1(.):39542117-39957789	0.1163
NM_002867	chr1(.):52368627-52461436	0.1195
NM_001006605	chr1(.):93302720-93432079	0.0696
NM_001010935	chr1(.):112157404-112261101	0.0655
NM_024408	chr1(.):120449175-120617276	0.1469
NR_002188	chr1(.):155178615-155202325	0.2015
NM_201569	chr1(.):183436505-183528328	0.1788
NM_015291	chr1(.):15848351-15903228	0.1171
NM_001113348	chr1(.):21538739-21677034	0.1105
NM_004091	chr1(.):23827921-23862713	0.1371
NM_020448	chr1(.):24737244-24804473	0.1149
NM_173065	chr1(.):24475646-24518751	0.1455
NM_001048199	chr1(.):28827454-28870708	0.1525
NR_002909	chr1(.):28827454-28842404	0.1888
NM_002379	chr1(.):31179123-31201432	0.1235
NR_034182	chr1(.):31186618-31204593	0.1138
NM_153341	chr1(.):33397049-33435286	0.1205
NM_001127714	chr1(.):41970683-42389496	0.1127
NM_174964	chr1(.):44168217-44401831	0.1116
NM_006845	chr1(.):45200489-45238438	0.1173
NM_002600	chr1(.):66253855-66845262	0.1093
NM_001037341	chr1(.):66253192-66845262	0.1092
NM_001037340	chr1(.):66453389-66845262	0.1155
NM_024763	chr1(.):67273571-67395570	0.1012
NM_207014	chr1(.):67298281-67395570	0.1054
NM_018841	chr1(.):68162148-68304155	0.1074
NM_001081976	chr1(.):112020969-112111597	0.0561
NM_198459	chr1(.):115122195-115217732	0.0519
NR_034178	chr1(.):143910747-144099477	0.1998
NM_203458	chr1(.):145204110-145290912	0.3884
NM_004892	chr1(.):145091406-145121922	0.3759
NM_153713	chr1(.):145472084-145504091	0.1882
NM_207168	chr1(.):150594521-150607098	0.2227
NM_005060	chr1(.):151773546-151809348	0.1696
NM_001001523	chr1(.):151773546-151803553	0.161
NM_020699	chr1(.):153772202-153900451	0.1741
NM_020524	chr1(.):154911558-154933567	0.2614
NM_181359	chr1(.):154372668-154445188	0.1994
NM_002249	chr1(.):154674914-154847754	0.183
NM_170782	chr1(.):154674914-154837338	0.1827
NM_005572	chr1(.):156079460-156112657	0.1857
NM_170708	chr1(.):156079460-156114878	0.1864
NM_005973	chr1(.):156732273-156775609	0.1925
NM_005531	chr1(.):158974681-159029945	0.1804
NM_007348	chr1(.):161731083-161933852	0.1702
NM_014412	chr1(.):174963891-174986163	0.2156
NM_014857	chr1(.):174123633-174932327	0.1457
NM_001035230	chr1(.):174839683-174932327	0.1517
NM_001007214	chr1(.):174963570-174986163	0.2136
NM_015149	chr1(.):183600207-183902666	0.1703
NM_025191	chr1(.):184654624-184729041	0.1828
