REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
9_MACS_peak_11359_lociStitched	chr2	99061661	99105607	9	26026	33218.7814	11522.6412	1	INPP4A		INPP4A	INPP4A	0.16739999999999997	1	1
1_MACS_peak_16906_lociStitched	chr5	9917	12166	1	2250	24117.8262	6177.1034	2			PLEKHG4B	PLEKHG4B	NONE	2	1
9_MACS_peak_18445_lociStitched	chr6	7878048	7918942	9	27985	29705.4016	11920.601	3	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	0.40700000000000003	3	1
1_MACS_peak_3985_lociStitched	chr11	65263965	65278801	1	14837	17123.7112	3667.4592	4	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	0.7292000000000001	4	1
6_MACS_peak_5129_lociStitched	chr12	53583686	53603470	6	15554	17940.1312	5401.032	5	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	ITGB7	0.5095000000000001	5	1
7_MACS_peak_19347_lociStitched	chr6	106531326	106560149	7	20671	19383.4675	6891.5793	6	PRDM1		PRDM1	PRDM1	0.3721	6	1
2_MACS_peak_3978_lociStitched	chr11	65183632	65199513	2	13624	17111.7775	5113.682	7	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	0.8154999999999999	7	1
3_MACS_peak_2438_lociStitched	chr10	11204678	11223174	3	16165	16962.6816	5090.0992	8	CELF2		CELF2	CELF2	0.08750000000000002	8	1
10_MACS_peak_4695_lociStitched	chr12	7046079	7080746	10	16309	18179.3748	6867.5327	9	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	0.37639999999999996	9	1
4_MACS_peak_1142_lociStitched	chr1	150532183	150552742	4	12603	18346.8516	7179.2028	10	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.2738	10	1
4_MACS_peak_8559_lociStitched	chr17	34522812	34539657	4	14107	17235.804	6156.8475	11	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	0.5051000000000001	11	1
5_MACS_peak_8567_lociStitched	chr17	34622718	34640668	5	14455	17628.695	6740.225	12	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	12	1
8_MACS_peak_7918_lociStitched	chr16	56964034	56986023	8	16219	15638.5768	5145.426	13	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	0.4363	13	1
5_MACS_peak_15247_lociStitched	chr3	171801950	171826812	5	12084	17831.0264	7836.5024	14	FNDC3B		FNDC3B	FNDC3B	0.04829999999999998	14	1
6_MACS_peak_7591_lociStitched	chr16	11766185	11785662	6	14565	14539.5805	4750.4403	15	SNN,TXNDC11		SNN	SNN	0.2672	15	1
4_MACS_peak_1852_lociStitched	chr1	204474922	204491152	4	10517	14970.552	5312.079	16	MDM4	PIK3C2B	MDM4	MDM4	0.1785	16	1
3_MACS_peak_9796_lociStitched	chr19	2082083	2098308	3	13008	15454.3125	5865.3375	17	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	0.3413	17	1
6_MACS_peak_3518_lociStitched	chr11	10319725	10345038	6	14018	14099.341	4809.47	18	ADM	SBF2	ADM	ADM	0.5676	18	1
7_MACS_peak_7600_lociStitched	chr16	11813428	11837508	7	15141	13959.176	4979.744	19	TXNDC11		TXNDC11	TXNDC11	0.346	19	1
3_MACS_peak_15005_lociStitched	chr3	141097472	141110734	3	10526	13089.594	4208.0326	20	ZBTB38		ZBTB38	ZBTB38	0.16629999999999998	20	1
3_MACS_peak_8553_lociStitched	chr17	34409477	34420384	3	6850	11462.1663	2647.1289	21	CCL3	CCL18,CCL4	CCL3	CCL3	0.7238	21	1
4_MACS_peak_2148_lociStitched	chr1	228744130	228777740	4	22316	23332.062	14532.964	22		DUSP5P	DUSP5P	DUSP5P	0.09849999999999998	22	1
5_MACS_peak_16194_lociStitched	chr4	90209938	90229761	5	15905	13721.4806	5037.0243	23	GPRIN3		GPRIN3	GPRIN3	0.14620000000000002	23	1
6_MACS_peak_12762_lociStitched	chr20	30293191	30312257	6	12799	13513.9808	5151.6332	24	BCL2L1	TPX2	BCL2L1	BCL2L1	0.2266	24	1
5_MACS_peak_10226_lociStitched	chr19	39888106	39903849	5	12270	11799.3785	3531.1549	25	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	ZFP36	0.5585	25	1
2_MACS_peak_171_lociStitched	chr1	17221236	17232649	2	6802	13046.2003	4880.1988	26		CROCC	CROCC	NONE	NONE	26	1
5_MACS_peak_2444_lociStitched	chr10	11283939	11304292	5	9954	12570.0128	4434.9187	27	CELF2		CELF2	CELF2	0.08750000000000002	27	1
3_MACS_peak_1280_lociStitched	chr1	156118713	156131906	3	10481	13179.807	5050.2804	28	SEMA4A	LMNA,SLC25A44	SEMA4A	SEMA4A	0.2607	28	1
7_MACS_peak_13543_lociStitched	chr22	23223272	23240278	7	9889	11281.7804	3316.17	29	IGLL5		IGLL5	IGLL5	0.41290000000000004	29	1
3_MACS_peak_2216_lociStitched	chr1	234734936	234749677	3	9473	12972.08	5013.4141	30	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	0.5237	30	1
3_MACS_peak_18355_lociStitched	chr6	315291	330248	3	10657	14361.7114	6474.8853	31	DUSP22		DUSP22	DUSP22	0.24029999999999996	31	1
4_MACS_peak_15844_lociStitched	chr4	40193781	40207882	4	11593	11733.4421	3946.8699	32	RHOH		RHOH	RHOH	0.17860000000000004	32	1
4_MACS_peak_10056_lociStitched	chr19	16253414	16273060	4	9274	12068.5378	4481.2526	33	HSH2D,CIB3	RAB8A,FAM32A,AP1M1	HSH2D	HSH2D	0.28569999999999995	33	1
3_MACS_peak_18352_lociStitched	chr6	290556	307303	3	8809	13352.3831	5861.45	34	DUSP22		DUSP22	DUSP22	0.24029999999999996	34	1
3_MACS_peak_10812_lociStitched	chr2	37538759	37551713	3	11633	10343.769	2962.5798	35	PRKD3	QPCT	PRKD3	QPCT	0.2535	35	1
4_MACS_peak_21142_lociStitched	chr7	150063993	150081406	4	11232	12587.8577	5298.7759	36	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	0.32249999999999995	36	1
2_MACS_peak_20005_lociStitched	chr7	20255954	20261186	2	4890	8664.7152	1416.8256	37	MACC1		MACC1	MACC1	0.10529999999999998	37	1
5_MACS_peak_9802_lociStitched	chr19	2255158	2274702	5	11351	12066.4656	4819.5504	38	OAZ1,JSRP1,C19orf35	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,LINGO3	OAZ1	OAZ1	0.26780000000000004	38	1
