#32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48_ROSE/32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam
#Using cutoff of 2419.1208 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isStretch
9_MACS_peak_18445_lociStitched	chr6	7878048	7918942	9	27985	29705.4016	11920.601	1	1
9_MACS_peak_11359_lociStitched	chr2	99061661	99105607	9	26026	33218.7814	11522.6412	2	1
4_MACS_peak_2148_lociStitched	chr1	228744130	228777740	4	22316	23332.062	14532.964	3	1
7_MACS_peak_19347_lociStitched	chr6	106531326	106560149	7	20671	19383.4675	6891.5793	4	1
10_MACS_peak_4695_lociStitched	chr12	7046079	7080746	10	16309	18179.3748	6867.5327	5	1
8_MACS_peak_7918_lociStitched	chr16	56964034	56986023	8	16219	15638.5768	5145.426	6	1
3_MACS_peak_2438_lociStitched	chr10	11204678	11223174	3	16165	16962.6816	5090.0992	7	1
5_MACS_peak_16194_lociStitched	chr4	90209938	90229761	5	15905	13721.4806	5037.0243	8	1
6_MACS_peak_5129_lociStitched	chr12	53583686	53603470	6	15554	17940.1312	5401.032	9	1
7_MACS_peak_7600_lociStitched	chr16	11813428	11837508	7	15141	13959.176	4979.744	10	1
1_MACS_peak_3985_lociStitched	chr11	65263965	65278801	1	14837	17123.7112	3667.4592	11	1
6_MACS_peak_7591_lociStitched	chr16	11766185	11785662	6	14565	14539.5805	4750.4403	12	1
5_MACS_peak_8567_lociStitched	chr17	34622718	34640668	5	14455	17628.695	6740.225	13	1
4_MACS_peak_8559_lociStitched	chr17	34522812	34539657	4	14107	17235.804	6156.8475	14	1
6_MACS_peak_3518_lociStitched	chr11	10319725	10345038	6	14018	14099.341	4809.47	15	1
2_MACS_peak_3978_lociStitched	chr11	65183632	65199513	2	13624	17111.7775	5113.682	16	1
3_MACS_peak_9796_lociStitched	chr19	2082083	2098308	3	13008	15454.3125	5865.3375	17	1
6_MACS_peak_12762_lociStitched	chr20	30293191	30312257	6	12799	13513.9808	5151.6332	18	1
4_MACS_peak_1142_lociStitched	chr1	150532183	150552742	4	12603	18346.8516	7179.2028	19	1
5_MACS_peak_10226_lociStitched	chr19	39888106	39903849	5	12270	11799.3785	3531.1549	20	1
5_MACS_peak_15247_lociStitched	chr3	171801950	171826812	5	12084	17831.0264	7836.5024	21	1
4_MACS_peak_10885_lociStitched	chr2	43444646	43457341	4	11769	9200.0665	3042.9915	22	1
5_MACS_peak_17844_lociStitched	chr5	131745876	131764069	5	11750	11929.1501	4695.6133	23	1
3_MACS_peak_10812_lociStitched	chr2	37538759	37551713	3	11633	10343.769	2962.5798	24	1
4_MACS_peak_15844_lociStitched	chr4	40193781	40207882	4	11593	11733.4421	3946.8699	25	1
3_MACS_peak_4780_lociStitched	chr12	12866858	12880040	3	11562	10251.6414	3225.6354	26	1
5_MACS_peak_9802_lociStitched	chr19	2255158	2274702	5	11351	12066.4656	4819.5504	27	1
4_MACS_peak_21142_lociStitched	chr7	150063993	150081406	4	11232	12587.8577	5298.7759	28	1
3_MACS_peak_18355_lociStitched	chr6	315291	330248	3	10657	14361.7114	6474.8853	29	1
5_MACS_peak_17509_lociStitched	chr5	88113950	88126623	5	10633	8781.1217	2881.8402	30	1
3_MACS_peak_15005_lociStitched	chr3	141097472	141110734	3	10526	13089.594	4208.0326	31	1
4_MACS_peak_1852_lociStitched	chr1	204474922	204491152	4	10517	14970.552	5312.079	32	1
3_MACS_peak_1280_lociStitched	chr1	156118713	156131906	3	10481	13179.807	5050.2804	33	1
6_MACS_peak_13963_lociStitched	chr3	5228620	5247785	6	10340	10197.6965	3959.489	34	1
5_MACS_peak_9103_lociStitched	chr17	75131586	75144850	5	10241	9930.7568	3491.0848	35	1
4_MACS_peak_12165_lociStitched	chr2	201980069	201994562	4	9954	11098.7394	3859.4859	36	1
5_MACS_peak_2444_lociStitched	chr10	11283939	11304292	5	9954	12570.0128	4434.9187	37	1
7_MACS_peak_13543_lociStitched	chr22	23223272	23240278	7	9889	11281.7804	3316.17	38	1
3_MACS_peak_1826_lociStitched	chr1	203267598	203280341	3	9815	9874.5507	4849.9858	39	1
3_MACS_peak_10600_lociStitched	chr2	11883759	11895202	3	9733	9778.0435	2937.4181	40	1
3_MACS_peak_8872_lociStitched	chr17	56405273	56422714	3	9662	12430.2007	5322.9932	41	1
4_MACS_peak_12096_lociStitched	chr2	197033652	197053385	4	9613	10961.6815	4207.0756	42	1
3_MACS_peak_2216_lociStitched	chr1	234734936	234749677	3	9473	12972.08	5013.4141	43	1
