#RPMI8226 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/RPMI8226.H3K27ac_ROSE/RPMI8226_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by RPMI8226.jin.bam
#Using cutoff of 10610.632 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226.jin.bam	enhancerRank	isSuper
2_MACS_peak_14570_lociStitched	chr22	23264777	23281671	2	16783	209225.4324	1	1
6_MACS_peak_3727_lociStitched	chr11	65183970	65196342	6	11741	80949.996	2	1
7_MACS_peak_18363_lociStitched	chr6	7904623	7921709	7	16338	66676.4064	3	1
1_MACS_peak_18258_lociStitched	chr6	289996	300256	1	10261	65810.718	4	1
4_MACS_peak_18260_lociStitched	chr6	316884	330483	4	13554	50021.2017	5	1
4_MACS_peak_6463_lociStitched	chr14	106037554	106049550	4	11682	49536.2824	6	1
4_MACS_peak_6486_lociStitched	chr14	106157782	106170301	4	12078	41265.1278	7	1
3_MACS_peak_2216_lociStitched	chr1	234742293	234750136	3	7535	39587.5425	8	1
2_MACS_peak_7345_lociStitched	chr15	100649855	100658852	2	8716	38492.7648	9	1
4_MACS_peak_12812_lociStitched	chr2	134876248	134889800	4	13321	38226.1264	10	1
3_MACS_peak_8756_lociStitched	chr17	21197477	21205917	3	8234	37749.588	11	1
6_MACS_peak_12648_lociStitched	chr2	112455663	112466045	6	9636	36247.7148	12	1
2_MACS_peak_22611_lociStitched	chr9	140061419	140069842	2	8323	33522.6977	13	1
1_MACS_peak_5881_lociStitched	chr13	114562592	114568144	1	5553	29395.064	14	1
2_MACS_peak_21507_lociStitched	chr8	128806012	128810939	2	4910	29207.7487	15	1
2_MACS_peak_12457_lociStitched	chr2	97188182	97195914	2	7733	27984.4276	16	1
2_MACS_peak_18985_lociStitched	chr6	74229357	74234214	2	4790	27334.7103	17	1
2_MACS_peak_64_lociStitched	chr1	1707647	1714737	2	6799	27259.632	18	1
3_MACS_peak_4431_lociStitched	chr12	4378085	4385433	3	7160	27118.5288	19	1
4_MACS_peak_13626_lociStitched	chr20	25274126	25283368	4	8773	26892.3716	20	1
1_MACS_peak_1485_lociStitched	chr1	154971115	154977623	1	6509	26473.2424	21	1
1_MACS_peak_1883_lociStitched	chr1	203255118	203261293	1	6176	26307.3525	22	1
5_MACS_peak_7097_lociStitched	chr15	75334442	75341626	5	6755	25900.4752	23	1
6_MACS_peak_1180_lociStitched	chr1	118169962	118181498	6	10559	25807.1856	24	1
3_MACS_peak_18487_lociStitched	chr6	25403417	25413755	3	9934	25759.1946	25	1
6_MACS_peak_17443_lociStitched	chr5	63456742	63463916	6	6591	24934.6718	26	1
3_MACS_peak_19921_lociStitched	chr7	55598885	55605906	3	6785	24903.487	27	1
