REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
2_MACS_peak_14570_lociStitched	chr22	23264777	23281671	2	16783	209225.4324	1	1		IGLL5	IGLL5	1	1
6_MACS_peak_3727_lociStitched	chr11	65183970	65196342	6	11741	80949.996	2	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	2	1
7_MACS_peak_18363_lociStitched	chr6	7904623	7921709	7	16338	66676.4064	3	1	MUTED-TXNDC5,TXNDC5		TXNDC5	3	1
1_MACS_peak_18258_lociStitched	chr6	289996	300256	1	10261	65810.718	4	1	DUSP22		DUSP22	4	1
4_MACS_peak_18260_lociStitched	chr6	316884	330483	4	13554	50021.2017	5	1	DUSP22		DUSP22	5	1
4_MACS_peak_6463_lociStitched	chr14	106037554	106049550	4	11682	49536.2824	6	1		TMEM121	TMEM121	6	1
4_MACS_peak_6486_lociStitched	chr14	106157782	106170301	4	12078	41265.1278	7	1			TMEM121	7	1
3_MACS_peak_2216_lociStitched	chr1	234742293	234750136	3	7535	39587.5425	8	1	IRF2BP2	NCRNA00184	IRF2BP2	8	1
2_MACS_peak_7345_lociStitched	chr15	100649855	100658852	2	8716	38492.7648	9	1	ADAMTS17		ADAMTS17	9	1
4_MACS_peak_12812_lociStitched	chr2	134876248	134889800	4	13321	38226.1264	10	1	MIR3679		MIR3679	10	1
3_MACS_peak_8756_lociStitched	chr17	21197477	21205917	3	8234	37749.588	11	1	MAP2K3	C17orf103	MAP2K3	11	1
6_MACS_peak_12648_lociStitched	chr2	112455663	112466045	6	9636	36247.7148	12	1			ANAPC1	12	1
2_MACS_peak_22611_lociStitched	chr9	140061419	140069842	2	8323	33522.6977	13	1	GRIN1,LRRC26,MIR3621,ANAPC2	SSNA1,NDOR1,C9orf169,TPRN,TMEM203,RNF208	LRRC26	13	1
1_MACS_peak_5881_lociStitched	chr13	114562592	114568144	1	5553	29395.064	14	1	GAS6	FLJ44054,GAS6	GAS6	14	1
2_MACS_peak_21507_lociStitched	chr8	128806012	128810939	2	4910	29207.7487	15	1	PVT1,MIR1204		MIR1204	15	1
2_MACS_peak_12457_lociStitched	chr2	97188182	97195914	2	7733	27984.4276	16	1		ARID5A,NEURL3	ARID5A	16	1
2_MACS_peak_18985_lociStitched	chr6	74229357	74234214	2	4790	27334.7103	17	1	EEF1A1		EEF1A1	17	1
2_MACS_peak_64_lociStitched	chr1	1707647	1714737	2	6799	27259.632	18	1	NADK	SLC35E2,NADK	NADK	18	1
3_MACS_peak_4431_lociStitched	chr12	4378085	4385433	3	7160	27118.5288	19	1	CCND2	C12orf5	CCND2	19	1
4_MACS_peak_13626_lociStitched	chr20	25274126	25283368	4	8773	26892.3716	20	1	PYGB,ABHD12		PYGB	20	1
1_MACS_peak_1485_lociStitched	chr1	154971115	154977623	1	6509	26473.2424	21	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	21	1
1_MACS_peak_1883_lociStitched	chr1	203255118	203261293	1	6176	26307.3525	22	1		BTG2,LOC730227	LOC730227	22	1
5_MACS_peak_7097_lociStitched	chr15	75334442	75341626	5	6755	25900.4752	23	1	PPCDC	SCAMP5	PPCDC	23	1
6_MACS_peak_1180_lociStitched	chr1	118169962	118181498	6	10559	25807.1856	24	1	FAM46C		FAM46C	24	1
3_MACS_peak_18487_lociStitched	chr6	25403417	25413755	3	9934	25759.1946	25	1	LRRC16A		LRRC16A	25	1
6_MACS_peak_17443_lociStitched	chr5	63456742	63463916	6	6591	24934.6718	26	1	RNF180		RNF180	26	1
3_MACS_peak_19921_lociStitched	chr7	55598885	55605906	3	6785	24903.487	27	1	VOPP1		VOPP1	27	1
3_MACS_peak_20704_lociStitched	chr7	150064276	150068360	3	4027	24655.9248	28	1	REPIN1	LRRC61,C7orf29,ZNF775,LOC728743,ACTR3C,RARRES2	REPIN1	28	1
5_MACS_peak_9263_lociStitched	chr17	56408151	56417271	5	8946	24369.552	29	1	MIR142	MPO,BZRAP1,SUPT4H1	MIR142	29	1
3_MACS_peak_487_lociStitched	chr1	27018779	27024772	3	5734	24311.2038	30	1	ARID1A		ARID1A	30	1
2_MACS_peak_20477_lociStitched	chr7	113722985	113728266	2	5265	24297.881	31	1	FOXP2		FOXP2	31	1
6_MACS_peak_6537_lociStitched	chr15	21925084	21936145	6	10492	24245.712	32	1	LOC646214		LOC646214	32	1
3_MACS_peak_19543_lociStitched	chr7	5459326	5466458	3	6725	24010.5912	33	1	TNRC18		TNRC18	33	1
4_MACS_peak_12554_lociStitched	chr2	107120221	107128052	4	7536	23886.1162	34	1		RGPD3	RGPD3	34	1
1_MACS_peak_18696_lociStitched	chr6	32935685	32939783	1	4099	23795.4468	35	1	BRD2	BRD2,HLA-DMB,HLA-DMA,HLA-DOA	BRD2	35	1
3_MACS_peak_19941_lociStitched	chr7	55635993	55642894	3	6868	23734.6093	36	1	VOPP1		VOPP1	36	1
9_MACS_peak_19801_lociStitched	chr7	44668178	44680011	9	10977	23647.0672	37	1	OGDH	TMED4	OGDH	37	1
2_MACS_peak_14648_lociStitched	chr22	29194015	29199630	2	5548	23403.8815	38	1	XBP1	CCDC117	XBP1	38	1
1_MACS_peak_17894_lociStitched	chr5	138723227	138730368	1	7142	23035.4378	39	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	39	1
1_MACS_peak_14360_lociStitched	chr21	43480746	43486333	1	5588	22803.8992	40	1	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	40	1
3_MACS_peak_10148_lociStitched	chr18	60822224	60830562	3	8189	22533.445	41	1	BCL2		BCL2	41	1
2_MACS_peak_8876_lociStitched	chr17	32711959	32719375	2	7332	22506.0768	42	1		CCL13,CCL1	CCL1	42	1
2_MACS_peak_1888_lociStitched	chr1	203289022	203297387	2	8224	22502.6865	43	1		BTG2,LOC730227,FMOD	BTG2	43	1
3_MACS_peak_11847_lociStitched	chr2	27383792	27391140	3	6990	22465.0404	44	1		ABHD1,TCF23,C2orf28,CAD,CGREF1,PREB,C2orf53,SLC5A6	TCF23	44	1
9_MACS_peak_6454_lociStitched	chr14	106025724	106035562	9	8346	22232.8962	45	1		TMEM121	TMEM121	45	1
1_MACS_peak_20422_lociStitched	chr7	104652202	104656330	1	4129	22046.8224	46	1	MLL5,LOC100216545		LOC100216545	46	1
2_MACS_peak_8764_lociStitched	chr17	21248368	21253878	2	5260	21793.703	47	1		KCNJ12	KCNJ12	47	1
2_MACS_peak_811_lociStitched	chr1	45272196	45278131	2	5919	21764.2385	48	1	BTBD19,TCTEX1D4	RPS8,SNORD55,SNORD46,SNORD38A,SNORD38B,PLK3,BEST4,PTCH2	BTBD19	48	1
1_MACS_peak_12183_lociStitched	chr2	70312761	70316981	1	4221	21624.124	49	1	PCBP1,LOC400960	LOC100133985	PCBP1	49	1
1_MACS_peak_6994_lociStitched	chr15	69109489	69113986	1	4498	21513.1983	50	1	ANP32A	MIR548H4,MIR4312,C15orf28	ANP32A	50	1
2_MACS_peak_74_lociStitched	chr1	1837421	1841432	2	3938	21394.2729	51	1		CALML6,GNB1,TMEM52	CALML6	51	1
6_MACS_peak_16021_lociStitched	chr3	141084664	141093378	6	7402	21255.1888	52	1	ZBTB38		ZBTB38	52	1
5_MACS_peak_6479_lociStitched	chr14	106146025	106154701	5	7727	20943.864	53	1			TMEM121	53	1
4_MACS_peak_18395_lociStitched	chr6	11827888	11835980	4	7984	20799.6768	54	1		C6orf105	C6orf105	54	1
1_MACS_peak_14763_lociStitched	chr22	37771790	37776112	1	4323	20673.8548	55	1	ELFN2		ELFN2	55	1
1_MACS_peak_16200_lociStitched	chr3	176913172	176917106	1	3935	20669.236	56	1	TBL1XR1		TBL1XR1	56	1
