#MM7_jia_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM7_jia_ROSE/MM7_jia_peaks_3KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM7_jia.bam
#Using cutoff of 10097.264 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM7_jia.bam	enhancerRank	isSuper
16_MACS_peak_23204_lociStitched	chr3	141079294	141147455	16	58571	109534.727	1	1
19_MACS_peak_17365_lociStitched	chr2	99060714	99138205	19	64459	88719.4459	2	1
10_MACS_peak_16519_lociStitched	chr2	46761640	46806801	10	33580	53524.8172	3	1
3_MACS_peak_1837_lociStitched	chr1	150532142	150553127	3	20280	53039.5875	4	1
2_MACS_peak_3286_lociStitched	chr1	234729560	234749457	2	16400	49223.1883	5	1
6_MACS_peak_9903_lociStitched	chr15	45001905	45030003	6	21179	49000.1022	6	1
6_MACS_peak_2093_lociStitched	chr1	156449219	156479635	6	27516	48410.1056	7	1
10_MACS_peak_1582_lociStitched	chr1	118147412	118188368	10	37913	47422.9524	8	1
3_MACS_peak_17987_lociStitched	chr2	157188012	157200611	3	9083	46282.4265	9	1
22_MACS_peak_31376_lociStitched	chr8	27206582	27267140	22	46362	44934.036	10	1
6_MACS_peak_16280_lociStitched	chr2	33699712	33728787	6	24942	44903.43	11	1
3_MACS_peak_18756_lociStitched	chr2	201979411	202001078	3	20376	43888.6752	12	1
4_MACS_peak_17286_lociStitched	chr2	88896378	88928917	4	30294	42853.863	13	1
2_MACS_peak_5341_lociStitched	chr11	65183382	65199940	2	16550	42719.64	14	1
5_MACS_peak_18955_lociStitched	chr2	219742177	219763076	5	17551	39170.9957	15	1
7_MACS_peak_10460_lociStitched	chr15	75063566	75093343	7	24039	38793.4756	16	1
8_MACS_peak_6312_lociStitched	chr12	7052082	7081235	8	23586	38041.7497	17	1
8_MACS_peak_9626_lociStitched	chr15	31630843	31660627	8	24580	37605.2784	18	1
10_MACS_peak_23554_lociStitched	chr3	171801552	171833971	10	28438	37537.9601	19	1
5_MACS_peak_10732_lociStitched	chr15	89164382	89185723	5	19261	37532.4167	20	1
5_MACS_peak_2015_lociStitched	chr1	154925762	154949371	5	16261	37165.2878	21	1
11_MACS_peak_1592_lociStitched	chr1	118192668	118230769	11	26557	36134.9884	22	1
9_MACS_peak_32770_lociStitched	chr9	20351193	20385035	9	27338	35493.4896	23	1
5_MACS_peak_16863_lociStitched	chr2	64430457	64456628	5	19697	35435.534	24	1
10_MACS_peak_23745_lociStitched	chr3	183224658	183260736	10	27650	35356.44	25	1
3_MACS_peak_27470_lociStitched	chr6	7894848	7921531	3	25350	34965.4032	26	1
8_MACS_peak_33877_lociStitched	chr9	130526565	130549662	8	16893	34885.7088	27	1
4_MACS_peak_33887_lociStitched	chr9	130660763	130680915	4	14341	34302.7344	28	1
2_MACS_peak_6410_lociStitched	chr12	12866199	12879956	2	13757	34117.36	29	1
6_MACS_peak_16766_lociStitched	chr2	60756661	60783409	6	21014	34047.5292	30	1
7_MACS_peak_21372_lociStitched	chr22	50962707	50987467	7	16356	33990.528	31	1
4_MACS_peak_2965_lociStitched	chr1	207988826	208006303	4	11448	33166.1029	32	1
8_MACS_peak_16903_lociStitched	chr2	64863307	64889185	8	17552	32748.609	33	1
5_MACS_peak_17266_lociStitched	chr2	87794206	87822790	5	25525	32694.3792	34	1
1_MACS_peak_17046_lociStitched	chr2	70309810	70318127	1	8318	32166.8292	35	1
11_MACS_peak_28636_lociStitched	chr6	90046944	90085837	11	26751	31970.046	36	1
10_MACS_peak_7568_lociStitched	chr12	109007042	109035268	10	22723	31841.7506	37	1
14_MACS_peak_26283_lociStitched	chr5	95258952	95298839	14	28594	31654.3232	38	1
13_MACS_peak_22691_lociStitched	chr3	112039051	112072578	13	29279	31542.2016	39	1
3_MACS_peak_15989_lociStitched	chr2	13786863	13807499	3	20502	31368.7836	40	1
4_MACS_peak_33337_lociStitched	chr9	91918741	91936235	4	13569	31354.4962	41	1
3_MACS_peak_15318_lociStitched	chr19	39888351	39902998	3	13003	31189.3218	42	1
7_MACS_peak_11428_lociStitched	chr16	22195164	22219848	7	16071	30956.2044	43	1
5_MACS_peak_16063_lociStitched	chr2	20403550	20432309	5	24506	30869.9106	44	1
8_MACS_peak_16921_lociStitched	chr2	65140061	65167849	8	23214	30486.2148	45	1
11_MACS_peak_20711_lociStitched	chr22	23260287	23286273	11	21029	30190.5348	46	1
2_MACS_peak_2822_lociStitched	chr1	203254917	203263128	2	7998	30149.9709	47	1
13_MACS_peak_3047_lociStitched	chr1	218517722	218551452	13	25793	29915.137	48	1
6_MACS_peak_14829_lociStitched	chr19	12885872	12907571	6	14811	29421.6741	49	1
1_MACS_peak_7934_lociStitched	chr12	125395740	125406980	1	11241	29157.684	50	1
6_MACS_peak_16335_lociStitched	chr2	37528472	37553868	6	18225	29154.608	51	1
11_MACS_peak_16658_lociStitched	chr2	54776852	54807877	11	19849	28713.6375	52	1
11_MACS_peak_26803_lociStitched	chr5	139027271	139058142	11	25337	28682.2461	53	1
2_MACS_peak_10855_lociStitched	chr15	93439304	93452118	2	10190	27988.3388	54	1
9_MACS_peak_20544_lociStitched	chr21	45552815	45581242	9	18451	27844.2465	55	1
14_MACS_peak_12049_lociStitched	chr16	81841676	81875745	14	21547	27752.6074	56	1
6_MACS_peak_17708_lociStitched	chr2	127412844	127434808	6	17469	27584.5876	57	1
15_MACS_peak_30089_lociStitched	chr7	55569361	55603846	15	23529	27522.4785	58	1
6_MACS_peak_10032_lociStitched	chr15	52963703	52976893	6	10181	27402.225	59	1
5_MACS_peak_1981_lociStitched	chr1	154370636	154394717	5	19067	27348.7917	60	1
7_MACS_peak_14869_lociStitched	chr19	13943828	13962096	7	13853	27323.4476	61	1
7_MACS_peak_30952_lociStitched	chr7	137660101	137688051	7	24948	27242.865	62	1
1_MACS_peak_27952_lociStitched	chr6	32935118	32943073	1	7956	27232.3515	63	1
6_MACS_peak_10200_lociStitched	chr15	63788881	63810198	6	16634	27061.9315	64	1
6_MACS_peak_774_lociStitched	chr1	40846633	40870729	6	20414	27009.2064	65	1
6_MACS_peak_7876_lociStitched	chr12	123366713	123388523	6	16545	26926.626	66	1
4_MACS_peak_6801_lociStitched	chr12	48195512	48214588	4	18044	26771.2584	67	1
1_MACS_peak_10270_lociStitched	chr15	65182947	65190753	1	7807	26752.7232	68	1
6_MACS_peak_15973_lociStitched	chr2	13670586	13694320	6	19174	26605.814	69	1
7_MACS_peak_23035_lociStitched	chr3	129023105	129043730	7	17257	26558.8125	70	1
2_MACS_peak_19860_lociStitched	chr20	45976150	45990187	2	12912	26448.5154	71	1
5_MACS_peak_5923_lociStitched	chr11	111230450	111251583	5	19762	26382.4372	72	1
7_MACS_peak_20843_lociStitched	chr22	29181187	29199292	7	15753	26188.8825	73	1
7_MACS_peak_26648_lociStitched	chr5	131745620	131774234	7	20835	26067.354	74	1
7_MACS_peak_5352_lociStitched	chr11	65254462	65278389	7	18670	26042.1468	75	1
9_MACS_peak_21012_lociStitched	chr22	37614458	37642319	9	19925	25972.0242	76	1
7_MACS_peak_34023_lociStitched	chr9	134593854	134615524	7	14146	25850.143	77	1
2_MACS_peak_6544_lociStitched	chr12	26266173	26280478	2	13182	25847.7045	78	1
1_MACS_peak_10516_lociStitched	chr15	75742034	75749032	1	6999	25782.0316	79	1
8_MACS_peak_23856_lociStitched	chr3	186703533	186725185	8	15564	25759.3844	80	1
13_MACS_peak_16840_lociStitched	chr2	64340944	64372524	13	21209	25699.804	81	1
6_MACS_peak_32935_lociStitched	chr9	33152681	33173126	6	16522	25568.517	82	1
5_MACS_peak_33631_lociStitched	chr9	112904508	112927532	5	22321	25556.64	83	1
6_MACS_peak_23453_lociStitched	chr3	160108214	160129426	6	11248	25492.5816	84	1
5_MACS_peak_18309_lociStitched	chr2	174814495	174831542	5	14832	25488.6744	85	1
4_MACS_peak_32793_lociStitched	chr9	20457399	20481306	4	20831	25449.0015	86	1
13_MACS_peak_25888_lociStitched	chr5	56108999	56138498	13	20618	25230.4947	87	1
3_MACS_peak_13034_lociStitched	chr17	43296623	43313263	3	13031	25144.704	88	1
5_MACS_peak_17717_lociStitched	chr2	127830839	127855730	5	20051	25100.0844	89	1
7_MACS_peak_3729_lociStitched	chr10	43889323	43905761	7	11613	25082.7442	90	1
5_MACS_peak_9693_lociStitched	chr15	37319963	37341390	5	18169	24923.8864	91	1
5_MACS_peak_24446_lociStitched	chr4	40194196	40210335	5	15328	24787.8901	92	1
10_MACS_peak_17543_lociStitched	chr2	112182120	112212904	10	24860	24768.8064	93	1
3_MACS_peak_26997_lociStitched	chr5	150455446	150467445	3	11226	24725.1394	94	1
7_MACS_peak_11754_lociStitched	chr16	56963489	56981261	7	16326	24457.8264	95	1
18_MACS_peak_23564_lociStitched	chr3	171840053	171879533	18	28591	24394.692	96	1
10_MACS_peak_27309_lociStitched	chr5	180221709	180249016	10	17784	24357.844	97	1
3_MACS_peak_22603_lociStitched	chr3	104228379	104246546	3	12886	24338.3299	98	1
3_MACS_peak_12286_lociStitched	chr17	2294683	2306095	3	8479	24333.8076	99	1
5_MACS_peak_9738_lociStitched	chr15	40212545	40234708	5	13388	24142.1559	100	1
6_MACS_peak_18274_lociStitched	chr2	173410384	173429932	6	17584	23950.2096	101	1
8_MACS_peak_4224_lociStitched	chr10	92955336	92982304	8	18972	23912.5256	102	1
10_MACS_peak_23582_lociStitched	chr3	171888096	171914438	10	24037	23881.6572	103	1
3_MACS_peak_23939_lociStitched	chr3	192604127	192617874	3	13546	23855.1691	104	1
6_MACS_peak_18772_lociStitched	chr2	202083192	202105220	6	17657	23834.296	105	1
9_MACS_peak_25667_lociStitched	chr5	26860410	26890746	9	24956	23258.6112	106	1
3_MACS_peak_3587_lociStitched	chr10	22595598	22616339	3	18310	23217.4754	107	1
6_MACS_peak_21426_lociStitched	chr3	5223138	5243153	6	17970	23207.3925	108	1
5_MACS_peak_32502_lociStitched	chr8	145007441	145027759	5	12458	23184.8698	109	1
4_MACS_peak_28729_lociStitched	chr6	106531542	106555476	4	21157	23146.5714	110	1
