REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM7_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
16_MACS_peak_23204_lociStitched	chr3	141079294	141147455	16	58571	109534.727	1	1	ZBTB38		ZBTB38	1	1
19_MACS_peak_17365_lociStitched	chr2	99060714	99138205	19	64459	88719.4459	2	1	INPP4A		INPP4A	2	1
22_MACS_peak_31376_lociStitched	chr8	27206582	27267140	22	46362	44934.036	3	1	PTK2B	TRIM35	PTK2B	3	1
10_MACS_peak_1582_lociStitched	chr1	118147412	118188368	10	37913	47422.9524	4	1	FAM46C		FAM46C	4	1
10_MACS_peak_16519_lociStitched	chr2	46761640	46806801	10	33580	53524.8172	5	1	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	5	1
6_MACS_peak_2093_lociStitched	chr1	156449219	156479635	6	27516	48410.1056	6	1	MEF2D		MEF2D	6	1
4_MACS_peak_17286_lociStitched	chr2	88896378	88928917	4	30294	42853.863	7	1	EIF2AK3		EIF2AK3	7	1
3_MACS_peak_1837_lociStitched	chr1	150532142	150553127	3	20280	53039.5875	8	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	8	1
6_MACS_peak_16280_lociStitched	chr2	33699712	33728787	6	24942	44903.43	9	1	RASGRP3	RASGRP3	RASGRP3	9	1
10_MACS_peak_23554_lociStitched	chr3	171801552	171833971	10	28438	37537.9601	10	1	FNDC3B		FNDC3B	10	1
6_MACS_peak_9903_lociStitched	chr15	45001905	45030003	6	21179	49000.1022	11	1	B2M,TRIM69	SPG11,PATL2	B2M	11	1
13_MACS_peak_22691_lociStitched	chr3	112039051	112072578	13	29279	31542.2016	12	1	CD200	SLC9A10	CD200	12	1
10_MACS_peak_23745_lociStitched	chr3	183224658	183260736	10	27650	35356.44	13	1	KLHL6		KLHL6	13	1
9_MACS_peak_32770_lociStitched	chr9	20351193	20385035	9	27338	35493.4896	14	1	MLLT3		MLLT3	14	1
14_MACS_peak_26283_lociStitched	chr5	95258952	95298839	14	28594	31654.3232	15	1	ELL2		ELL2	15	1
