REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM7_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
16_MACS_peak_23204_lociStitched	chr3	141079294	141147455	16	58571	109534.727	1	1	ZBTB38		ZBTB38	1	1
19_MACS_peak_17365_lociStitched	chr2	99060714	99138205	19	64459	88719.4459	2	1	INPP4A		INPP4A	2	1
10_MACS_peak_16519_lociStitched	chr2	46761640	46806801	10	33580	53524.8172	3	1	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	3	1
3_MACS_peak_1837_lociStitched	chr1	150532142	150553127	3	20280	53039.5875	4	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	4	1
2_MACS_peak_3286_lociStitched	chr1	234729560	234749457	2	16400	49223.1883	5	1	IRF2BP2	NCRNA00184	IRF2BP2	5	1
6_MACS_peak_9903_lociStitched	chr15	45001905	45030003	6	21179	49000.1022	6	1	B2M,TRIM69	SPG11,PATL2	B2M	6	1
6_MACS_peak_2093_lociStitched	chr1	156449219	156479635	6	27516	48410.1056	7	1	MEF2D		MEF2D	7	1
10_MACS_peak_1582_lociStitched	chr1	118147412	118188368	10	37913	47422.9524	8	1	FAM46C		FAM46C	8	1
3_MACS_peak_17987_lociStitched	chr2	157188012	157200611	3	9083	46282.4265	9	1	NR4A2		NR4A2	9	1
22_MACS_peak_31376_lociStitched	chr8	27206582	27267140	22	46362	44934.036	10	1	PTK2B	TRIM35	PTK2B	10	1
6_MACS_peak_16280_lociStitched	chr2	33699712	33728787	6	24942	44903.43	11	1	RASGRP3	RASGRP3	RASGRP3	11	1
3_MACS_peak_18756_lociStitched	chr2	201979411	202001078	3	20376	43888.6752	12	1	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	12	1
4_MACS_peak_17286_lociStitched	chr2	88896378	88928917	4	30294	42853.863	13	1	EIF2AK3		EIF2AK3	13	1
2_MACS_peak_5341_lociStitched	chr11	65183382	65199940	2	16550	42719.64	14	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	14	1
