REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM7_jia.bam
19_MACS_peak_17365_lociStitched	chr2	99060714	99138205	19	64459	88719.4459
16_MACS_peak_23204_lociStitched	chr3	141079294	141147455	16	58571	109534.727
22_MACS_peak_31376_lociStitched	chr8	27206582	27267140	22	46362	44934.036
10_MACS_peak_16519_lociStitched	chr2	46761640	46806801	10	33580	53524.817200000005
10_MACS_peak_1582_lociStitched	chr1	118147412	118188368	10	37913	47422.952399999995
14_MACS_peak_26283_lociStitched	chr5	95258952	95298839	14	28594	31654.3232
18_MACS_peak_23564_lociStitched	chr3	171840053	171879533	18	28591	24394.692
11_MACS_peak_28636_lociStitched	chr6	90046944	90085837	11	26751	31970.046
11_MACS_peak_1592_lociStitched	chr1	118192668	118230769	11	26557	36134.9884
12_MACS_peak_3236_lociStitched	chr1	230276759	230313621	12	17180	21457.370199999998
10_MACS_peak_23745_lociStitched	chr3	183224658	183260736	10	27650	35356.44
15_MACS_peak_30089_lociStitched	chr7	55569361	55603846	15	23529	27522.4785
15_MACS_peak_22882_lociStitched	chr3	121540062	121574255	15	19878	20898.761599999998
14_MACS_peak_12049_lociStitched	chr16	81841676	81875745	14	21547	27752.6074
9_MACS_peak_32770_lociStitched	chr9	20351193	20385035	9	27338	35493.4896
13_MACS_peak_3047_lociStitched	chr1	218517722	218551452	13	25793	29915.137000000002
13_MACS_peak_22691_lociStitched	chr3	112039051	112072578	13	29279	31542.2016
4_MACS_peak_17286_lociStitched	chr2	88896378	88928917	4	30294	42853.863
10_MACS_peak_23554_lociStitched	chr3	171801552	171833971	10	28438	37537.9601
16_MACS_peak_28315_lociStitched	chr6	52386659	52419048	16	20197	19355.666400000002
13_MACS_peak_16840_lociStitched	chr2	64340944	64372524	13	21209	25699.804
11_MACS_peak_16658_lociStitched	chr2	54776852	54807877	11	19849	28713.6375
11_MACS_peak_26803_lociStitched	chr5	139027271	139058142	11	25337	28682.2461
10_MACS_peak_17543_lociStitched	chr2	112182120	112212904	10	24860	24768.806399999998
6_MACS_peak_2093_lociStitched	chr1	156449219	156479635	6	27516	48410.105599999995
9_MACS_peak_25667_lociStitched	chr5	26860410	26890746	9	24956	23258.611200000003
8_MACS_peak_9626_lociStitched	chr15	31630843	31660627	8	24580	37605.278399999996
7_MACS_peak_10460_lociStitched	chr15	75063566	75093343	7	24039	38793.4756
13_MACS_peak_25888_lociStitched	chr5	56108999	56138498	13	20618	25230.4947
11_MACS_peak_18280_lociStitched	chr2	173443481	173472939	11	15312	18917.9276
8_MACS_peak_6312_lociStitched	chr12	7052082	7081235	8	23586	38041.7497
6_MACS_peak_16280_lociStitched	chr2	33699712	33728787	6	24942	44903.43
5_MACS_peak_16063_lociStitched	chr2	20403550	20432309	5	24506	30869.910599999996
7_MACS_peak_26648_lociStitched	chr5	131745620	131774234	7	20835	26067.354
5_MACS_peak_17266_lociStitched	chr2	87794206	87822790	5	25525	32694.3792
9_MACS_peak_20544_lociStitched	chr21	45552815	45581242	9	18451	27844.2465
10_MACS_peak_7568_lociStitched	chr12	109007042	109035268	10	22723	31841.750600000003
6_MACS_peak_9903_lociStitched	chr15	45001905	45030003	6	21179	49000.1022
7_MACS_peak_30952_lociStitched	chr7	137660101	137688051	7	24948	27242.865
9_MACS_peak_21012_lociStitched	chr22	37614458	37642319	9	19925	25972.0242
8_MACS_peak_16921_lociStitched	chr2	65140061	65167849	8	23214	30486.214799999998
9_MACS_peak_27002_lociStitched	chr5	150510572	150537898	9	22560	22240.6314
10_MACS_peak_27309_lociStitched	chr5	180221709	180249016	10	17784	24357.844
13_MACS_peak_27346_lociStitched	chr6	312125	339299	13	14765	14505.481200000002
8_MACS_peak_4224_lociStitched	chr10	92955336	92982304	8	18972	23912.5256
6_MACS_peak_16766_lociStitched	chr2	60756661	60783409	6	21014	34047.5292
3_MACS_peak_27470_lociStitched	chr6	7894848	7921531	3	25350	34965.4032
10_MACS_peak_23582_lociStitched	chr3	171888096	171914438	10	24037	23881.657199999998
11_MACS_peak_6140_lociStitched	chr11	128585588	128611892	11	18696	21953.3184
5_MACS_peak_16863_lociStitched	chr2	64430457	64456628	5	19697	35435.534
