#MM7_jia_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM7_jia_ROSE/MM7_jia_peaks_3KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM7_jia.bam
#Using cutoff of 10097.264 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM7_jia.bam	enhancerRank	isStretch
19_MACS_peak_17365_lociStitched	chr2	99060714	99138205	19	64459	88719.4459	1	1
16_MACS_peak_23204_lociStitched	chr3	141079294	141147455	16	58571	109534.727	2	1
22_MACS_peak_31376_lociStitched	chr8	27206582	27267140	22	46362	44934.036	3	1
10_MACS_peak_1582_lociStitched	chr1	118147412	118188368	10	37913	47422.9524	4	1
10_MACS_peak_16519_lociStitched	chr2	46761640	46806801	10	33580	53524.8172	5	1
4_MACS_peak_17286_lociStitched	chr2	88896378	88928917	4	30294	42853.863	6	1
13_MACS_peak_22691_lociStitched	chr3	112039051	112072578	13	29279	31542.2016	7	1
14_MACS_peak_26283_lociStitched	chr5	95258952	95298839	14	28594	31654.3232	8	1
18_MACS_peak_23564_lociStitched	chr3	171840053	171879533	18	28591	24394.692	9	1
10_MACS_peak_23554_lociStitched	chr3	171801552	171833971	10	28438	37537.9601	10	1
10_MACS_peak_23745_lociStitched	chr3	183224658	183260736	10	27650	35356.44	11	1
6_MACS_peak_2093_lociStitched	chr1	156449219	156479635	6	27516	48410.1056	12	1
9_MACS_peak_32770_lociStitched	chr9	20351193	20385035	9	27338	35493.4896	13	1
11_MACS_peak_28636_lociStitched	chr6	90046944	90085837	11	26751	31970.046	14	1
11_MACS_peak_1592_lociStitched	chr1	118192668	118230769	11	26557	36134.9884	15	1
13_MACS_peak_3047_lociStitched	chr1	218517722	218551452	13	25793	29915.137	16	1
5_MACS_peak_17266_lociStitched	chr2	87794206	87822790	5	25525	32694.3792	17	1
3_MACS_peak_27470_lociStitched	chr6	7894848	7921531	3	25350	34965.4032	18	1
11_MACS_peak_26803_lociStitched	chr5	139027271	139058142	11	25337	28682.2461	19	1
9_MACS_peak_25667_lociStitched	chr5	26860410	26890746	9	24956	23258.6112	20	1
7_MACS_peak_30952_lociStitched	chr7	137660101	137688051	7	24948	27242.865	21	1
6_MACS_peak_16280_lociStitched	chr2	33699712	33728787	6	24942	44903.43	22	1
10_MACS_peak_17543_lociStitched	chr2	112182120	112212904	10	24860	24768.8064	23	1
8_MACS_peak_9626_lociStitched	chr15	31630843	31660627	8	24580	37605.2784	24	1
5_MACS_peak_16063_lociStitched	chr2	20403550	20432309	5	24506	30869.9106	25	1
7_MACS_peak_10460_lociStitched	chr15	75063566	75093343	7	24039	38793.4756	26	1
10_MACS_peak_23582_lociStitched	chr3	171888096	171914438	10	24037	23881.6572	27	1
8_MACS_peak_6312_lociStitched	chr12	7052082	7081235	8	23586	38041.7497	28	1
