GENE_ID	locusLine	bin_1_JJN3_jia.bam
NM_015215	chr1(.):6840383-7834766	0.1466
NM_007051	chr1(.):50901934-51430936	0.0811
NM_024408	chr1(.):120449175-120617276	0.5193
NM_152942	chr1(.):12180957-12209264	0.2553
NM_001243	chr1(.):12118433-12209264	0.1446
NM_004091	chr1(.):23827921-23862713	2.0195
NM_174964	chr1(.):44168217-44401831	0.3649
NR_034178	chr1(.):143910747-144099477	0.3208
NM_203458	chr1(.):145204110-145290912	1.2327
NM_004892	chr1(.):145091406-145121922	0.3743
NM_153713	chr1(.):145472084-145504091	0.8535
NM_001002812	chr1(.):144885590-145000022	0.4744
NM_014644	chr1(.):144846426-145000022	0.3927
NM_001198834	chr1(.):144846423-145000033	0.3926
NM_001198832	chr1(.):144846423-145044992	0.3797
NM_207168	chr1(.):150594521-150607098	1.8149
NM_020699	chr1(.):153772202-153900451	0.2864
NM_020524	chr1(.):154911558-154933567	4.3306
NM_002249	chr1(.):154674914-154847754	0.4757
NM_170782	chr1(.):154674914-154837338	0.4649
NM_005572	chr1(.):156079460-156112657	1.3825
NM_170708	chr1(.):156079460-156114878	1.3056
NM_005973	chr1(.):156732273-156775609	1.0038
NM_012394	chr1(.):161065345-161092866	0.6245
NM_014857	chr1(.):174123633-174932327	0.1332
NM_182663	chr1(.):206675878-206767616	0.649
NM_002221	chr1(.):226814390-226931876	0.4907
NM_002074	chr1(.):1711728-1827495	0.3686
NM_138705	chr1(.):1841265-1853733	0.1312
NM_178545	chr1(.):1844028-1855740	0.1165
NM_001066	chr1(.):12222059-12274277	0.4349
NM_001136204	chr1(.):17728250-17770057	1.0383
NM_018715	chr1(.):17728250-17771220	1.0153
NM_017707	chr1(.):23750055-23815750	0.0809
NM_002167	chr1(.):23879408-23891322	0.4224
NM_001031680	chr1(.):25221001-25296501	0.9512
NM_004350	chr1(.):25221001-25261770	1.514
NM_015627	chr1(.):25865075-25900377	0.8898
NM_006015	chr1(.):27017521-27113601	1.0294
NM_005202	chr1(.):36555843-36570850	0.1036
NM_018067	chr1(.):36616802-36651441	0.9583
NM_014408	chr1(.):36597172-36620067	0.8308
NM_022756	chr1(.):37953175-37985364	0.2538
NM_025079	chr1(.):37935118-37954978	2.1713
NM_001262	chr1(.):51429366-51445306	5.9863
NM_078626	chr1(.):51430641-51445309	6.498
NM_006769	chr1(.):87789150-87819607	1.1997
NM_001127215	chr1(.):92935317-92954356	2.3348
NM_005263	chr1(.):92935317-92957433	2.03
NM_001127216	chr1(.):92935317-92956628	2.1015
NM_004974	chr1(.):111140775-111153345	0.106
NM_002232	chr1(.):111209309-111222655	2.6938
NM_017709	chr1(.):118143603-118176011	1.4215
NM_207418	chr1(.):143891451-143918143	1.0796
NM_001002811	chr1(.):144885590-144937032	0.7333
NM_032305	chr1(.):145451235-145475387	1.6448
