GENE_ID	locusLine	bin_1_KMS11_jia.bam
1_MACS_peak_1_lociStitched	chr1(.):28062-30247	3.5842
1_MACS_peak_2_lociStitched	chr1(.):713203-715318	2.4879
1_MACS_peak_3_lociStitched	chr1(.):761820-763708	1.5931
1_MACS_peak_4_lociStitched	chr1(.):875673-881269	1.2792
3_MACS_peak_5_lociStitched	chr1(.):893744-903008	0.509
1_MACS_peak_8_lociStitched	chr1(.):954788-955528	0.555
1_MACS_peak_9_lociStitched	chr1(.):1050878-1051639	1.3989
2_MACS_peak_10_lociStitched	chr1(.):1071408-1082418	0.6467
1_MACS_peak_12_lociStitched	chr1(.):1092725-1093850	0.6132
1_MACS_peak_13_lociStitched	chr1(.):1150189-1151112	0.4821
2_MACS_peak_14_lociStitched	chr1(.):1166277-1168250	2.1813
1_MACS_peak_16_lociStitched	chr1(.):1185308-1185835	0.3451
1_MACS_peak_17_lociStitched	chr1(.):1208208-1210222	1.8972
2_MACS_peak_18_lociStitched	chr1(.):1240140-1245003	1.6777
1_MACS_peak_20_lociStitched	chr1(.):1259356-1262195	2.009
2_MACS_peak_21_lociStitched	chr1(.):1283727-1285498	1.5289
2_MACS_peak_23_lociStitched	chr1(.):1306886-1311527	0.9946
2_MACS_peak_25_lociStitched	chr1(.):1333600-1343635	1.0937
1_MACS_peak_27_lociStitched	chr1(.):1397005-1398474	0.8884
1_MACS_peak_28_lociStitched	chr1(.):1405859-1408604	1.7023
2_MACS_peak_29_lociStitched	chr1(.):1440432-1449207	1.0272
1_MACS_peak_31_lociStitched	chr1(.):1509191-1511112	2.8931
4_MACS_peak_32_lociStitched	chr1(.):1534834-1552134	0.7343
1_MACS_peak_36_lociStitched	chr1(.):1564266-1566855	1.3191
1_MACS_peak_37_lociStitched	chr1(.):1589619-1591566	1.7662
1_MACS_peak_38_lociStitched	chr1(.):1605868-1611067	2.514
1_MACS_peak_39_lociStitched	chr1(.):1622740-1625494	3.4612
1_MACS_peak_40_lociStitched	chr1(.):1654909-1656834	1.7074
2_MACS_peak_41_lociStitched	chr1(.):1668696-1678750	1.8825
1_MACS_peak_43_lociStitched	chr1(.):1689501-1691146	1.0421
2_MACS_peak_44_lociStitched	chr1(.):1706993-1713202	2.6924
1_MACS_peak_46_lociStitched	chr1(.):1754921-1756407	0.5295
1_MACS_peak_47_lociStitched	chr1(.):1772911-1775484	0.8211
3_MACS_peak_48_lociStitched	chr1(.):1820719-1829492	1.5539
2_MACS_peak_51_lociStitched	chr1(.):1837275-1842630	1.639
1_MACS_peak_53_lociStitched	chr1(.):1849958-1850902	0.6375
2_MACS_peak_54_lociStitched	chr1(.):2322220-2324100	1.642
1_MACS_peak_56_lociStitched	chr1(.):2343136-2345276	1.7958
1_MACS_peak_57_lociStitched	chr1(.):2411393-2413111	0.5735
2_MACS_peak_58_lociStitched	chr1(.):2454363-2458346	1.0612
5_MACS_peak_60_lociStitched	chr1(.):2472495-2488827	0.9621
1_MACS_peak_65_lociStitched	chr1(.):2509172-2509883	0.4877
1_MACS_peak_66_lociStitched	chr1(.):2516636-2518707	1.4847
1_MACS_peak_67_lociStitched	chr1(.):2573878-2574881	0.9867
2_MACS_peak_68_lociStitched	chr1(.):3540899-3542178	0.5482
1_MACS_peak_70_lociStitched	chr1(.):3566016-3566744	0.6471
1_MACS_peak_71_lociStitched	chr1(.):3712198-3713582	0.74
1_MACS_peak_72_lociStitched	chr1(.):3772897-3774905	1.2998
1_MACS_peak_73_lociStitched	chr1(.):3815851-3818104	2.7574
2_MACS_peak_74_lociStitched	chr1(.):6051457-6054821	1.6412
1_MACS_peak_76_lociStitched	chr1(.):6083948-6087443	2.1001
2_MACS_peak_77_lociStitched	chr1(.):6258425-6267087	1.1514
1_MACS_peak_79_lociStitched	chr1(.):6294885-6296775	1.8759
1_MACS_peak_80_lociStitched	chr1(.):6418961-6419961	0.604
1_MACS_peak_81_lociStitched	chr1(.):6452552-6454667	1.8935
1_MACS_peak_82_lociStitched	chr1(.):6550051-6551096	0.4967
1_MACS_peak_83_lociStitched	chr1(.):6613420-6615211	1.4083
2_MACS_peak_84_lociStitched	chr1(.):6639364-6649049	0.4507
4_MACS_peak_86_lociStitched	chr1(.):6660245-6675171	1.3814
1_MACS_peak_90_lociStitched	chr1(.):6684459-6686213	1.5452
2_MACS_peak_91_lociStitched	chr1(.):6732496-6735217	1.0702
1_MACS_peak_93_lociStitched	chr1(.):6760664-6761960	2.2181
2_MACS_peak_94_lociStitched	chr1(.):6843561-6846532	2.0533
3_MACS_peak_96_lociStitched	chr1(.):6878512-6893581	0.7917
2_MACS_peak_99_lociStitched	chr1(.):6928447-6933669	0.3219
1_MACS_peak_101_lociStitched	chr1(.):6960972-6962294	0.5462
1_MACS_peak_102_lociStitched	chr1(.):6977215-6984304	2.442
1_MACS_peak_103_lociStitched	chr1(.):7021445-7023977	0.7945
1_MACS_peak_104_lociStitched	chr1(.):7461883-7471145	1.9751
2_MACS_peak_105_lociStitched	chr1(.):7732398-7741129	0.4034
1_MACS_peak_107_lociStitched	chr1(.):7763901-7765362	1.2145
1_MACS_peak_108_lociStitched	chr1(.):7830837-7832313	0.8764
1_MACS_peak_109_lociStitched	chr1(.):7843168-7844107	0.7361
1_MACS_peak_110_lociStitched	chr1(.):7902008-7903300	0.578
1_MACS_peak_111_lociStitched	chr1(.):8013790-8014357	0.4214
1_MACS_peak_112_lociStitched	chr1(.):8020753-8023102	2.3732
1_MACS_peak_113_lociStitched	chr1(.):8085726-8086409	1.0867
1_MACS_peak_114_lociStitched	chr1(.):8229285-8230755	0.9225
1_MACS_peak_115_lociStitched	chr1(.):8482971-8484079	0.6579
1_MACS_peak_116_lociStitched	chr1(.):8585111-8586223	0.6628
3_MACS_peak_117_lociStitched	chr1(.):8650278-8665398	0.4287
1_MACS_peak_120_lociStitched	chr1(.):8687946-8690675	0.9017
2_MACS_peak_121_lociStitched	chr1(.):8760574-8773878	1.038
2_MACS_peak_123_lociStitched	chr1(.):8782184-8784315	0.6376
1_MACS_peak_125_lociStitched	chr1(.):8876143-8878810	1.6673
1_MACS_peak_126_lociStitched	chr1(.):8935317-8941144	2.5381
1_MACS_peak_127_lociStitched	chr1(.):8959411-8960111	0.3731
1_MACS_peak_128_lociStitched	chr1(.):9188649-9189880	0.8245
1_MACS_peak_129_lociStitched	chr1(.):9222147-9225761	1.5042
3_MACS_peak_130_lociStitched	chr1(.):9241346-9253631	0.511
3_MACS_peak_133_lociStitched	chr1(.):9290653-9300384	0.9114
4_MACS_peak_136_lociStitched	chr1(.):9334982-9357241	0.9526
1_MACS_peak_140_lociStitched	chr1(.):9373425-9377474	1.5125
4_MACS_peak_141_lociStitched	chr1(.):9465845-9489800	1.7084
1_MACS_peak_145_lociStitched	chr1(.):9501614-9503593	1.1556
1_MACS_peak_146_lociStitched	chr1(.):9536420-9537753	0.5822
1_MACS_peak_147_lociStitched	chr1(.):9598739-9600630	1.253
1_MACS_peak_148_lociStitched	chr1(.):9648219-9650204	1.1787
2_MACS_peak_149_lociStitched	chr1(.):9711317-9716469	0.8972
1_MACS_peak_151_lociStitched	chr1(.):9747305-9748452	0.3814
1_MACS_peak_152_lociStitched	chr1(.):9777039-9778474	0.8836
