GENE_ID	locusLine	bin_1_10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19.bam
NM_030806	chr1(.):184351149-184603155	0.2013
NM_001990	chr1(.):28295818-28420131	0.351
NM_012090	chr1(.):39542117-39957789	0.1748
NM_001006605	chr1(.):93302720-93432079	0.3973
NM_001113228	chr1(.):107677628-108029475	0.1994
NM_014917	chr1(.):107677744-108029475	0.1995
NM_001010935	chr1(.):112157404-112261101	0.1346
NM_024408	chr1(.):120449175-120617276	0.1768
NM_001037675	chr1(.):144609958-144833810	0.1363
NR_002188	chr1(.):155178615-155202325	0.8245
NM_201569	chr1(.):183436505-183528328	0.3995
NM_002481	chr1(.):202312829-202562697	0.3319
NM_012102	chr1(.):8407463-8882699	0.1326
NM_004091	chr1(.):23827921-23862713	1.1298
NM_020448	chr1(.):24737244-24804473	0.1396
NM_173065	chr1(.):24475646-24518751	2.1338
NM_002953	chr1(.):26851248-26906520	0.4709
NM_002379	chr1(.):31179123-31201432	0.2205
NR_034182	chr1(.):31186618-31204593	0.2704
NM_174964	chr1(.):44168217-44401831	0.34
NM_002600	chr1(.):66253855-66845262	0.1637
NM_001037341	chr1(.):66253192-66845262	0.1636
NM_001037340	chr1(.):66453389-66845262	0.2185
NM_001081976	chr1(.):112020969-112111597	0.1795
NM_198459	chr1(.):115122195-115217732	0.0778
NM_203458	chr1(.):145204110-145290912	0.5359
NM_001195260	chr1(.):144946760-145002111	0.9312
NM_004892	chr1(.):145091406-145121922	0.2137
NM_153713	chr1(.):145472084-145504091	0.2358
NM_022359	chr1(.):144946760-145081186	0.5383
NM_001002812	chr1(.):144885590-145000022	0.8437
NM_014644	chr1(.):144846426-145000022	0.6608
NM_001195261	chr1(.):144946760-145000082	0.9469
NM_001198834	chr1(.):144846423-145000033	0.6608
NM_001002810	chr1(.):144946760-145000033	0.9475
NM_001198832	chr1(.):144846423-145044992	0.5819
NM_207168	chr1(.):150594521-150607098	0.9161
NM_020524	chr1(.):154911558-154933567	3.841
NM_181359	chr1(.):154372668-154445188	1.3161
NM_002249	chr1(.):154674914-154847754	0.8329
NM_170782	chr1(.):154674914-154837338	0.853
NM_005572	chr1(.):156079460-156112657	0.5867
NM_005973	chr1(.):156732273-156775609	0.319
NM_007348	chr1(.):161731083-161933852	0.2597
NM_014412	chr1(.):174963891-174986163	0.9556
NM_014857	chr1(.):174123633-174932327	0.1123
NM_001035230	chr1(.):174839683-174932327	0.2148
NM_001007214	chr1(.):174963570-174986163	0.9442
NM_015149	chr1(.):183600207-183902666	0.7444
NM_025191	chr1(.):184654624-184729041	0.3784
NM_144977	chr1(.):197516384-197749623	0.2711
NM_001195215	chr1(.):197468878-197749623	0.2391
NM_032103	chr1(.):202426870-202562697	0.4378
NM_014827	chr1(.):203759750-203828256	0.207
NM_182663	chr1(.):206675878-206767616	0.7442
NM_001193338	chr1(.):207071630-207100235	2.5309
NM_005449	chr1(.):207071630-207100378	2.5189
NM_001143962	chr1(.):223709971-223858436	0.0426
NM_002221	chr1(.):226814390-226931876	0.8955
NM_004481	chr1(.):230197955-230422875	0.6468
NM_017707	chr1(.):23750055-23815750	0.0631
NM_002167	chr1(.):23879408-23891322	1.8636
NR_027042	chr1(.):23948823-23972056	0.506
NM_021258	chr1(.):24441260-24474611	0.1149
NR_027087	chr1(.):24521729-24543180	2.474
NM_001199013	chr1(.):24678488-24745262	0.6105
NM_001199012	chr1(.):24678488-24746587	0.6002
NM_001006665	chr1(.):26867342-26906520	0.4612
NR_031740	chr1(.):26876032-26886084	0.0597
NM_017837	chr1(.):27109485-27129887	1.2805
