GENE_ID	locusLine	bin_1_40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84.bam
NM_199454	chr1(.):2980741-3360185	0.0679
NM_015215	chr1(.):6840383-7834766	0.0894
NM_001033581	chr1(.):2000085-2121834	0.0827
NM_012405	chr1(.):6276252-6301044	0.0918
NM_017891	chr1(.):1012197-1056736	0.0986
NM_001033582	chr1(.):2031154-2121834	0.0853
NM_002744	chr1(.):1976908-2121834	0.0809
NM_017449	chr1(.):23032330-23246823	0.0891
NM_032409	chr1(.):20954947-20983004	0.1164
NR_002188	chr1(.):155178615-155202325	0.2015
NM_017900	chr1(.):1304109-1315818	0.1345
NM_001014980	chr1(.):1172832-1187102	0.068
NM_003820	chr1(.):2482804-2500267	0.0961
NM_003036	chr1(.):2155133-2246652	0.0903
NM_152492	chr1(.):3663964-3693209	0.0998
NM_001409	chr1(.):3399505-3533059	0.073
NM_007274	chr1(.):6319331-6458826	0.0956
NM_001042663	chr1(.):6521151-6562484	0.1023
NM_181864	chr1(.):6319331-6450883	0.0938
NM_198681	chr1(.):6521151-6585069	0.0974
NM_001079843	chr1(.):10691665-10861707	0.0869
NM_017766	chr1(.):10702269-10861707	0.0893
NM_004958	chr1(.):11161587-11327608	0.1009
NM_020350	chr1(.):11791141-11815828	0.1146
NM_007365	chr1(.):17388255-17450948	0.0925
NM_013358	chr1(.):17526620-17577501	0.0908
NR_026567	chr1(.):17012712-17051652	0.2365
NM_030812	chr1(.):18076807-18158558	0.087
NM_032880	chr1(.):18429239-18709977	0.0857
NM_018125	chr1(.):17861329-18029370	0.081
NM_001011722	chr1(.):17902047-18029370	0.0798
NM_013945	chr1(.):18952499-19067632	0.0821
NM_001135254	chr1(.):18952499-19080360	0.0828
NR_033887	chr1(.):20681293-20760287	0.0943
NM_000478	chr1(.):21830857-21909905	0.0981
NM_005704	chr1(.):29558027-29658325	0.0967
NM_002379	chr1(.):31179123-31201432	0.1235
NR_034182	chr1(.):31186618-31204593	0.1138
NM_000831	chr1(.):37256127-37504844	0.0908
NM_144702	chr1(.):156885423-156907880	0.154
NM_138795	chr1(.):202096976-202118866	0.1577
NM_001017403	chr1(.):202158117-202293889	0.1526
NM_021636	chr1(.):202167904-202293889	0.1518
NM_001017404	chr1(.):202178282-202293889	0.1532
NM_032129	chr1(.):896876-915484	0.0789
NM_152486	chr1(.):856120-884961	0.0891
NM_198317	chr1(.):890966-906099	0.0963
NR_027055	chr1(.):798450-817182	0.1227
NM_015658	chr1(.):874582-899679	0.0933
NR_026874	chr1(.):847952-859817	0.1001
NR_027693	chr1(.):905578-922473	0.0886
