GENE_ID	locusLine	bin_1_37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80.bam
NM_002867	chr1(.):52368627-52461436	0.1202
NM_001006605	chr1(.):93302720-93432079	0.0637
NM_001010935	chr1(.):112157404-112261101	0.0603
NM_201569	chr1(.):183436505-183528328	0.1772
NM_003820	chr1(.):2482804-2500267	0.0784
NM_001113348	chr1(.):21538739-21677034	0.1124
NM_004091	chr1(.):23827921-23862713	0.1398
NM_020448	chr1(.):24737244-24804473	0.1134
NM_173065	chr1(.):24475646-24518751	0.1386
NM_020379	chr1(.):25938958-26116258	0.1231
NM_002379	chr1(.):31179123-31201432	0.1453
NR_034182	chr1(.):31186618-31204593	0.1437
NM_001127714	chr1(.):41970683-42389496	0.1212
NM_001101662	chr1(.):52249865-52349609	0.1148
NM_002600	chr1(.):66253855-66845262	0.1078
NM_001037341	chr1(.):66253192-66845262	0.1079
NM_001037340	chr1(.):66453389-66845262	0.1118
NM_001081976	chr1(.):112020969-112111597	0.0626
NM_198459	chr1(.):115122195-115217732	0.0522
NR_034178	chr1(.):143910747-144099477	0.1987
NM_203458	chr1(.):145204110-145290912	0.3798
NM_004892	chr1(.):145091406-145121922	0.3623
NM_153713	chr1(.):145472084-145504091	0.1947
NM_207168	chr1(.):150594521-150607098	0.233
NM_005060	chr1(.):151773546-151809348	0.185
NM_001001523	chr1(.):151773546-151803553	0.1761
NM_020699	chr1(.):153772202-153900451	0.1695
NM_020524	chr1(.):154911558-154933567	0.2478
NM_181359	chr1(.):154372668-154445188	0.1872
NM_002249	chr1(.):154674914-154847754	0.1912
NM_170782	chr1(.):154674914-154837338	0.1897
NM_005572	chr1(.):156079460-156112657	0.1902
NM_170708	chr1(.):156079460-156114878	0.1893
NM_005973	chr1(.):156732273-156775609	0.1798
NM_015149	chr1(.):183600207-183902666	0.177
NM_025191	chr1(.):184654624-184729041	0.1808
NM_182663	chr1(.):206675878-206767616	0.191
NM_001193338	chr1(.):207071630-207100235	0.2029
NM_005449	chr1(.):207071630-207100378	0.2025
NM_172362	chr1(.):210846656-211312457	0.1465
NM_001143962	chr1(.):223709971-223858436	0.0855
NM_002221	chr1(.):226814390-226931876	0.1849
NM_004481	chr1(.):230197955-230422875	0.1709
NM_001010926	chr1(.):2455183-2466684	0.1121
NR_026927	chr1(.):2476358-2489284	0.1115
NM_018216	chr1(.):2434974-2463035	0.088
