REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	NCI.H929.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
4_MACS_peak_1690_lociStitched	chr1	149801425	149834915	4	31491	269219.412	1	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2AA4	HIST2H2AA4	9.4527	1	1
3_MACS_peak_8752_lociStitched	chr14	106023443	106057867	3	34067	235787.188	2	1		TMEM121	TMEM121	TMEM121	0.4967	2	1
4_MACS_peak_23981_lociStitched	chr6	7883121	7921645	4	31546	180612.0692	3	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	3.9294	3	1
4_MACS_peak_18675_lociStitched	chr22	23255937	23287901	4	25714	180475.1368	4	1		IGLL5	IGLL5	IGLL5	7.2815	4	1
5_MACS_peak_8471_lociStitched	chr14	91812350	91867243	5	48004	178341.8677	5	1	CCDC88C		CCDC88C	CCDC88C	1.6264	5	1
3_MACS_peak_20537_lociStitched	chr3	141079652	141132523	3	45770	176488.6851	6	1	ZBTB38		ZBTB38	ZBTB38	1.3783	6	1
5_MACS_peak_8756_lociStitched	chr14	106143853	106176314	5	30033	174623.9495	7	1			TMEM121	TMEM121	0.4967	7	1
4_MACS_peak_1838_lociStitched	chr1	154907436	154935437	4	20422	170948.9051	8	1	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	3.9058	8	1
7_MACS_peak_16118_lociStitched	chr2	99054390	99109476	7	50285	156350.5938	9	1	INPP4A		INPP4A	INPP4A	1.15	9	1
3_MACS_peak_16052_lociStitched	chr2	89130550	89169835	3	39026	150261.1965	10	1			ANKRD36BP2	ANKRD36BP2	NONE	10	1
11_MACS_peak_1526_lociStitched	chr1	118147892	118218071	11	60280	147214.4883	11	1	FAM46C		FAM46C	FAM46C	1.5041	11	1
3_MACS_peak_18672_lociStitched	chr22	23223262	23249235	3	24989	140456.7894	12	1	IGLL5		IGLL5	IGLL5	7.2815	12	1
2_MACS_peak_13967_lociStitched	chr19	13259784	13284799	2	21249	124839.859	13	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	IER2	3.8455	13	1
3_MACS_peak_1923_lociStitched	chr1	156626743	156648006	3	19942	123576.3034	14	1	BCAN,NES	HAPLN2,BCAN,CRABP2,ISG20L2	NES	NES	3.2981	14	1
2_MACS_peak_1916_lociStitched	chr1	156456769	156479258	2	21810	119933.837	15	1	MEF2D		MEF2D	MEF2D	2.4822	15	1
3_MACS_peak_4071_lociStitched	chr10	112166733	112188218	3	20905	115808.447	16	1			DUSP5	DUSP5	1.1303	16	1
