REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	NCI.H929.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
11_MACS_peak_1526_lociStitched	chr1	118147892	118218071	11	60280	147214.4883	1	1	FAM46C		FAM46C	FAM46C	1.5041	1	1
4_MACS_peak_1690_lociStitched	chr1	149801425	149834915	4	31491	269219.412	2	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2AA4	HIST2H2AA4	9.4527	2	1
3_MACS_peak_8752_lociStitched	chr14	106023443	106057867	3	34067	235787.188	3	1		TMEM121	TMEM121	TMEM121	0.4967	3	1
5_MACS_peak_8471_lociStitched	chr14	91812350	91867243	5	48004	178341.8677	4	1	CCDC88C		CCDC88C	CCDC88C	1.6264	4	1
7_MACS_peak_16118_lociStitched	chr2	99054390	99109476	7	50285	156350.5938	5	1	INPP4A		INPP4A	INPP4A	1.15	5	1
3_MACS_peak_20537_lociStitched	chr3	141079652	141132523	3	45770	176488.6851	6	1	ZBTB38		ZBTB38	ZBTB38	1.3783	6	1
3_MACS_peak_16052_lociStitched	chr2	89130550	89169835	3	39026	150261.1965	7	1			ANKRD36BP2	ANKRD36BP2	NONE	7	1
4_MACS_peak_23981_lociStitched	chr6	7883121	7921645	4	31546	180612.0692	8	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	3.9294	8	1
5_MACS_peak_8756_lociStitched	chr14	106143853	106176314	5	30033	174623.9495	9	1			TMEM121	TMEM121	0.4967	9	1
4_MACS_peak_18675_lociStitched	chr22	23255937	23287901	4	25714	180475.1368	10	1		IGLL5	IGLL5	IGLL5	7.2815	10	1
4_MACS_peak_1838_lociStitched	chr1	154907436	154935437	4	20422	170948.9051	11	1	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	3.9058	11	1
7_MACS_peak_15628_lociStitched	chr2	47713305	47755798	7	34462	107294.825	12	1	KCNK12		KCNK12	KCNK12	0.8837	12	1
3_MACS_peak_18672_lociStitched	chr22	23223262	23249235	3	24989	140456.7894	13	1	IGLL5		IGLL5	IGLL5	7.2815	13	1
3_MACS_peak_7108_lociStitched	chr12	123355353	123387329	3	31260	107730.3416	14	1	VPS37B	HIP1R	VPS37B	VPS37B	2.5692	14	1
7_MACS_peak_25023_lociStitched	chr6	109186720	109228038	7	33331	90151.7442	15	1	ARMC2		ARMC2	ARMC2	0.778	15	1
4_MACS_peak_21579_lociStitched	chr4	71522861	71557037	4	29703	103413.1584	16	1	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	2.7397	16	1
3_MACS_peak_29090_lociStitched	chr9	93676146	93708736	3	29313	103016.99	17	1			SYK	SYK	NONE	17	1
4_MACS_peak_2064_lociStitched	chr1	162530281	162562951	4	32458	75255.345	18	1	UAP1	DDR2	UAP1	UAP1	1.6149	18	1
2_MACS_peak_13163_lociStitched	chr18	42286140	42314356	2	28048	103470.8936	19	1	SETBP1		SETBP1	SETBP1	1.0168	19	1
15_MACS_peak_23235_lociStitched	chr5	131400378	131453639	15	32561	63508.4164	20	1	CSF2	IL3	CSF2	CSF2	0.9445	20	1
2_MACS_peak_13967_lociStitched	chr19	13259784	13284799	2	21249	124839.859	21	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	IER2	3.8455	21	1
