#NCI-H929 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/NCI-H929.H3K27ac_ROSE/NCI-H929_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by NCI.H929.jin.bam
#Using cutoff of 21130.3898 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	NCI.H929.jin.bam	enhancerRank	isSuper
4_MACS_peak_1690_lociStitched	chr1	149801425	149834915	4	31491	269219.412	1	1
3_MACS_peak_8752_lociStitched	chr14	106023443	106057867	3	34067	235787.188	2	1
4_MACS_peak_23981_lociStitched	chr6	7883121	7921645	4	31546	180612.0692	3	1
4_MACS_peak_18675_lociStitched	chr22	23255937	23287901	4	25714	180475.1368	4	1
5_MACS_peak_8471_lociStitched	chr14	91812350	91867243	5	48004	178341.8677	5	1
3_MACS_peak_20537_lociStitched	chr3	141079652	141132523	3	45770	176488.6851	6	1
5_MACS_peak_8756_lociStitched	chr14	106143853	106176314	5	30033	174623.9495	7	1
4_MACS_peak_1838_lociStitched	chr1	154907436	154935437	4	20422	170948.9051	8	1
7_MACS_peak_16118_lociStitched	chr2	99054390	99109476	7	50285	156350.5938	9	1
3_MACS_peak_16052_lociStitched	chr2	89130550	89169835	3	39026	150261.1965	10	1
11_MACS_peak_1526_lociStitched	chr1	118147892	118218071	11	60280	147214.4883	11	1
3_MACS_peak_18672_lociStitched	chr22	23223262	23249235	3	24989	140456.7894	12	1
2_MACS_peak_13967_lociStitched	chr19	13259784	13284799	2	21249	124839.859	13	1
3_MACS_peak_1923_lociStitched	chr1	156626743	156648006	3	19942	123576.3034	14	1
2_MACS_peak_1916_lociStitched	chr1	156456769	156479258	2	21810	119933.837	15	1
3_MACS_peak_4071_lociStitched	chr10	112166733	112188218	3	20905	115808.447	16	1
2_MACS_peak_1716_lociStitched	chr1	150531364	150554334	2	21977	114707.586	17	1
3_MACS_peak_24604_lociStitched	chr6	45383001	45405912	3	20964	112153.9272	18	1
3_MACS_peak_7108_lociStitched	chr12	123355353	123387329	3	31260	107730.3416	19	1
3_MACS_peak_1006_lociStitched	chr1	51432024	51451692	3	19254	107332.2096	20	1
