#NCI-H929 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/NCI-H929.H3K27ac_ROSE/NCI-H929_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by NCI.H929.jin.bam
#Using cutoff of 21130.3898 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	NCI.H929.jin.bam	enhancerRank	isStretch
11_MACS_peak_1526_lociStitched	chr1	118147892	118218071	11	60280	147214.4883	1	1
7_MACS_peak_16118_lociStitched	chr2	99054390	99109476	7	50285	156350.5938	2	1
5_MACS_peak_8471_lociStitched	chr14	91812350	91867243	5	48004	178341.8677	3	1
3_MACS_peak_20537_lociStitched	chr3	141079652	141132523	3	45770	176488.6851	4	1
3_MACS_peak_16052_lociStitched	chr2	89130550	89169835	3	39026	150261.1965	5	1
7_MACS_peak_15628_lociStitched	chr2	47713305	47755798	7	34462	107294.825	6	1
3_MACS_peak_8752_lociStitched	chr14	106023443	106057867	3	34067	235787.188	7	1
7_MACS_peak_25023_lociStitched	chr6	109186720	109228038	7	33331	90151.7442	8	1
15_MACS_peak_23235_lociStitched	chr5	131400378	131453639	15	32561	63508.4164	9	1
4_MACS_peak_2064_lociStitched	chr1	162530281	162562951	4	32458	75255.345	10	1
4_MACS_peak_23981_lociStitched	chr6	7883121	7921645	4	31546	180612.0692	11	1
4_MACS_peak_1690_lociStitched	chr1	149801425	149834915	4	31491	269219.412	12	1
3_MACS_peak_7108_lociStitched	chr12	123355353	123387329	3	31260	107730.3416	13	1
5_MACS_peak_8756_lociStitched	chr14	106143853	106176314	5	30033	174623.9495	14	1
5_MACS_peak_4213_lociStitched	chr10	125821859	125854771	5	29761	77856.6272	15	1
4_MACS_peak_21579_lociStitched	chr4	71522861	71557037	4	29703	103413.1584	16	1
3_MACS_peak_29090_lociStitched	chr9	93676146	93708736	3	29313	103016.99	17	1
