#NCI-H929 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/NCI-H929.H3K27ac_ROSE/NCI-H929_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by NCI.H929.jin.bam
#Using cutoff of 21130.3898 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	NCI.H929.jin.bam	enhancerRank	isSuperStretch
11_MACS_peak_1526_lociStitched	chr1	118147892	118218071	11	60280	147214.4883	1	1
4_MACS_peak_1690_lociStitched	chr1	149801425	149834915	4	31491	269219.412	2	1
3_MACS_peak_8752_lociStitched	chr14	106023443	106057867	3	34067	235787.188	3	1
5_MACS_peak_8471_lociStitched	chr14	91812350	91867243	5	48004	178341.8677	4	1
7_MACS_peak_16118_lociStitched	chr2	99054390	99109476	7	50285	156350.5938	5	1
3_MACS_peak_20537_lociStitched	chr3	141079652	141132523	3	45770	176488.6851	6	1
3_MACS_peak_16052_lociStitched	chr2	89130550	89169835	3	39026	150261.1965	7	1
4_MACS_peak_23981_lociStitched	chr6	7883121	7921645	4	31546	180612.0692	8	1
5_MACS_peak_8756_lociStitched	chr14	106143853	106176314	5	30033	174623.9495	9	1
4_MACS_peak_18675_lociStitched	chr22	23255937	23287901	4	25714	180475.1368	10	1
4_MACS_peak_1838_lociStitched	chr1	154907436	154935437	4	20422	170948.9051	11	1
7_MACS_peak_15628_lociStitched	chr2	47713305	47755798	7	34462	107294.825	12	1
3_MACS_peak_18672_lociStitched	chr22	23223262	23249235	3	24989	140456.7894	13	1
3_MACS_peak_7108_lociStitched	chr12	123355353	123387329	3	31260	107730.3416	14	1
7_MACS_peak_25023_lociStitched	chr6	109186720	109228038	7	33331	90151.7442	15	1
4_MACS_peak_21579_lociStitched	chr4	71522861	71557037	4	29703	103413.1584	16	1
3_MACS_peak_29090_lociStitched	chr9	93676146	93708736	3	29313	103016.99	17	1
4_MACS_peak_2064_lociStitched	chr1	162530281	162562951	4	32458	75255.345	18	1
2_MACS_peak_13163_lociStitched	chr18	42286140	42314356	2	28048	103470.8936	19	1
15_MACS_peak_23235_lociStitched	chr5	131400378	131453639	15	32561	63508.4164	20	1
2_MACS_peak_13967_lociStitched	chr19	13259784	13284799	2	21249	124839.859	21	1
2_MACS_peak_1916_lociStitched	chr1	156456769	156479258	2	21810	119933.837	22	1
5_MACS_peak_4213_lociStitched	chr10	125821859	125854771	5	29761	77856.6272	23	1
3_MACS_peak_1923_lociStitched	chr1	156626743	156648006	3	19942	123576.3034	24	1
2_MACS_peak_1716_lociStitched	chr1	150531364	150554334	2	21977	114707.586	25	1
3_MACS_peak_4071_lociStitched	chr10	112166733	112188218	3	20905	115808.447	26	1
3_MACS_peak_24604_lociStitched	chr6	45383001	45405912	3	20964	112153.9272	27	1
5_MACS_peak_11824_lociStitched	chr17	32688722	32719405	5	28097	72240.0552	28	1
8_MACS_peak_15505_lociStitched	chr2	38855283	38896112	8	27255	73459.5368	29	1
3_MACS_peak_11562_lociStitched	chr17	16872897	16895891	3	21671	103670.7484	30	1
2_MACS_peak_24970_lociStitched	chr6	106531390	106556688	2	24895	87012.471	31	1
3_MACS_peak_1006_lociStitched	chr1	51432024	51451692	3	19254	107332.2096	32	1
8_MACS_peak_8537_lociStitched	chr14	94420205	94448314	8	25726	71967.4727	33	1
1_MACS_peak_15274_lociStitched	chr2	20404120	20426098	1	21979	93472.434	34	1
5_MACS_peak_18498_lociStitched	chr21	45552325	45580472	5	23258	84967.3489	35	1
2_MACS_peak_24875_lociStitched	chr6	90054002	90072578	2	18308	105585.984	36	1
7_MACS_peak_24180_lociStitched	chr6	26340133	26368177	7	24649	71327.1096	37	1
5_MACS_peak_2020_lociStitched	chr1	161142765	161164063	5	17151	104833.0156	38	1
4_MACS_peak_20330_lociStitched	chr3	124487120	124512803	4	24463	68463.1731	39	1
8_MACS_peak_28286_lociStitched	chr8	126285140	126322584	8	26176	51990.994	40	1
5_MACS_peak_19287_lociStitched	chr22	50962323	50983735	5	15797	106621.054	41	1
3_MACS_peak_21760_lociStitched	chr4	90210976	90230251	3	18977	92525.7825	42	1
2_MACS_peak_18020_lociStitched	chr20	52191530	52214105	2	21187	82401.0075	43	1
8_MACS_peak_5964_lociStitched	chr12	7045670	7081054	8	23889	64409.4952	44	1
2_MACS_peak_5666_lociStitched	chr11	120365261	120385594	2	18123	94599.2825	45	1
6_MACS_peak_30765_lociStitched	chrX	153188322	153219622	6	19494	87251.88	46	1
4_MACS_peak_15501_lociStitched	chr2	38818401	38845140	4	21300	76438.7793	47	1
3_MACS_peak_12301_lociStitched	chr17	56405055	56423295	3	15822	96447.648	48	1
3_MACS_peak_8397_lociStitched	chr14	81930703	81955729	3	21039	72590.4156	49	1
7_MACS_peak_187_lociStitched	chr1	9121702	9148161	7	21846	67335.5091	50	1
6_MACS_peak_7787_lociStitched	chr14	23018145	23039978	6	20830	71374.2603	51	1
3_MACS_peak_26602_lociStitched	chr7	102061387	102087260	3	18669	81585.3309	52	1
5_MACS_peak_2033_lociStitched	chr1	161409491	161442470	5	22880	55408.0179	53	1
2_MACS_peak_18077_lociStitched	chr20	55963910	55978789	2	13685	98823.3422	54	1
8_MACS_peak_29354_lociStitched	chr9	117125602	117152689	8	21213	66376.6935	55	1
5_MACS_peak_5773_lociStitched	chr11	128585497	128609874	5	22032	59955.2315	56	1
7_MACS_peak_1482_lociStitched	chr1	115233002	115260030	7	22712	52812.712	57	1
3_MACS_peak_14464_lociStitched	chr19	39887636	39904640	3	16428	84834.6564	58	1
2_MACS_peak_2287_lociStitched	chr1	184709299	184725660	2	16147	85159.005	59	1
1_MACS_peak_20125_lociStitched	chr3	98448601	98465595	1	16995	81732.643	60	1
2_MACS_peak_4990_lociStitched	chr11	65183722	65198781	2	14977	88577.038	61	1
9_MACS_peak_16040_lociStitched	chr2	88899129	88928492	9	23395	36342.5851	62	1
7_MACS_peak_27989_lociStitched	chr8	98635005	98665582	7	18245	73987.1669	63	1
2_MACS_peak_16836_lociStitched	chr2	197023240	197044444	2	20882	58378.8528	64	1
