GENE_ID	locusLine	bin_1_MM12.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):9985-10473	3.5768
1_MACS_peak_2_lociStitched	chr1(.):28424-29839	3.4238
1_MACS_peak_3_lociStitched	chr1(.):713212-715217	4.4656
1_MACS_peak_4_lociStitched	chr1(.):761966-763560	2.6005
2_MACS_peak_5_lociStitched	chr1(.):876739-881480	2.635
1_MACS_peak_7_lociStitched	chr1(.):893850-894765	2.2479
2_MACS_peak_8_lociStitched	chr1(.):895547-896534	1.4827
1_MACS_peak_10_lociStitched	chr1(.):901485-902487	2.1757
1_MACS_peak_11_lociStitched	chr1(.):948122-949661	2.1716
1_MACS_peak_12_lociStitched	chr1(.):954815-955567	1.7511
1_MACS_peak_13_lociStitched	chr1(.):968039-968527	1.0882
1_MACS_peak_14_lociStitched	chr1(.):1014753-1015364	1.0693
1_MACS_peak_15_lociStitched	chr1(.):1015934-1016366	1.0452
1_MACS_peak_16_lociStitched	chr1(.):1050897-1051646	1.5534
1_MACS_peak_17_lociStitched	chr1(.):1092793-1094085	2.5144
1_MACS_peak_18_lociStitched	chr1(.):1166565-1167523	2.6991
2_MACS_peak_19_lociStitched	chr1(.):1185359-1185813	1.0447
1_MACS_peak_21_lociStitched	chr1(.):1208063-1209889	2.8974
1_MACS_peak_22_lociStitched	chr1(.):1240402-1241634	1.4561
1_MACS_peak_23_lociStitched	chr1(.):1242641-1244907	2.3352
1_MACS_peak_24_lociStitched	chr1(.):1259414-1261409	2.3387
1_MACS_peak_25_lociStitched	chr1(.):1265816-1267119	2.3109
3_MACS_peak_26_lociStitched	chr1(.):1283622-1285889	1.6853
1_MACS_peak_29_lociStitched	chr1(.):1286422-1286689	0.6561
1_MACS_peak_30_lociStitched	chr1(.):1309508-1311615	2.8368
1_MACS_peak_31_lociStitched	chr1(.):1333759-1335774	2.4565
1_MACS_peak_32_lociStitched	chr1(.):1341884-1343413	2.4362
2_MACS_peak_33_lociStitched	chr1(.):1397547-1398422	1.0313
