GENE	H3k27me3_25_DMSO_compare_TSS_SIGNAL	H3k27me3_25_DMSO_compare_DISTAL_SIGNAL
A4GALT	2589.9147000000003	4200.0118
AAAS	0.0	1364.7705
AADACL3	0.0	776.4848
AADACL4	0.0	533.4979999999999
AANAT	0.0	84306.0016
AARS2	0.0	32335.369700000003
AATF	0.0	62225.633600000016
AATK	10963.946	407655.3066
ABCA17P	605.5234999999999	146535.65309999997
ABCA2	4048.2466	287098.0453000001
ABCA3	735.1634999999999	146535.65309999997
ABCA4	0.0	1509.2224999999999
ABCA7	0.0	25906.756999999998
ABCB6	0.0	30256.377099999998
ABCB8	0.0	56832.277299999994
ABCC1	0.0	0.0
ABCC10	0.0	900.674
ABCC3	12375.600000000002	302705.2152000002
ABCC8	474.41339999999997	311.9114
ABCD1	0.0	108223.33890000002
ABCD4	0.0	2258.3144
ABCF1	0.0	17238.267200000002
ABCF2	0.0	175386.468
ABCF3	0.0	32849.2329
ABCG1	1994.3522	146395.61179999998
ABCG4	2576.7117	10858.1675
ABHD11	0.0	28150.6097
ABHD14A	0.0	9291.2573
ABHD14B	0.0	9291.2573
ABHD15	0.0	1347.9653
ABHD8	0.0	56106.67669999999
ABI3	7227.757500000001	39276.2543
ABL1	0.0	360605.3024
ABLIM2	904.1143999999999	136915.78489999997
ABO	5454.393599999999	282008.42129999987
ABP1	0.0	0.0
ABR	11869.060800000001	457978.17879999976
ABTB2	781.7821	1236.1262
ACAD8	0.0	1829.1136000000001
ACADVL	0.0	181981.53770000004
ACAN	1618.6529	1510.1149999999998
ACAP1	0.0	141117.0329
ACAP3	0.0	134949.27400000003
ACBD3	0.0	0.0
ACBD4	0.0	4130.9745
ACCN2	1955.7374	38121.0952
ACCN3	618.3397	56832.277299999994
ACCN4	9715.6	353211.9673000001
ACE	28776.114999999998	138779.93779999999
ACER1	4381.599999999999	56925.81289999999
ACHE	4919.6304	113713.8816
ACIN1	0.0	500.1577
ACLY	0.0	3582.3468999999996
ACN9	0.0	236.436
ACOT11	0.0	417.5568
ACOT7	0.0	258451.95739999996
ACOX1	0.0	29756.9564
ACOX3	0.0	49886.8074
ACP1	0.0	1111.6464
ACP2	0.0	26448.631899999997
ACP5	0.0	13766.0203
ACPT	0.0	54163.89339999998
ACR	0.0	51640.4723
ACRBP	0.0	55121.346000000005
ACSBG1	2258.2904	2052.7891
ACSBG2	0.0	91976.7376
ACSF3	0.0	65824.18370000001
ACSL3	0.0	2418.5137999999997
ACSL6	4137.6	1493.4026
ACTA2	0.0	581.0107
ACTB	0.0	141475.94660000002
ACTG1	0.0	960692.4861
ACTL6B	4650.4882	287208.06680000015
ACTL8	0.0	240558.54899999997
ACTL9	0.0	218179.90330000003
ACTN3	1228.8773	70327.8377
ACTN4	0.0	6060.036
ACTR1A	0.0	111842.87400000001
ACTR3C	0.0	0.0
ACTR5	0.0	59950.62299999999
ACTRT2	9109.2	660200.4619999998
ACVR1B	483.2858	49717.9497
ACVRL1	0.0	104719.8716
ACY1	0.0	9291.2573
ACY3	0.0	30868.905200000005
ADA	0.0	66503.96190000001
ADAD2	0.0	1630.6685
ADAM11	4048.291	9988.454199999998
ADAM15	0.0	93618.86270000003
ADAM21P1	0.0	346.4582
ADAM33	7450.5282	45601.08940000001
ADAM8	0.0	328862.48690000013
ADAMTS10	0.0	74439.57920000001
ADAMTS13	2945.3248000000003	346354.88950000005
ADAMTS15	0.0	7082.2374
ADAMTS4	0.0	0.0
ADAMTS7	2220.2488	50051.23060000001
ADAMTS8	4085.4741000000004	7082.2374
ADAMTSL2	26250.1865	620359.4157999998
ADAMTSL4	2671.3395	2151.4638999999997
ADAMTSL5	3996.492	250219.9797
ADAP1	0.0	109872.42000000004
ADAP2	647.0728	386.7066
ADAR	0.0	5125.3719
ADARB1	1714.8627999999999	211202.26340000003
ADAT3	0.0	21397.4272
ADCK2	0.0	4294.043
ADCK4	0.0	657.189
ADCK5	0.0	21642.730700000004
ADCY6	0.0	869.0445
ADCY9	0.0	16801.8504
ADIPOQ	0.0	2055.6954
ADIPOR1	0.0	160.9313
ADM2	0.0	4144.7777
ADNP	0.0	473.65500000000003
ADO	0.0	2607.6052999999997
ADORA1	10716.599999999999	20403.0147
ADPRHL1	0.0	96135.18059999999
ADPRHL2	0.0	3599.7365
ADRA2B	2083.98	30416.1723
ADRA2C	0.0	705371.6882999999
ADRM1	0.0	77830.9379
ADSSL1	3752.7909000000004	80765.15449999999
AEBP1	2305.1808	3480.6333000000004
AEN	0.0	1305.0230000000001
AES	2145.8828	222515.41389999996
AFAP1	0.0	61539.45799999999
AFAP1-AS1	0.0	129796.93430000004
AFG3L1P	0.0	20030.5749
AFMID	0.0	9528.6411
AGAP2	0.0	3478.6668
AGAP3	0.0	110952.38060000002
AGAP9	0.0	1217.2666000000002
AGBL5	0.0	255.5625
AGER	0.0	101692.00949999997
AGFG2	0.0	124935.12409999999
AGPAT1	0.0	103228.73349999997
AGPAT2	7309.084900000001	737171.0190999996
AGPAT3	0.0	52703.072400000005
AGPAT5	0.0	1752.6534
AGPAT6	0.0	631.917
AGRN	5197.5851999999995	431263.7591
AGRP	0.0	16559.9961
AGTRAP	0.0	133779.91139999998
AGXT	0.0	5757.1024
AGXT2L2	0.0	7090.5063
AHCYL1	0.0	709.9904
AHCYL2	0.0	0.0
AHDC1	0.0	442.9964
AHNAK	245.3308	18.4315
AHNAK2	268.9425	47241.7758
AHRR	0.0	3020.9038999999993
AHSP	0.0	1276.5216
AICDA	0.0	0.0
AIF1	0.0	10571.4544
AIF1L	6965.295400000001	533487.2847999999
AIFM3	1772.5511999999999	65525.447100000005
AIM1	2218.6602	2502.1177000000002
AIM1L	0.0	15946.5599
AIM2	0.0	1658.1788
AIP	0.0	60732.131100000006
AIPL1	92.5769	65090.938000000024
AIRE	37774.200000000004	281348.63
AJAP1	128.9663	19432.007400000002
AK1	0.0	1449.2844
AKAP8	0.0	9081.466199999999
AKAP8L	0.0	15093.012399999998
AKIRIN1	0.0	0.0
AKR1D1	0.0	16135.4827
AKT1	0.0	76175.7942
AKT2	0.0	3894.7536000000005
ALDH16A1	0.0	227806.75239999994
ALDH1A3	219.6585	0.0
ALDH3A1	358.202	4973.8895
ALDH3A2	0.0	4175.1839
ALDH3B2	0.0	20149.751800000005
ALDH4A1	0.0	190953.6431
ALDOA	0.0	79073.51019999999
ALDOC	0.0	183615.32009999998
ALG1	0.0	77616.47799999999
ALG12	0.0	24737.546800000004
ALG1L2	0.0	1844.3627000000001
