GENE_ID	locusLine	bin_1_37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80.bam
NM_201569	chr1(.):183436505-183528328	0.1772
NM_001113348	chr1(.):21538739-21677034	0.1124
NM_004091	chr1(.):23827921-23862713	0.1398
NM_173065	chr1(.):24475646-24518751	0.1386
NM_001048199	chr1(.):28827454-28870708	0.1382
NR_002909	chr1(.):28827454-28842404	0.1654
NM_002379	chr1(.):31179123-31201432	0.1453
NR_034182	chr1(.):31186618-31204593	0.1437
NM_002600	chr1(.):66253855-66845262	0.1078
NM_001037341	chr1(.):66253192-66845262	0.1079
NM_001037340	chr1(.):66453389-66845262	0.1118
NM_153713	chr1(.):145472084-145504091	0.1947
NM_207168	chr1(.):150594521-150607098	0.233
NM_020524	chr1(.):154911558-154933567	0.2478
NM_181359	chr1(.):154372668-154445188	0.1872
NM_005572	chr1(.):156079460-156112657	0.1902
NM_005973	chr1(.):156732273-156775609	0.1798
NM_012394	chr1(.):161065345-161092866	0.2177
NM_025191	chr1(.):184654624-184729041	0.1808
NM_144977	chr1(.):197516384-197749623	0.1582
NM_001195215	chr1(.):197468878-197749623	0.1576
NM_182663	chr1(.):206675878-206767616	0.191
NM_002221	chr1(.):226814390-226931876	0.1849
NM_004481	chr1(.):230197955-230422875	0.1709
NM_014675	chr1(.):17243444-17304474	0.1322
NM_001397	chr1(.):21538739-21621982	0.1139
NM_001113347	chr1(.):21538739-21611183	0.103
NM_001113349	chr1(.):21538739-21621766	0.114
NM_017707	chr1(.):23750055-23815750	0.1062
NM_002167	chr1(.):23879408-23891322	0.1289
NM_021258	chr1(.):24441260-24474611	0.1287
NR_027087	chr1(.):24521729-24543180	0.1511
NM_015627	chr1(.):25865075-25900377	0.1529
NM_006015	chr1(.):27017521-27113601	0.1372
NR_003109	chr1(.):28874528-28910057	0.1309
NM_001269	chr1(.):28839744-28870708	0.1259
NM_006762	chr1(.):31200314-31235683	0.1745
NM_005202	chr1(.):36555843-36570850	0.1162
NM_018067	chr1(.):36616802-36651441	0.1218
NM_014408	chr1(.):36597172-36620067	0.132
NM_001198979	chr1(.):40854016-40893998	0.1173
NM_001198978	chr1(.):40835304-40893998	0.1345
NM_001198980	chr1(.):40857471-40893998	0.1122
NM_022733	chr1(.):40834377-40893998	0.1346
NM_001037339	chr1(.):66792792-66845262	0.1285
NM_001001933	chr1(.):75589118-75632218	0.1089
NM_004974	chr1(.):111140775-111153345	0.0707
NM_002232	chr1(.):111209309-111222655	0.075
NM_017709	chr1(.):118143603-118176011	0.1225
NM_032305	chr1(.):145451235-145475387	0.2276
