#MM5 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/MM5.H3K27ac_ROSE/MM5_3KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by MM5.jin.bam
#Using cutoff of 14217.096 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM5.jin.bam	enhancerRank	isSuper
3_MACS_peak_10164_lociStitched	chr14	106024814	106056795	3	31871	206235.8747	1	1
6_MACS_peak_10170_lociStitched	chr14	106145479	106179043	6	32308	141673.644	2	1
4_MACS_peak_28263_lociStitched	chr6	106531213	106565912	4	30006	121859.4181	3	1
13_MACS_peak_26864_lociStitched	chr6	287224	347291	13	45268	117947.5612	4	1
8_MACS_peak_31567_lociStitched	chr8	95948085	95976867	8	20468	113884.6176	5	1
35_MACS_peak_10185_lociStitched	chr14	106325095	106386772	35	45717	108798.228	6	1
7_MACS_peak_1864_lociStitched	chr1	118191984	118230790	7	33790	101450.5258	7	1
6_MACS_peak_1858_lociStitched	chr1	118147475	118188073	6	39842	101190.515	8	1
21_MACS_peak_9932_lociStitched	chr14	91829166	91885646	21	44626	95970.816	9	1
3_MACS_peak_18123_lociStitched	chr2	136870554	136898419	3	23932	87866.7045	10	1
7_MACS_peak_20387_lociStitched	chr21	44723347	44749063	7	22036	86992.0848	11	1
5_MACS_peak_5738_lociStitched	chr11	65183550	65201782	5	15667	80614.6112	12	1
5_MACS_peak_31978_lociStitched	chr8	126434473	126452439	5	14181	77338.2402	13	1
10_MACS_peak_13704_lociStitched	chr17	62150209	62186985	10	30518	75593.068	14	1
5_MACS_peak_24419_lociStitched	chr4	96443538	96472563	5	28488	73845.405	15	1
17_MACS_peak_8273_lociStitched	chr12	123345039	123388420	17	33689	72823.6847	16	1
4_MACS_peak_18268_lociStitched	chr2	158289561	158302043	4	11923	71589.2628	17	1
9_MACS_peak_22949_lociStitched	chr3	141079360	141112545	9	25136	69532.5305	18	1
18_MACS_peak_27057_lociStitched	chr6	7878724	7921438	18	35943	69119.7948	19	1
4_MACS_peak_3955_lociStitched	chr10	22595098	22615306	4	19434	68773.8864	20	1
11_MACS_peak_857_lociStitched	chr1	40839141	40871938	11	29264	68132.4878	21	1
14_MACS_peak_20657_lociStitched	chr22	23252545	23287347	14	24729	67902.1822	22	1
7_MACS_peak_20395_lociStitched	chr21	44770614	44792650	7	18602	67646.1128	23	1
4_MACS_peak_29119_lociStitched	chr7	8006493	8030847	4	22153	66493.7262	24	1
13_MACS_peak_17572_lociStitched	chr2	88896820	88928705	13	20393	65383.381	25	1
6_MACS_peak_23498_lociStitched	chr3	186703255	186721997	6	15919	62605.7768	26	1
7_MACS_peak_17542_lociStitched	chr2	87794288	87823055	7	25266	62179.8705	27	1
14_MACS_peak_21169_lociStitched	chr22	42310767	42343514	14	17789	61823.0613	28	1
16_MACS_peak_17851_lociStitched	chr2	112181988	112224728	16	31895	61049.816	29	1
9_MACS_peak_26261_lociStitched	chr5	131744805	131774658	9	23388	60676.2225	30	1
4_MACS_peak_3508_lociStitched	chr1	234734123	234749686	4	14971	60305.0687	31	1
5_MACS_peak_4257_lociStitched	chr10	63800685	63816405	5	15425	60278.34	32	1
26_MACS_peak_17679_lociStitched	chr2	99060788	99113795	26	35742	58636.3434	33	1
7_MACS_peak_2974_lociStitched	chr1	203236548	203261304	7	14578	57453.7248	34	1
2_MACS_peak_32883_lociStitched	chr9	73025814	73037050	2	8793	57359.78	35	1
3_MACS_peak_6843_lociStitched	chr12	26266162	26280995	3	14672	56260.0857	36	1
11_MACS_peak_26273_lociStitched	chr5	131788825	131817237	11	19047	55906.2924	37	1
3_MACS_peak_18758_lociStitched	chr2	201979444	201996369	3	16918	55662.94	38	1
