REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM5.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
35_MACS_peak_10185_lociStitched	chr14	106325095	106386772	35	45717	108798.228	1	1	KIAA0125		KIAA0125	1	1
13_MACS_peak_26864_lociStitched	chr6	287224	347291	13	45268	117947.5612	2	1	DUSP22	IRF4	DUSP22	2	1
21_MACS_peak_9932_lociStitched	chr14	91829166	91885646	21	44626	95970.816	3	1	CCDC88C		CCDC88C	3	1
6_MACS_peak_1858_lociStitched	chr1	118147475	118188073	6	39842	101190.515	4	1	FAM46C		FAM46C	4	1
18_MACS_peak_27057_lociStitched	chr6	7878724	7921438	18	35943	69119.7948	5	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	5	1
26_MACS_peak_17679_lociStitched	chr2	99060788	99113795	26	35742	58636.3434	6	1	INPP4A		INPP4A	6	1
7_MACS_peak_1864_lociStitched	chr1	118191984	118230790	7	33790	101450.5258	7	1		FAM46C	FAM46C	7	1
17_MACS_peak_8273_lociStitched	chr12	123345039	123388420	17	33689	72823.6847	8	1	HIP1R,VPS37B		VPS37B	8	1
6_MACS_peak_10170_lociStitched	chr14	106145479	106179043	6	32308	141673.644	9	1			TMEM121	9	1
16_MACS_peak_17851_lociStitched	chr2	112181988	112224728	16	31895	61049.816	10	1	LOC541471		LOC541471	10	1
3_MACS_peak_10164_lociStitched	chr14	106024814	106056795	3	31871	206235.8747	11	1		TMEM121	TMEM121	11	1
10_MACS_peak_13704_lociStitched	chr17	62150209	62186985	10	30518	75593.068	12	1	ERN1	SNORD104,SNORA76	ERN1	12	1
4_MACS_peak_28263_lociStitched	chr6	106531213	106565912	4	30006	121859.4181	13	1	PRDM1		PRDM1	13	1
11_MACS_peak_857_lociStitched	chr1	40839141	40871938	11	29264	68132.4878	14	1	SMAP2	ZNF643	SMAP2	14	1
5_MACS_peak_24419_lociStitched	chr4	96443538	96472563	5	28488	73845.405	15	1	UNC5C		UNC5C	15	1
15_MACS_peak_10320_lociStitched	chr15	31626906	31661186	15	25894	50964.076	16	1	KLF13		KLF13	16	1
12_MACS_peak_23235_lociStitched	chr3	171802007	171833530	12	25563	43514.3492	17	1	FNDC3B		FNDC3B	17	1
13_MACS_peak_26395_lociStitched	chr5	139027232	139059031	13	25544	48124.6066	18	1	CXXC5		CXXC5	18	1
7_MACS_peak_17542_lociStitched	chr2	87794288	87823055	7	25266	62179.8705	19	1	NCRNA00152		NCRNA00152	19	1
9_MACS_peak_22949_lociStitched	chr3	141079360	141112545	9	25136	69532.5305	20	1	ZBTB38		ZBTB38	20	1
14_MACS_peak_20657_lociStitched	chr22	23252545	23287347	14	24729	67902.1822	21	1		IGLL5	IGLL5	21	1
9_MACS_peak_30460_lociStitched	chr7	137660500	137687949	9	24192	49421.9245	22	1	CREB3L2		CREB3L2	22	1
19_MACS_peak_12402_lociStitched	chr16	81837249	81876938	19	23954	39125.4162	23	1	PLCG2		PLCG2	23	1
3_MACS_peak_18123_lociStitched	chr2	136870554	136898419	3	23932	87866.7045	24	1	CXCR4		CXCR4	24	1
14_MACS_peak_20943_lociStitched	chr22	37614123	37642100	14	23547	46489.3809	25	1	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	25	1
9_MACS_peak_26261_lociStitched	chr5	131744805	131774658	9	23388	60676.2225	26	1	C5orf56	SLC22A5,MIR3936	C5orf56	26	1
3_MACS_peak_16574_lociStitched	chr2	20403318	20426422	3	22975	41203.6736	27	1	SDC1		SDC1	27	1
4_MACS_peak_29119_lociStitched	chr7	8006493	8030847	4	22153	66493.7262	28	1	GLCCI1		GLCCI1	28	1
6_MACS_peak_7104_lociStitched	chr12	48191173	48215120	6	22142	53734.6733	29	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	29	1
7_MACS_peak_20387_lociStitched	chr21	44723347	44749063	7	22036	86992.0848	30	1			SIK1	30	1
11_MACS_peak_20646_lociStitched	chr22	23219969	23249041	11	21338	37322.6336	31	1	IGLL5		IGLL5	31	1
6_MACS_peak_6287_lociStitched	chr11	111227975	111251851	6	21149	51722.5788	32	1	POU2AF1		POU2AF1	32	1
7_MACS_peak_13117_lociStitched	chr17	37909361	37935238	7	21065	53803.4584	33	1	IKZF3	GRB7,C17orf37	GRB7	33	1
7_MACS_peak_2333_lociStitched	chr1	156455709	156479302	7	20515	39183.2544	34	1	MEF2D		MEF2D	34	1
8_MACS_peak_31567_lociStitched	chr8	95948085	95976867	8	20468	113884.6176	35	1	TP53INP1	CCNE2	TP53INP1	35	1
13_MACS_peak_17572_lociStitched	chr2	88896820	88928705	13	20393	65383.381	36	1	EIF2AK3		EIF2AK3	36	1
13_MACS_peak_10945_lociStitched	chr15	75065550	75093037	13	20125	34273.5403	37	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	37	1
7_MACS_peak_22958_lociStitched	chr3	141117770	141141380	7	19910	52763.628	38	1	ZBTB38		RASA2	38	1
12_MACS_peak_6540_lociStitched	chr11	128585837	128611678	12	19728	32802.5654	39	1	FLI1		FLI1	39	1
11_MACS_peak_20440_lociStitched	chr21	45552680	45581444	11	19644	45061.6824	40	1	C21orf33	PWP2	C21orf33	40	1
4_MACS_peak_3955_lociStitched	chr10	22595098	22615306	4	19434	68773.8864	41	1	COMMD3,BMI1	SPAG6	COMMD3	41	1
12_MACS_peak_3806_lociStitched	chr10	11557127	11582145	12	19352	31570.2142	42	1	USP6NL		USP6NL	42	1
16_MACS_peak_25448_lociStitched	chr5	56108684	56137621	16	19275	36972.8049	43	1	MAP3K1		MAP3K1	43	1
3_MACS_peak_24026_lociStitched	chr4	40191037	40210465	3	19256	37573.752	44	1	RHOH		RHOH	44	1
6_MACS_peak_1269_lociStitched	chr1	66795863	66818831	6	19226	41413.6008	45	1	PDE4B		PDE4B	45	1
7_MACS_peak_26746_lociStitched	chr5	176270522	176291943	7	19139	35582.4231	46	1	UNC5A	HK3	UNC5A	46	1
8_MACS_peak_1232_lociStitched	chr1	65412546	65434334	8	19064	47916.1696	47	1	JAK1		JAK1	47	1
11_MACS_peak_26273_lociStitched	chr5	131788825	131817237	11	19047	55906.2924	48	1	C5orf56	IRF1	IRF1	48	1
6_MACS_peak_28370_lociStitched	chr6	109183574	109208513	6	18948	55439.397	49	1	ARMC2		ARMC2	49	1
8_MACS_peak_470_lociStitched	chr1	25870005	25891963	8	18793	32429.7702	50	1	LDLRAP1		LDLRAP1	50	1
10_MACS_peak_21416_lociStitched	chr3	5222936	5247281	10	18744	45208.665	51	1	EDEM1		EDEM1	51	1
7_MACS_peak_20395_lociStitched	chr21	44770614	44792650	7	18602	67646.1128	52	1			SIK1	52	1
6_MACS_peak_2104_lociStitched	chr1	150531919	150553224	6	18599	48860.887	53	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	53	1
14_MACS_peak_29597_lociStitched	chr7	47606442	47629998	14	18102	40389.1176	54	1		TNS3	TNS3	54	1
6_MACS_peak_21503_lociStitched	chr3	13034675	13060747	6	17800	39619.0112	55	1	IQSEC1	IQSEC1	IQSEC1	55	1
14_MACS_peak_21169_lociStitched	chr22	42310767	42343514	14	17789	61823.0613	56	1	TNFRSF13C,CENPM	MIR33A,LOC339674,SEPT3	TNFRSF13C	56	1
11_MACS_peak_4976_lociStitched	chr10	125813323	125840437	11	17701	30958.7652	57	1	CHST15		CHST15	57	1
4_MACS_peak_23841_lociStitched	chr4	14166064	14186353	4	17527	48979.6749	58	1			LOC152742	58	1
8_MACS_peak_31958_lociStitched	chr8	126285265	126308598	8	17368	37444.7984	59	1	NSMCE2		TRIB1	59	1
3_MACS_peak_18758_lociStitched	chr2	201979444	201996369	3	16918	55662.94	60	1	CFLAR	NDUFB3,FAM126B	CFLAR	60	1
11_MACS_peak_1400_lociStitched	chr1	82258349	82279627	11	16895	39389.8336	61	1	LPHN2		LPHN2	61	1
5_MACS_peak_5751_lociStitched	chr11	65254539	65274415	5	16778	55567.3332	62	1	MALAT1	MIR612,SCYL1	MALAT1	62	1
12_MACS_peak_2839_lociStitched	chr1	189110253	189130679	12	16699	21575.9838	63	1				63	1
12_MACS_peak_17529_lociStitched	chr2	87753775	87777003	12	16638	40251.8012	64	1	NCRNA00152		NCRNA00152	64	1
6_MACS_peak_30989_lociStitched	chr8	27232403	27257138	6	16614	31000.3755	65	1	PTK2B		PTK2B	65	1
