REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM5.jin.bam
35_MACS_peak_10185_lociStitched	chr14	106325095	106386772	35	45717	108798.228
13_MACS_peak_26864_lociStitched	chr6	287224	347291	13	45268	117947.5612
21_MACS_peak_9932_lociStitched	chr14	91829166	91885646	21	44626	95970.816
26_MACS_peak_17679_lociStitched	chr2	99060788	99113795	26	35742	58636.343400000005
17_MACS_peak_8273_lociStitched	chr12	123345039	123388420	17	33689	72823.6847
16_MACS_peak_17851_lociStitched	chr2	112181988	112224728	16	31895	61049.816
18_MACS_peak_27057_lociStitched	chr6	7878724	7921438	18	35943	69119.7948
6_MACS_peak_1858_lociStitched	chr1	118147475	118188073	6	39842	101190.515
19_MACS_peak_12402_lociStitched	chr16	81837249	81876938	19	23954	39125.4162
7_MACS_peak_1864_lociStitched	chr1	118191984	118230790	7	33790	101450.5258
10_MACS_peak_13704_lociStitched	chr17	62150209	62186985	10	30518	75593.068
14_MACS_peak_20657_lociStitched	chr22	23252545	23287347	14	24729	67902.1822
4_MACS_peak_28263_lociStitched	chr6	106531213	106565912	4	30006	121859.4181
15_MACS_peak_10320_lociStitched	chr15	31626906	31661186	15	25894	50964.075999999994
6_MACS_peak_10170_lociStitched	chr14	106145479	106179043	6	32308	141673.644
9_MACS_peak_22949_lociStitched	chr3	141079360	141112545	9	25136	69532.5305
11_MACS_peak_857_lociStitched	chr1	40839141	40871938	11	29264	68132.4878
14_MACS_peak_21169_lociStitched	chr22	42310767	42343514	14	17789	61823.061299999994
3_MACS_peak_10164_lociStitched	chr14	106024814	106056795	3	31871	206235.8747
13_MACS_peak_17572_lociStitched	chr2	88896820	88928705	13	20393	65383.38100000001
13_MACS_peak_26395_lociStitched	chr5	139027232	139059031	13	25544	48124.6066
12_MACS_peak_23235_lociStitched	chr3	171802007	171833530	12	25563	43514.349200000004
9_MACS_peak_26261_lociStitched	chr5	131744805	131774658	9	23388	60676.2225
11_MACS_peak_20646_lociStitched	chr22	23219969	23249041	11	21338	37322.6336
5_MACS_peak_24419_lociStitched	chr4	96443538	96472563	5	28488	73845.405
16_MACS_peak_25448_lociStitched	chr5	56108684	56137621	16	19275	36972.8049
8_MACS_peak_31567_lociStitched	chr8	95948085	95976867	8	20468	113884.6176
7_MACS_peak_17542_lociStitched	chr2	87794288	87823055	7	25266	62179.870500000005
11_MACS_peak_20440_lociStitched	chr21	45552680	45581444	11	19644	45061.6824
15_MACS_peak_28331_lociStitched	chr6	108970840	108999436	15	13366	24057.8148
11_MACS_peak_26273_lociStitched	chr5	131788825	131817237	11	19047	55906.2924
14_MACS_peak_20943_lociStitched	chr22	37614123	37642100	14	23547	46489.3809
3_MACS_peak_18123_lociStitched	chr2	136870554	136898419	3	23932	87866.7045
