REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM5.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
3_MACS_peak_10164_lociStitched	chr14	106024814	106056795	3	31871	206235.8747	1	1		TMEM121	TMEM121	1	1
13_MACS_peak_26864_lociStitched	chr6	287224	347291	13	45268	117947.5612	2	1	DUSP22	IRF4	DUSP22	2	1
35_MACS_peak_10185_lociStitched	chr14	106325095	106386772	35	45717	108798.228	3	1	KIAA0125		KIAA0125	3	1
21_MACS_peak_9932_lociStitched	chr14	91829166	91885646	21	44626	95970.816	4	1	CCDC88C		CCDC88C	4	1
6_MACS_peak_1858_lociStitched	chr1	118147475	118188073	6	39842	101190.515	5	1	FAM46C		FAM46C	5	1
6_MACS_peak_10170_lociStitched	chr14	106145479	106179043	6	32308	141673.644	6	1			TMEM121	6	1
7_MACS_peak_1864_lociStitched	chr1	118191984	118230790	7	33790	101450.5258	7	1		FAM46C	FAM46C	7	1
4_MACS_peak_28263_lociStitched	chr6	106531213	106565912	4	30006	121859.4181	8	1	PRDM1		PRDM1	8	1
18_MACS_peak_27057_lociStitched	chr6	7878724	7921438	18	35943	69119.7948	9	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	9	1
26_MACS_peak_17679_lociStitched	chr2	99060788	99113795	26	35742	58636.3434	10	1	INPP4A		INPP4A	10	1
17_MACS_peak_8273_lociStitched	chr12	123345039	123388420	17	33689	72823.6847	11	1	HIP1R,VPS37B		VPS37B	11	1
10_MACS_peak_13704_lociStitched	chr17	62150209	62186985	10	30518	75593.068	12	1	ERN1	SNORD104,SNORA76	ERN1	12	1
16_MACS_peak_17851_lociStitched	chr2	112181988	112224728	16	31895	61049.816	13	1	LOC541471		LOC541471	13	1
11_MACS_peak_857_lociStitched	chr1	40839141	40871938	11	29264	68132.4878	14	1	SMAP2	ZNF643	SMAP2	14	1
5_MACS_peak_24419_lociStitched	chr4	96443538	96472563	5	28488	73845.405	15	1	UNC5C		UNC5C	15	1
8_MACS_peak_31567_lociStitched	chr8	95948085	95976867	8	20468	113884.6176	16	1	TP53INP1	CCNE2	TP53INP1	16	1
3_MACS_peak_18123_lociStitched	chr2	136870554	136898419	3	23932	87866.7045	17	1	CXCR4		CXCR4	17	1
