GENE_ID	locusLine	bin_1_19_0EX5_0229Kronos_MM1S-KB-24hr-1_H3K27Ac_hs-dm_i39.bam
NM_001990	chr1(.):28295818-28420131	0.4352
NM_001006605	chr1(.):93302720-93432079	0.5009
NM_001113228	chr1(.):107677628-108029475	0.2029
NM_014917	chr1(.):107677744-108029475	0.203
NM_001010935	chr1(.):112157404-112261101	0.1383
NM_201569	chr1(.):183436505-183528328	0.5629
NM_003820	chr1(.):2482804-2500267	1.1042
NR_026567	chr1(.):17012712-17051652	0.1022
NM_001113348	chr1(.):21538739-21677034	0.3794
NM_004091	chr1(.):23827921-23862713	1.582
NM_020448	chr1(.):24737244-24804473	0.1381
NM_173065	chr1(.):24475646-24518751	3.1002
NM_002379	chr1(.):31179123-31201432	0.1496
NR_034182	chr1(.):31186618-31204593	0.1776
NM_181809	chr1(.):39952317-40000541	1.5528
NM_174964	chr1(.):44168217-44401831	0.3001
NM_001081976	chr1(.):112020969-112111597	0.1924
NM_198459	chr1(.):115122195-115217732	0.1095
NM_153713	chr1(.):145472084-145504091	0.1978
NM_207168	chr1(.):150594521-150607098	1.3537
NM_015203	chr1(.):150331989-150454041	0.4105
NM_020524	chr1(.):154911558-154933567	5.5658
NM_181359	chr1(.):154372668-154445188	1.684
NM_002249	chr1(.):154674914-154847754	0.8457
NM_170782	chr1(.):154674914-154837338	0.8867
NM_005572	chr1(.):156079460-156112657	0.4106
NM_005973	chr1(.):156732273-156775609	0.4378
NM_012394	chr1(.):161065345-161092866	0.4787
NM_007348	chr1(.):161731083-161933852	0.3013
NM_014412	chr1(.):174963891-174986163	1.6493
NM_014857	chr1(.):174123633-174932327	0.0927
NM_001035230	chr1(.):174839683-174932327	0.1608
NM_001007214	chr1(.):174963570-174986163	1.6273
NM_145034	chr1(.):179804101-179851941	0.6765
NM_022347	chr1(.):179823164-179851941	1.0715
NM_015149	chr1(.):183600207-183902666	0.9232
NM_144977	chr1(.):197516384-197749623	0.3634
NM_001195215	chr1(.):197468878-197749623	0.3167
NM_080921	chr1(.):198603136-198731545	0.4076
NM_014827	chr1(.):203759750-203828256	0.2561
NM_182663	chr1(.):206675878-206767616	0.9665
NM_001193338	chr1(.):207071630-207100235	2.3499
NM_005449	chr1(.):207071630-207100378	2.3382
NM_006147	chr1(.):209956261-209984479	0.2692
NM_002221	chr1(.):226814390-226931876	1.0789
NM_004481	chr1(.):230197955-230422875	0.7431
NM_032328	chr1(.):245128170-245256148	0.5358
NR_026588	chr1(.):245128630-245256148	0.5376
NR_026587	chr1(.):245128630-245293530	0.4273
NR_026586	chr1(.):245128283-245293530	0.4265
NM_001010926	chr1(.):2455183-2466684	0.1868
NR_026927	chr1(.):2476358-2489284	3.0394
NM_018216	chr1(.):2434974-2463035	0.1008
NM_001195741	chr1(.):2513188-2527908	0.3094
NR_036638	chr1(.):2512898-2527908	0.3055
NR_026752	chr1(.):16939750-16962401	0.3459
NR_027504	chr1(.):16967068-16981915	1.4866
NR_002729	chr1(.):17076400-17095975	0.1087
NM_014675	chr1(.):17243444-17304474	0.0889
NM_001397	chr1(.):21538739-21621982	0.529
NM_001113347	chr1(.):21538739-21611183	0.0577
NM_001113349	chr1(.):21538739-21621766	0.5247
NM_017707	chr1(.):23750055-23815750	0.0429
NM_002167	chr1(.):23879408-23891322	1.2096
NM_021258	chr1(.):24441260-24474611	0.0854
NR_027087	chr1(.):24521729-24543180	2.5075
NM_198174	chr1(.):24640811-24695970	0.8515
NM_198173	chr1(.):24640811-24686808	1.0112
NM_021180	chr1(.):24644529-24686808	1.0925
NM_001195010	chr1(.):24641055-24686808	1.0162
NM_001199013	chr1(.):24678488-24745262	0.7268
NM_001199012	chr1(.):24678488-24746587	0.7134
NM_017837	chr1(.):27109485-27129887	1.7378
NM_006015	chr1(.):27017521-27113601	0.8078
NM_032283	chr1(.):27148200-27187211	0.5007
NM_006762	chr1(.):31200314-31235683	4.7223
NM_022756	chr1(.):37953175-37985364	0.1833
NM_025079	chr1(.):37935118-37954978	1.7824
NR_003929	chr1(.):39982951-40030370	0.5057
NM_001198979	chr1(.):40854016-40893998	0.2694
NM_001198978	chr1(.):40835304-40893998	1.1252
NM_001198980	chr1(.):40857471-40893998	0.0951
NM_022733	chr1(.):40834377-40893998	1.1079
NM_006004	chr1(.):46764379-46787447	0.7388
NM_006369	chr1(.):46739071-46774038	0.5037
NM_199044	chr1(.):46801389-46835690	0.2739
NM_015696	chr1(.):53063042-53079723	0.0711
