GENE_ID	locusLine	bin_1_EJM.jin.bam
NM_001145277	chr1(.):16762166-16791584	1.1093
NM_013943	chr1(.):25066759-25175815	0.2854
NM_021222	chr1(.):150975972-151013189	0.3352
NM_015215	chr1(.):6840383-7834766	0.0975
NM_032236	chr1(.):21999791-22114688	0.2595
NM_007051	chr1(.):50901934-51430936	0.0802
NM_001006605	chr1(.):93302720-93432079	0.4014
NM_001010935	chr1(.):112157404-112261101	0.1735
NM_001198993	chr1(.):1677670-1715297	1.1551
NM_023018	chr1(.):1677670-1714909	1.1564
NM_001198994	chr1(.):1677670-1716508	1.1294
NM_003820	chr1(.):2482804-2500267	0.4872
NM_001113348	chr1(.):21538739-21677034	0.3367
NM_001013693	chr1(.):22133757-22156714	0.1926
NM_004091	chr1(.):23827921-23862713	1.5167
NM_006990	chr1(.):27727125-27821669	0.4357
NM_181809	chr1(.):39952317-40000541	0.5933
NM_001720	chr1(.):40218902-40259533	0.7468
NM_174964	chr1(.):44168217-44401831	0.1759
NM_002600	chr1(.):66253855-66845262	0.1102
NM_001037341	chr1(.):66253192-66845262	0.1101
NM_001037340	chr1(.):66453389-66845262	0.148
NM_001081976	chr1(.):112020969-112111597	0.1384
NM_001100910	chr1(.):120834004-120860681	0.6697
NR_034178	chr1(.):143910747-144099477	0.23
NM_153713	chr1(.):145472084-145504091	0.352
NM_001002812	chr1(.):144885590-145000022	0.4181
NM_014644	chr1(.):144846426-145000022	0.3532
NM_001198834	chr1(.):144846423-145000033	0.3532
NM_001198832	chr1(.):144846423-145044992	0.3227
NM_207168	chr1(.):150594521-150607098	0.7031
NM_020524	chr1(.):154911558-154933567	2.4316
NM_005973	chr1(.):156732273-156775609	0.453
NM_052862	chr1(.):167594473-167680486	0.2755
NM_002697	chr1(.):167185065-167401582	0.2535
NM_001198783	chr1(.):167293280-167401582	0.2261
NR_037163	chr1(.):167185122-167401582	0.2536
NM_001684	chr1(.):203590927-203718209	0.3152
NM_182663	chr1(.):206675878-206767616	0.7284
NM_182838	chr1(.):1658680-1682431	0.7327
NM_001198995	chr1(.):1677670-1695081	0.5424
NM_001010926	chr1(.):2455183-2466684	0.581
NR_026927	chr1(.):2476358-2489284	1.6035
NM_018216	chr1(.):2434974-2463035	0.2887
NM_001195741	chr1(.):2513188-2527908	0.4894
NR_036638	chr1(.):2512898-2527908	0.4836
NM_177540	chr1(.):6610337-6644817	0.9916
NM_005341	chr1(.):6635062-6654340	0.6555
NM_014851	chr1(.):6645783-6667929	1.1915
NM_153812	chr1(.):6668755-6689093	0.6252
NM_024654	chr1(.):6576406-6619658	0.2762
NM_001195752	chr1(.):6680209-6698642	0.3085
NM_001195753	chr1(.):6679924-6698642	0.3053
NM_025106	chr1(.):9347940-9434590	0.6088
NM_015866	chr1(.):14026349-14119574	0.374
NM_001007257	chr1(.):14070875-14119574	0.2366
NM_001135610	chr1(.):14021734-14156574	0.3077
NM_198546	chr1(.):16720137-16768919	0.4119
NR_023386	chr1(.):16788930-16824196	0.1033
NM_001397	chr1(.):21538739-21621982	0.3159
NM_001113347	chr1(.):21538739-21611183	0.126
NM_001113349	chr1(.):21538739-21621766	0.3119
NM_001032730	chr1(.):22049338-22114688	0.3846
NM_017707	chr1(.):23750055-23815750	0.0913
NM_002167	chr1(.):23879408-23891322	0.3892
NM_001031680	chr1(.):25221001-25296501	0.3297
NM_004350	chr1(.):25221001-25261770	0.4757
NM_006015	chr1(.):27017521-27113601	0.5835
NM_005281	chr1(.):27714151-27727317	0.2191
NM_002713	chr1(.):28152292-28183183	0.2479
NR_002997	chr1(.):28155911-28166077	0.5672
NM_001039477	chr1(.):28194054-28218193	1.7906
NM_014474	chr1(.):28256503-28290663	0.2433
NM_002946	chr1(.):28213048-28246236	0.7686
NM_014280	chr1(.):28521789-28564542	0.3259
NM_016311	chr1(.):28557610-28569611	0.9316
NM_031459	chr1(.):28581005-28614002	0.2108
NM_022756	chr1(.):37953175-37985364	0.1931
NM_025079	chr1(.):37935118-37954978	0.8188
NR_003929	chr1(.):39982951-40030370	0.1991
NM_001195007	chr1(.):40199516-40234586	0.2456
