REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X13_0EWZ_0229Kronos_MM1S.KB.1hr.1_H3K27Ac_hs.dm_i22.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
10_MACS_peak_16989_lociStitched	chr3	141079146	141151139	10	54072	365134.0974	13383.4987	1	ZBTB38		ZBTB38	ZBTB38	2.6092	1	1
5_MACS_peak_20040_lociStitched	chr6	7878362	7919608	5	40089	248738.1276	8455.43	2	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	5.4448	2	1
1_MACS_peak_18650_lociStitched	chr5	1311756	1320878	1	9123	170351.5256	2357.1248	3	CLPTM1L	TERT	TERT	NONE	NONE	3	1
10_MACS_peak_8533_lociStitched	chr16	11762483	11843219	10	61320	178999.7856	14427.5232	4	SNN,TXNDC11	ZC3H7A	TXNDC11	TXNDC11	2.2043999999999997	4	1
3_MACS_peak_22779_lociStitched	chr8	2027419	2050929	3	18481	158203.492	4067.23	5	MYOM2		MYOM2	MYOM2	1.819	5	1
1_MACS_peak_6635_lociStitched	chr13	114828896	114835208	1	6313	154820.736	1636.7016	6	RASA3		RASA3	RASA3	1.4604	6	1
2_MACS_peak_15378_lociStitched	chr22	23221479	23247978	2	21729	157046.3235	4104.6951	7	IGLL5		IGLL5	IGLL5	8.1031	7	1
2_MACS_peak_5381_lociStitched	chr12	53573073	53604011	2	25329	151085.723	5977.2216	8	ZNF740,CSAD,ITGB7	MFSD5,RARG	ITGB7	ITGB7	5.3632	8	1
1_MACS_peak_2544_lociStitched	chr10	11202740	11223721	1	20982	148973.4924	4848.7091	9	CELF2		CELF2	CELF2	0.6082	9	1
4_MACS_peak_9554_lociStitched	chr17	16865928	16895511	4	20133	146601.5148	5097.1509	10	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.6438000000000001	10	1
5_MACS_peak_1188_lociStitched	chr1	118142087	118188177	5	36181	142127.733	5314.177	11	FAM46C		FAM46C	FAM46C	3.7196	11	1
6_MACS_peak_13100_lociStitched	chr2	99054910	99107973	6	42504	146252.2406	10485.2488	12	INPP4A		INPP4A	INPP4A	0.9750000000000001	12	1
7_MACS_peak_19933_lociStitched	chr6	290165	337743	7	29594	149437.7402	15191.6554	13	DUSP22		DUSP22	DUSP22	1.9261000000000001	13	1
2_MACS_peak_15380_lociStitched	chr22	23269476	23285986	2	16151	136265.285	3414.268	14		IGLL5	IGLL5	IGLL5	8.1031	14	1
1_MACS_peak_4167_lociStitched	chr11	65183326	65200139	1	16814	136726.6786	4391.5556	15	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	8.9742	15	1
3_MACS_peak_1449_lociStitched	chr1	154907995	154936190	3	25149	139616.001	7674.679	16	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	2.4291	16	1
1_MACS_peak_24982_lociStitched	chrX	19470043	19470969	1	927	128066.3556	52.5968	17	MAP3K15		MAP3K15	MAP3K15	0.7731	17	1
5_MACS_peak_14486_lociStitched	chr20	30262201	30312289	5	44445	135793.5768	9546.7728	18	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.8967	18	1
3_MACS_peak_7318_lociStitched	chr14	106024705	106052823	3	25904	129556.4968	4453.8912	19		TMEM121	TMEM121	TMEM121	0.08789999999999999	19	1
2_MACS_peak_210_lociStitched	chr1	17221404	17233111	2	7044	121244.7162	3981.5507	20		CROCC	CROCC	NONE	NONE	20	1
6_MACS_peak_14459_lociStitched	chr20	25261636	25302984	6	24031	122973.0868	7062.2384	21	PYGB,ABHD12		PYGB	PYGB	1.1534	21	1
2_MACS_peak_15399_lociStitched	chr22	24178223	24192227	2	11770	116960.0076	3148.0992	22	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	1.3268	22	1
5_MACS_peak_15225_lociStitched	chr21	45552574	45580706	5	18138	118416.0276	6450.6676	23	C21orf33	PWP2	C21orf33	C21orf33	1.8356999999999999	23	1
